Date,Open,High,Low,Close,Adj Close,Volume
2022-01-05,52.000000,56.000000,50.000000,54.500000,53.920345,1114961
2022-01-06,55.000000,57.549999,54.099998,55.400002,54.810776,641565
2022-01-07,54.750000,56.959999,53.509998,56.000000,55.404392,213665
2022-01-10,55.500000,62.000000,56.700001,61.500000,60.845894,295464
2022-01-11,60.750000,67.800003,59.500000,65.000000,64.308670,522408
2022-01-12,66.000000,67.000000,65.000000,66.000000,65.298035,178754
2022-01-13,64.500000,67.500000,65.250000,65.000000,64.308670,242134
2022-01-14,65.000000,66.000000,64.519997,66.000000,65.298035,337908
2022-01-17,66.500000,72.459999,68.050003,69.000000,68.266129,1507108
2022-01-18,70.000000,70.879997,66.900002,68.000000,67.276764,439078
2022-01-19,67.750000,68.500000,66.519997,68.000000,67.276764,217749
2022-01-20,67.000000,68.000000,67.000000,68.000000,67.276764,257549
2022-01-21,66.750000,68.000000,63.000000,64.000000,63.319305,270746
2022-01-24,63.500000,64.599998,60.000000,61.000000,60.351212,157279
2022-01-25,61.000000,62.500000,60.040001,62.500000,61.835258,82165
2022-01-26,61.000000,61.000000,60.200001,61.000000,60.351212,73518
2022-01-27,60.500000,65.000000,60.000000,63.500000,62.824623,441299
2022-01-28,63.500000,64.000000,60.200001,63.000000,62.329941,125119
2022-01-31,64.500000,69.900002,65.250000,67.500000,66.782082,920438
2022-02-01,67.000000,68.000000,65.000000,66.000000,65.298035,505026
2022-02-02,67.000000,72.000000,67.000000,71.000000,70.244858,547281
2022-02-03,69.500000,70.000000,68.000000,68.000000,67.276764,155019
2022-02-04,68.000000,71.750000,68.300003,71.000000,70.244858,529400
2022-02-07,71.000000,78.940002,71.199997,77.500000,76.675720,1094699
2022-02-08,78.000000,85.500000,77.989998,82.000000,81.127861,853740
2022-02-09,81.000000,83.199997,78.000000,79.500000,78.654449,479600
2022-02-10,79.500000,83.000000,80.000000,83.000000,82.117226,485125
2022-02-11,85.000000,88.800003,80.000000,81.000000,80.138496,1127162
2022-02-14,81.000000,81.000000,75.160004,79.000000,78.159767,447736
