Date,Open,High,Low,Close,Adj Close,Volume
2015-03-19,261.000000,273.750000,235.000000,256.000000,235.504471,238772753
2015-03-20,262.000000,269.345001,260.000000,265.500000,244.243896,15567088
2015-03-23,266.500000,266.500000,260.000000,265.000000,243.783920,5039046
2015-03-24,264.750000,267.000000,261.500000,265.000000,243.783920,5224212
2015-03-25,266.500000,266.500000,259.812988,260.750000,239.874207,3343624
2015-03-26,260.750000,260.750000,256.000000,257.000000,236.424408,2962512
2015-03-27,260.000000,262.750000,250.000000,252.500000,232.284714,4256038
2015-03-30,255.000000,256.000000,250.250000,254.500000,234.124603,2613120
2015-03-31,256.750000,259.750000,249.600006,251.750000,231.594742,5343378
2015-04-01,251.750000,260.000000,251.750000,259.000000,238.264313,4901229
2015-04-02,264.250000,265.000000,258.250000,263.000000,241.944031,2409818
2015-04-07,265.000000,270.000000,262.500000,267.250000,245.853836,975170
2015-04-08,268.250000,269.000000,263.000000,263.500000,242.404053,538798
2015-04-09,266.000000,266.644012,263.000000,264.500000,243.323959,657706
2015-04-10,266.000000,270.000000,260.500000,266.500000,245.163849,549407
2015-04-13,268.000000,271.000000,265.000000,270.500000,248.843643,1422670
2015-04-14,272.000000,276.000000,270.000000,273.000000,251.143433,1306505
2015-04-15,272.250000,273.500000,266.750000,271.000000,249.303574,625439
2015-04-16,274.750000,274.750000,270.000000,271.000000,249.303574,272191
2015-04-17,270.750000,274.500000,270.000000,272.750000,250.913467,1206612
2015-04-20,270.000000,275.000000,270.000000,274.000000,252.063416,2817255
2015-04-21,275.000000,275.000000,269.500000,270.500000,248.843643,857066
2015-04-22,266.250000,270.000000,265.000000,265.750000,244.473953,386219
2015-04-23,265.250000,265.750000,260.250000,262.000000,241.024109,765156
2015-04-24,256.500000,272.000000,256.500000,270.000000,248.383606,2632958
2015-04-27,273.750000,279.500000,272.750000,279.500000,257.123047,1836756
2015-04-28,279.750000,280.000000,272.500000,274.750000,252.753372,2715407
2015-04-29,280.000000,280.000000,270.750000,271.500000,249.763580,3613181
2015-04-30,270.000000,273.000000,269.500000,272.000000,250.223511,539058
2015-05-01,272.750000,276.250000,268.000000,270.000000,248.383606,1698759
2015-05-05,277.000000,277.000000,269.000000,273.500000,251.603409,1079229
2015-05-06,267.000000,275.000000,267.000000,274.250000,252.293411,1998767
2015-05-07,275.000000,277.000000,261.750000,269.000000,247.463699,1626453
2015-05-08,272.000000,277.250000,270.250000,275.000000,252.983292,804071
2015-05-11,275.000000,285.000000,272.500000,284.500000,261.722748,2961227
2015-05-12,284.500000,292.000000,284.000000,288.000000,264.942535,3633656
2015-05-13,292.750000,293.750000,285.950012,290.000000,266.782379,4239964
2015-05-14,291.000000,296.000000,291.000000,295.500000,271.842133,3105923
2015-05-15,299.000000,299.000000,288.250000,293.750000,270.232208,1572053
2015-05-18,288.500000,293.937012,285.000000,287.500000,264.482605,972490
2015-05-19,287.750000,289.750000,282.000000,287.250000,264.252655,983704
2015-05-20,287.000000,290.000000,287.000000,287.750000,264.712555,1020866
2015-05-21,294.500000,294.500000,286.809998,287.750000,264.712555,1909515
2015-05-22,295.000000,295.000000,287.500000,288.000000,264.942535,556338
2015-05-26,288.500000,293.059998,283.000000,284.750000,261.952728,1378711
2015-05-27,292.500000,292.500000,282.500000,284.500000,261.722748,646633
2015-05-28,289.500000,289.500000,283.750000,286.000000,263.102692,766301
2015-05-29,286.000000,286.000000,280.750000,284.250000,261.492767,746920
2015-06-01,284.000000,286.880005,280.250000,285.000000,262.182709,1167857
2015-06-02,287.000000,287.250000,283.000000,287.250000,264.252655,1377242
2015-06-03,288.500000,289.000000,284.750000,289.000000,265.862488,1305183
2015-06-04,286.500000,292.000000,286.000000,287.250000,264.252655,1195599
2015-06-05,287.500000,292.500000,285.000000,288.500000,265.402588,1123536
2015-06-08,285.750000,291.250000,282.750000,287.750000,264.712555,720211
2015-06-09,289.000000,293.000000,285.750000,290.750000,267.472412,919100
2015-06-10,291.750000,295.000000,290.000000,294.000000,270.462158,938084
2015-06-11,289.000000,298.000000,288.000000,296.500000,272.762085,1352557
2015-06-12,291.500000,300.000000,291.500000,297.250000,273.452026,1552205
2015-06-15,299.750000,309.000000,294.250000,303.500000,279.201630,5494527
2015-06-16,305.250000,305.250000,299.250000,299.750000,275.751892,1190284
2015-06-17,302.500000,305.000000,299.000000,301.000000,276.901764,2492336
2015-06-18,304.000000,309.500000,303.000000,308.000000,283.341339,7139224
2015-06-19,315.000000,334.750000,302.750000,305.500000,281.041504,35896276
2015-06-22,310.000000,313.000000,303.100006,307.600006,282.973358,2348641
2015-06-23,311.500000,317.700012,309.000000,315.700012,290.424866,1954537
2015-06-24,318.000000,320.473999,313.399994,314.299988,289.136993,730006
2015-06-25,314.299988,318.100006,309.179993,314.799988,289.596954,1192155
2015-06-26,312.000000,316.500000,306.000000,311.500000,286.561127,1070179
2015-06-29,307.700012,314.200012,303.799988,305.500000,281.041504,726877
2015-06-30,303.799988,307.899994,303.100006,304.899994,280.489532,1346201
2015-07-01,305.299988,307.500000,302.200012,304.200012,279.845551,3151349
2015-07-02,303.500000,306.299988,303.500000,306.299988,281.777466,3442884
2015-07-03,311.799988,321.600006,311.399994,319.700012,294.104645,2346517
2015-07-06,315.600006,318.500000,313.200012,315.200012,289.964844,802420
2015-07-07,317.000000,319.200012,308.200012,309.700012,284.905243,963439
2015-07-08,314.500000,314.500000,297.100006,298.399994,274.509888,1070584
2015-07-09,299.700012,306.399994,296.899994,303.200012,278.925598,5263613
2015-07-10,307.700012,318.899994,305.429993,315.899994,290.608826,2865477
2015-07-13,320.000000,322.000000,314.700012,321.600006,295.852509,1680322
2015-07-14,320.000000,324.000000,319.200012,322.700012,296.864441,1813779
2015-07-15,324.000000,324.000000,320.000000,321.299988,295.576538,2329003
2015-07-16,324.000000,324.200012,320.000000,322.000000,296.220520,1385521
2015-07-17,324.000000,324.500000,320.600006,323.000000,297.140411,418067
2015-07-20,324.600006,327.200012,319.000000,319.700012,294.104645,721928
2015-07-21,321.299988,324.799988,318.799988,322.799988,296.956482,889972
2015-07-22,322.500000,325.899994,319.899994,321.299988,295.576538,1638388
2015-07-23,325.399994,326.829987,318.799988,322.500000,296.680450,2361241
2015-07-24,320.600006,333.399994,320.000000,332.200012,305.603882,2389069
2015-07-27,331.899994,336.100006,327.399994,331.000000,304.499939,2719122
2015-07-28,333.500000,334.700012,325.980011,327.100006,300.912170,1150572
2015-07-29,330.299988,340.299988,327.000000,336.500000,309.559631,4693887
2015-07-30,335.100006,338.799988,330.500000,335.200012,308.363739,1272465
2015-07-31,338.000000,343.760010,334.299988,339.299988,312.135406,1765330
2015-08-03,336.299988,347.299988,336.200012,344.600006,317.011169,976304
2015-08-04,345.899994,356.500000,345.731995,354.000000,325.658569,1111566
2015-08-05,352.600006,355.600006,346.000000,350.500000,322.438782,1603796
2015-08-06,348.500000,354.100006,347.950012,350.899994,322.806763,1877159
2015-08-07,351.200012,352.700012,344.700012,346.799988,319.035004,1167146
2015-08-10,346.600006,354.000000,344.700012,351.500000,323.358704,822391
2015-08-11,351.399994,356.299988,346.500000,353.600006,325.290588,1486267
2015-08-12,352.799988,353.000000,347.100006,347.600006,319.770905,1535195
2015-08-13,350.600006,359.200012,348.700012,350.700012,322.622742,887018
2015-08-14,350.000000,354.399994,348.500000,349.200012,321.242859,1382332
2015-08-17,351.299988,358.299988,350.799988,358.000000,329.338318,764007
2015-08-18,358.899994,358.899994,352.079987,355.000000,326.578522,818552
2015-08-19,354.799988,362.128998,351.500000,359.799988,330.994141,2000582
2015-08-20,357.299988,360.489990,355.899994,356.000000,327.498413,841941
2015-08-21,353.899994,356.600006,345.799988,345.799988,318.115021,691901
2015-08-24,338.200012,338.200012,312.700012,329.700012,303.304016,2090494
2015-08-25,332.600006,350.600006,323.000000,348.700012,320.782928,1784366
2015-08-26,341.299988,347.100006,333.299988,334.500000,307.719788,4543749
2015-08-27,342.000000,344.899994,339.200012,343.299988,315.815125,2626755
2015-08-28,344.399994,347.299988,339.899994,341.600006,314.251343,1744589
2015-09-01,334.600006,344.100006,334.600006,339.000000,311.859497,2671480
2015-09-02,341.700012,346.399994,337.100006,338.000000,310.939575,1087601
2015-09-03,342.299988,343.660004,337.000000,337.000000,310.019623,8389402
2015-09-04,338.700012,340.399994,333.000000,338.700012,311.583496,1520666
2015-09-07,339.500000,342.000000,337.899994,340.700012,313.423370,528585
2015-09-08,340.899994,341.500000,335.500000,336.000000,309.099701,5253042
2015-09-09,342.500000,342.500000,335.299988,338.899994,311.767456,2185595
2015-09-10,334.500000,339.899994,333.799988,335.200012,308.363739,944374
2015-09-11,337.100006,337.100006,327.200012,332.200012,305.603882,1112875
2015-09-14,335.600006,335.600006,320.500000,325.200012,299.164398,1299654
2015-09-15,326.500000,333.000000,326.500000,329.000000,302.660095,828850
2015-09-16,329.600006,330.700012,325.000000,330.000000,303.580017,1242796
2015-09-17,331.200012,333.299988,329.500000,331.799988,305.235931,1213113
2015-09-18,329.000000,340.000000,327.399994,332.000000,305.419891,16776623
2015-09-21,330.000000,341.200012,329.000000,334.399994,307.627747,886675
2015-09-22,333.399994,334.500000,321.100006,322.899994,297.048401,2343080
