Date,Open,High,Low,Close,Adj Close,Volume
2016-04-13,6.200000,6.200000,4.500000,4.875000,4.875000,2159121
2016-04-14,4.950000,4.950000,4.500000,4.500000,4.500000,331959
2016-04-15,4.865000,5.000000,4.500000,4.625000,4.625000,1465119
2016-04-18,4.750000,4.750000,4.500000,4.500000,4.500000,721740
2016-04-19,4.700000,4.750000,4.700000,4.500000,4.500000,173914
2016-04-20,4.250000,4.500000,4.188000,4.375000,4.375000,541825
2016-04-21,4.200000,4.250000,4.100000,4.125000,4.125000,325000
2016-04-22,4.240000,4.240000,4.000000,4.000000,4.000000,668034
2016-04-25,4.150000,4.150000,3.350000,3.625000,3.625000,589343
2016-04-26,3.750000,3.750000,3.500000,3.500000,3.500000,1243078
2016-04-27,3.740000,3.860000,3.500000,3.875000,3.875000,871041
2016-04-28,3.760000,3.830000,3.760000,4.000000,4.000000,148904
2016-04-29,3.760000,4.250000,3.760000,3.750000,3.750000,600000
2016-05-03,3.830000,4.740000,3.750000,4.375000,4.375000,3162105
2016-05-04,4.500000,4.500000,4.000000,4.000000,4.000000,1762217
2016-05-05,4.000000,4.025000,4.020000,4.000000,4.000000,91683
2016-05-06,3.850000,3.990000,3.850000,4.000000,4.000000,887468
2016-05-09,3.800000,3.990000,3.740000,3.750000,3.750000,909145
2016-05-10,3.750000,3.750000,3.750000,3.750000,3.750000,0
2016-05-11,3.949000,3.949000,3.667000,3.750000,3.750000,130666
2016-05-12,3.899000,3.899000,3.760000,3.750000,3.750000,140793
2016-05-13,4.100000,4.250000,4.000000,4.125000,4.125000,1683508
2016-05-16,4.100000,4.100000,3.750000,4.000000,4.000000,1509771
2016-05-17,3.990000,3.990000,3.500000,3.625000,3.625000,1959848
2016-05-18,3.750000,3.850000,3.650000,3.625000,3.625000,246442
2016-05-19,3.750000,3.750000,3.700000,3.750000,3.750000,504307
2016-05-20,3.650000,3.713000,3.650000,3.625000,3.625000,230000
2016-05-23,3.711000,3.900000,3.711000,4.000000,4.000000,1908812
2016-05-24,3.850000,3.850000,3.752000,4.000000,4.000000,381488
2016-05-25,3.752000,3.838000,3.752000,4.000000,4.000000,70000
2016-05-26,3.830000,3.830000,3.752000,4.000000,4.000000,470208
2016-05-27,3.750000,3.830000,3.560000,3.750000,3.750000,666712
2016-05-31,3.808000,3.808000,3.500000,3.750000,3.750000,755119
2016-06-01,3.800000,3.800000,3.601000,3.750000,3.750000,147448
2016-06-02,3.750000,3.750000,3.750000,3.750000,3.750000,0
2016-06-03,3.790000,3.790000,3.790000,3.750000,3.750000,237151
2016-06-06,3.750000,3.750000,3.750000,3.750000,3.750000,0
2016-06-07,3.610000,3.610000,3.558000,3.625000,3.625000,130693
2016-06-08,3.610000,3.750000,3.610000,3.625000,3.625000,569760
2016-06-09,3.750000,3.750000,3.750000,3.625000,3.625000,16000
2016-06-10,3.650000,3.750000,3.650000,3.625000,3.625000,1048142
2016-06-13,3.625000,4.010000,3.550000,4.250000,4.250000,3389676
2016-06-14,4.025000,4.150000,4.000000,4.000000,4.000000,544357
2016-06-15,4.450000,4.450000,3.750000,3.750000,3.750000,1293306
2016-06-16,3.640000,3.740000,3.640000,3.625000,3.625000,269224
2016-06-17,3.738000,3.738000,3.651000,3.625000,3.625000,63969
2016-06-20,3.651000,3.651000,3.651000,3.625000,3.625000,334783
2016-06-21,3.625000,3.625000,3.625000,3.625000,3.625000,0
2016-06-22,3.513000,3.720000,3.513000,3.625000,3.625000,489670
2016-06-23,3.500000,3.520000,3.350000,3.500000,3.500000,613383
2016-06-24,3.500000,3.500000,3.275000,3.500000,3.500000,153852
2016-06-27,3.310000,3.310000,3.310000,3.500000,3.500000,9224
2016-06-28,3.650000,3.875000,3.650000,3.750000,3.750000,191990
2016-06-29,3.850000,4.250000,3.760000,4.000000,4.000000,3243907
2016-06-30,4.075000,4.090000,3.810000,3.875000,3.875000,2709593
2016-07-01,3.983000,4.600000,3.983000,4.125000,4.125000,5416573
2016-07-04,4.175000,4.300000,4.125000,4.250000,4.250000,1449432
2016-07-05,4.200000,4.200000,4.010000,4.125000,4.125000,826217
2016-07-06,4.050000,4.050000,3.350000,3.750000,3.750000,1876839
2016-07-07,3.601000,3.800000,3.510000,3.750000,3.750000,322827
2016-07-08,3.330000,3.330000,2.110000,2.500000,2.500000,11111272
2016-07-11,2.645000,2.750000,2.515000,2.625000,2.625000,1779339
2016-07-12,2.670000,2.850000,2.670000,2.750000,2.750000,1273300
2016-07-13,2.600000,2.600000,2.600000,2.750000,2.750000,61729
2016-07-14,2.603000,2.708000,2.550000,2.625000,2.625000,635454
2016-07-15,2.555000,2.700000,2.555000,2.625000,2.625000,78324
2016-07-18,2.690000,2.690000,2.555000,2.625000,2.625000,45000
2016-07-19,2.500000,2.500000,2.500000,2.625000,2.625000,50000
2016-07-20,2.555000,2.555000,2.555000,2.500000,2.500000,55000
2016-07-21,2.620000,2.620000,2.250000,2.250000,2.250000,2316914
2016-07-22,2.310000,2.400000,2.150000,2.250000,2.250000,1516270
2016-07-25,2.170000,2.186000,2.170000,2.125000,2.125000,450837
2016-07-26,2.350000,2.925000,2.350000,2.750000,2.750000,3446883
2016-07-27,2.510000,2.900000,2.500000,2.625000,2.625000,3234442
2016-07-28,2.550000,2.698000,2.400000,2.625000,2.625000,1002642
2016-07-29,2.690000,2.700000,2.600000,2.625000,2.625000,956984
2016-08-01,2.610000,2.750000,2.610000,2.625000,2.625000,340769
2016-08-02,2.610000,2.850000,2.610000,2.750000,2.750000,559676
2016-08-03,2.650000,2.650000,2.650000,2.750000,2.750000,26185
2016-08-04,2.651000,2.840000,2.651000,2.750000,2.750000,25695
2016-08-05,2.651000,2.651000,2.651000,2.750000,2.750000,53274
2016-08-08,2.660000,2.840000,2.660000,2.750000,2.750000,94652
2016-08-09,2.665000,2.695000,2.665000,2.750000,2.750000,475000
2016-08-10,2.665000,2.665000,2.400000,2.500000,2.500000,295195
2016-08-11,2.650000,2.650000,2.550000,2.625000,2.625000,246311
2016-08-12,2.650000,2.650000,2.410000,2.375000,2.375000,226122
2016-08-15,2.498000,2.498000,2.498000,2.500000,2.500000,107910
2016-08-16,2.425000,2.600000,2.425000,2.500000,2.500000,26500
2016-08-17,2.428000,2.428000,2.428000,2.375000,2.375000,93157
2016-08-18,2.375000,2.375000,2.375000,2.375000,2.375000,0
2016-08-19,2.250000,2.450000,2.250000,2.375000,2.375000,778696
2016-08-22,2.375000,2.375000,2.375000,2.375000,2.375000,0
2016-08-23,2.375000,2.375000,2.375000,2.375000,2.375000,0
2016-08-24,2.320000,2.325000,2.320000,2.375000,2.375000,135252
2016-08-25,2.375000,2.375000,2.375000,2.375000,2.375000,0
2016-08-26,2.450000,2.450000,2.150000,2.250000,2.250000,559684
2016-08-30,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-08-31,2.150000,2.250000,2.150000,2.125000,2.125000,316500
2016-09-01,2.400000,2.400000,2.160000,2.250000,2.250000,397736
2016-09-02,2.175000,2.250000,2.175000,2.125000,2.125000,195437
2016-09-05,2.180000,2.240000,2.110000,2.125000,2.125000,710843
2016-09-06,2.250000,2.260000,2.250000,2.250000,2.250000,505000
2016-09-07,2.180000,2.180000,2.180000,2.250000,2.250000,50000
2016-09-08,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-09-09,2.180000,2.180000,2.180000,2.250000,2.250000,105645
2016-09-12,2.180000,2.180000,2.180000,2.250000,2.250000,70460
2016-09-13,2.390000,2.390000,2.390000,2.250000,2.250000,20000
2016-09-14,2.180000,2.390000,2.180000,2.375000,2.375000,302816
2016-09-15,2.180000,2.240000,2.110000,2.125000,2.125000,891545
2016-09-16,2.240000,2.250000,2.180000,2.250000,2.250000,301741
2016-09-19,2.350000,2.500000,2.180000,2.250000,2.250000,634893
2016-09-20,2.180000,2.180000,2.095000,2.125000,2.125000,571883
2016-09-21,2.020000,2.180000,1.990000,2.125000,2.125000,973716
2016-09-22,2.020000,2.020000,2.020000,2.000000,2.000000,14500
2016-09-23,1.900000,1.900000,1.900000,2.000000,2.000000,80427
2016-09-26,1.901000,2.000000,1.901000,2.000000,2.000000,50000
2016-09-27,2.180000,2.180000,2.180000,2.000000,2.000000,25000
2016-09-28,2.150000,2.150000,1.955000,2.000000,2.000000,108834
2016-09-29,1.965000,2.250000,1.965000,2.000000,2.000000,818967
2016-09-30,1.965000,1.965000,1.750000,1.875000,1.875000,678574
2016-10-03,1.820000,2.000000,1.820000,1.875000,1.875000,218834
2016-10-04,1.851000,2.000000,1.770000,1.825000,1.825000,1054923
2016-10-05,1.770000,1.949000,1.601000,1.750000,1.750000,611700
2016-10-06,1.701000,1.701000,1.701000,1.750000,1.750000,7500
2016-10-07,1.710000,1.710000,1.710000,1.750000,1.750000,23952
2016-10-10,1.725000,2.150000,1.725000,2.125000,2.125000,1008992
2016-10-11,2.550000,3.100000,2.350000,2.375000,2.375000,4690849
2016-10-12,2.412000,2.412000,2.155000,2.375000,2.375000,914328
2016-10-13,2.311000,2.330000,2.311000,2.375000,2.375000,143544
2016-10-14,2.470000,2.470000,2.350000,2.375000,2.375000,857505
2016-10-17,2.450000,2.450000,2.353000,2.375000,2.375000,76307
2016-10-18,2.353000,2.353000,2.260000,2.375000,2.375000,65279
2016-10-19,2.260000,2.260000,2.160000,2.125000,2.125000,1316885
2016-10-20,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-10-21,2.350000,2.350000,2.350000,2.250000,2.250000,105619
2016-10-24,2.180000,2.180000,2.180000,2.250000,2.250000,217102
2016-10-25,2.350000,2.350000,2.350000,2.250000,2.250000,250000
2016-10-26,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-10-27,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-10-28,2.200000,2.350000,2.200000,2.250000,2.250000,1119311
2016-10-31,2.220000,2.250000,2.220000,2.125000,2.125000,370000
2016-11-01,2.250000,2.348000,2.250000,2.250000,2.250000,375716
2016-11-02,2.320000,2.650000,2.320000,2.500000,2.500000,991553
2016-11-03,2.590000,2.590000,2.370000,2.500000,2.500000,404265
2016-11-04,2.310000,2.330000,2.150000,2.250000,2.250000,945708
2016-11-07,2.175000,2.330000,2.175000,2.250000,2.250000,763507
2016-11-08,2.200000,2.250000,2.125000,2.125000,2.125000,613183
2016-11-09,2.113000,2.125000,2.113000,2.125000,2.125000,101702
2016-11-10,2.125000,2.125000,2.125000,2.125000,2.125000,234848
2016-11-11,2.125000,2.125000,2.125000,2.125000,2.125000,260870
2016-11-14,2.113000,2.113000,2.113000,2.125000,2.125000,5325
2016-11-15,2.125000,2.125000,2.000000,2.125000,2.125000,1050800
2016-11-16,2.125000,2.125000,2.000000,2.000000,2.000000,971130
2016-11-17,2.125000,2.125000,2.125000,2.125000,2.125000,208849
2016-11-18,2.010000,2.125000,2.010000,2.125000,2.125000,197941
2016-11-21,2.010000,2.010000,1.910000,2.000000,2.000000,466087
2016-11-22,1.910000,2.100000,1.910000,2.000000,2.000000,70978
2016-11-23,2.090000,2.125000,2.090000,2.125000,2.125000,344949
2016-11-24,2.010000,2.120000,2.010000,2.125000,2.125000,447231
2016-11-25,2.021000,2.021000,2.021000,2.125000,2.125000,10872
2016-11-28,2.125000,2.125000,2.125000,2.125000,2.125000,0
2016-11-29,2.025000,2.031000,2.025000,2.125000,2.125000,140000
2016-11-30,2.125000,2.125000,2.125000,2.125000,2.125000,0
2016-12-01,2.100000,2.100000,2.031000,2.125000,2.125000,454800
2016-12-02,2.250000,2.250000,2.055000,2.250000,2.250000,588265
2016-12-05,2.240000,2.240000,2.240000,2.250000,2.250000,26401
2016-12-06,2.240000,2.240000,2.240000,2.250000,2.250000,44642
2016-12-07,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-12-08,2.110000,2.110000,2.110000,2.250000,2.250000,61355
2016-12-09,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-12-12,2.055000,2.055000,2.055000,2.250000,2.250000,49013
2016-12-13,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-12-14,2.055000,2.055000,1.998000,1.875000,1.875000,1216357
2016-12-15,2.000000,2.000000,1.910000,2.000000,2.000000,1145000
2016-12-16,2.000000,2.000000,2.000000,2.000000,2.000000,249553
2016-12-19,2.090000,2.090000,2.090000,2.000000,2.000000,19146
2016-12-20,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-12-21,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-12-22,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-12-23,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-12-28,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-12-29,2.090000,2.090000,1.910000,2.000000,2.000000,179316
2016-12-30,2.090000,2.090000,2.090000,2.000000,2.000000,4212
2017-01-03,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-04,1.910000,1.910000,1.910000,2.000000,2.000000,43483
2017-01-05,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-06,1.910000,1.911000,1.910000,2.000000,2.000000,226148
2017-01-09,1.911000,2.000000,1.911000,2.000000,2.000000,322249
2017-01-10,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-11,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-12,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-13,1.912000,1.912000,1.912000,2.000000,2.000000,71752
2017-01-16,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-17,1.915000,2.090000,1.915000,2.000000,2.000000,61983
2017-01-18,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-19,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-20,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-23,2.090000,2.090000,2.090000,2.125000,2.125000,230000
2017-01-24,2.125000,2.125000,2.125000,2.125000,2.125000,0
2017-01-25,2.025000,2.025000,1.915000,1.875000,1.875000,284405
2017-01-26,1.900000,1.900000,1.900000,1.875000,1.875000,50000
2017-01-27,1.900000,2.000000,1.900000,2.000000,2.000000,300000
2017-01-30,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-31,1.916000,1.916000,1.916000,2.000000,2.000000,30000
2017-02-01,1.900000,1.950000,1.750000,2.000000,2.000000,789136
2017-02-02,2.000000,2.000000,2.000000,2.000000,2.000000,249702
2017-02-03,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-02-06,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-02-07,2.000000,2.000000,1.850000,2.000000,2.000000,21355
2017-02-08,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-02-09,1.850000,1.850000,1.850000,2.000000,2.000000,350000
