Date,Open,High,Low,Close,Adj Close,Volume
2021-02-26,20.000000,30.000000,9.000000,19.000000,19.000000,186950996
2021-03-01,20.750000,23.000000,12.525000,13.440000,13.440000,127061693
2021-03-02,12.750000,15.463000,11.500000,12.750000,12.750000,66736664
2021-03-03,13.125000,13.500000,11.000000,12.000000,12.000000,54955272
2021-03-04,11.875000,12.250000,10.525000,11.000000,11.000000,32368976
2021-03-05,11.000000,11.250000,9.513000,10.500000,10.500000,35604047
2021-03-08,10.375000,11.000000,9.000000,9.000000,9.000000,65219113
2021-03-09,9.050000,10.750000,8.550000,10.250000,10.250000,40083182
2021-03-10,10.250000,11.675000,10.056000,10.750000,10.750000,19965997
2021-03-11,10.875000,12.250000,10.825000,11.502000,11.502000,14720158
2021-03-12,11.875000,13.500000,11.750000,12.998000,12.998000,22568399
2021-03-15,12.875000,13.450000,11.505000,11.750000,11.750000,13930956
2021-03-16,11.875000,12.000000,10.800000,11.300000,11.300000,8346839
2021-03-17,11.250000,11.500000,10.763000,11.248000,11.248000,4882563
2021-03-18,11.250000,11.500000,10.615000,10.750000,10.750000,4412988
2021-03-19,11.125000,11.190000,10.350000,10.700000,10.700000,4581061
2021-03-22,10.750000,11.000000,10.150000,10.600000,10.600000,2982616
2021-03-23,10.500000,10.750000,9.750000,10.000000,10.000000,5030595
2021-03-24,9.875000,10.000000,9.500000,9.750000,9.750000,5343720
2021-03-25,9.625000,9.724000,9.008000,9.249000,9.249000,7717733
2021-03-26,9.200000,10.450000,9.001000,10.100000,10.100000,5511547
2021-03-29,10.000000,10.450000,9.020000,9.500000,9.500000,4747955
2021-03-30,9.625000,10.000000,9.400000,9.400000,9.400000,3627970
2021-03-31,9.375000,9.975000,9.258000,9.547000,9.547000,2641398
2021-04-01,9.625000,10.140000,9.500000,9.700000,9.700000,3909636
2021-04-06,9.625000,10.250000,9.513000,9.750000,9.750000,5475401
2021-04-07,9.625000,9.750000,9.268000,9.501000,9.501000,4145859
2021-04-08,9.500000,9.750000,9.325000,9.496000,9.496000,2258397
2021-04-09,9.500000,9.750000,9.310000,9.490000,9.490000,2564006
2021-04-12,9.625000,9.750000,8.750000,9.000000,9.000000,7567436
2021-04-13,8.875000,9.000000,8.250000,8.600000,8.600000,12516299
2021-04-14,8.625000,8.973000,8.250000,8.400000,8.400000,8335809
2021-04-15,8.375000,9.000000,8.250000,8.500000,8.500000,7666566
2021-04-16,8.375000,8.500000,7.750000,8.100000,8.100000,10004205
2021-04-19,8.125000,8.238000,7.500000,7.600000,7.600000,7870999
2021-04-20,7.500000,8.750000,7.425000,8.500000,8.500000,13439711
2021-04-21,8.625000,8.738000,7.750000,8.275000,8.275000,7117752
2021-04-22,8.125000,8.500000,8.000000,8.000000,8.000000,7282290
2021-04-23,8.000000,8.250000,7.500000,7.900000,7.900000,5906806
2021-04-26,7.625000,8.000000,7.500000,7.700000,7.700000,4723531
2021-04-27,7.675000,8.000000,7.600000,7.675000,7.675000,4056167
2021-04-28,7.675000,8.750000,7.663000,8.650000,8.650000,12181851
2021-04-29,8.625000,9.500000,8.500000,8.500000,8.500000,10941578
2021-04-30,8.625000,8.638000,8.000000,8.125000,8.125000,3942062
