Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,2.025000,2.480000,1.750000,2.300000,2.300000,23726309
2020-08-05,2.300000,2.600000,2.200000,2.450000,2.450000,4903456
2020-08-06,2.450000,2.670000,2.200000,2.450000,2.450000,4487446
2020-08-07,2.450000,2.600000,2.280000,2.450000,2.450000,73193
2020-08-10,2.500000,2.650000,2.370000,2.500000,2.500000,2734365
2020-08-11,2.500000,2.480000,2.260000,2.450000,2.450000,618266
2020-08-12,2.450000,2.450000,2.440000,2.450000,2.450000,228989
2020-08-13,2.450000,2.450000,2.230000,2.450000,2.450000,437531
2020-08-14,2.450000,2.400000,2.255000,2.450000,2.450000,278357
2020-08-17,2.450000,2.590000,2.350000,2.450000,2.450000,456671
2020-08-18,2.450000,2.690000,2.640000,2.450000,2.450000,795951
2020-08-19,2.600000,2.880000,2.350000,2.700000,2.700000,4187249
2020-08-20,2.700000,2.870000,2.350000,2.650000,2.650000,2378596
2020-08-21,2.650000,2.700000,2.425000,2.650000,2.650000,312975
2020-08-24,2.650000,2.700000,2.425000,2.650000,2.650000,500306
2020-08-25,2.650000,2.650000,2.410000,2.600000,2.600000,173733
2020-08-26,2.600000,2.638000,2.400000,2.550000,2.550000,506417
2020-08-27,2.550000,2.550000,2.440000,2.650000,2.650000,343479
2020-08-28,2.650000,2.800000,2.470000,2.650000,2.650000,689027
2020-09-01,2.650000,2.777000,2.410000,2.650000,2.650000,1307235
2020-09-02,2.650000,2.655000,2.400000,2.450000,2.450000,760678
2020-09-03,2.500000,2.655000,2.333000,2.450000,2.450000,644854
2020-09-04,2.450000,2.550000,2.350000,2.450000,2.450000,540189
2020-09-07,2.450000,2.640000,2.200000,2.450000,2.450000,1016985
2020-09-08,2.450000,2.620000,2.383000,2.450000,2.450000,898227
2020-09-09,2.450000,2.383000,2.383000,2.450000,2.450000,20146
2020-09-10,2.450000,2.600000,2.383000,2.450000,2.450000,409519
2020-09-11,2.450000,2.600000,2.340000,2.450000,2.450000,41137
2020-09-14,2.750000,2.990000,2.500000,2.750000,2.750000,1592136
2020-09-15,2.750000,2.590000,2.360000,2.450000,2.450000,1564236
2020-09-16,2.450000,2.500000,2.370000,2.450000,2.450000,120806
2020-09-17,2.450000,2.489000,2.400000,2.450000,2.450000,235896
2020-09-18,2.450000,2.474000,2.380000,2.450000,2.450000,500846
2020-09-21,2.500000,2.425000,2.255000,2.400000,2.400000,1246352
2020-09-22,2.400000,2.400000,2.400000,2.400000,2.400000,0
2020-09-23,2.400000,2.525000,2.255000,2.450000,2.450000,381180
2020-09-24,2.550000,2.570000,2.425000,2.600000,2.600000,400860
2020-09-25,2.600000,2.517000,2.425000,2.600000,2.600000,189379
2020-09-28,2.600000,2.600000,2.600000,2.600000,2.600000,0
2020-09-29,2.600000,2.900000,2.425000,2.650000,2.650000,2692651
2020-09-30,2.650000,2.868000,2.520000,2.650000,2.650000,906718
2020-10-01,2.650000,2.740000,2.310000,2.650000,2.650000,1323775
2020-10-02,2.650000,2.650000,2.250000,2.550000,2.550000,5423875
2020-10-05,2.550000,2.570000,2.210000,2.450000,2.450000,973309
2020-10-06,2.450000,2.590000,2.283000,2.450000,2.450000,1102016
2020-10-07,2.450000,2.550000,2.210000,2.450000,2.450000,835445
2020-10-08,2.450000,2.520000,2.200000,2.350000,2.350000,751857
2020-10-09,2.400000,2.477000,2.200000,2.450000,2.450000,1139023
2020-10-12,2.450000,2.563000,2.210000,2.450000,2.450000,1225497
2020-10-13,2.450000,2.520000,2.520000,2.450000,2.450000,99989
2020-10-14,2.450000,2.640000,2.283000,2.450000,2.450000,1310720
2020-10-15,2.450000,2.690000,2.356000,2.450000,2.450000,1584980
2020-10-16,2.600000,3.077000,2.505000,2.850000,2.850000,5907501
2020-10-19,2.900000,2.900000,2.611000,2.650000,2.650000,5285088
