Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,11.500000,13.000000,8.660000,9.375000,9.375000,6900964
2021-05-17,9.625000,9.500000,6.500000,7.100000,7.100000,19075986
2021-05-18,7.500000,7.760000,6.788000,7.350000,7.350000,1747340
2021-05-19,7.375000,7.330000,6.500000,7.000000,7.000000,1186947
2021-05-20,7.000000,7.000000,6.503000,6.625000,6.625000,617599
2021-05-21,6.625000,6.670000,6.505000,6.750000,6.750000,264177
2021-05-24,6.750000,6.640000,5.650000,6.125000,6.125000,880695
2021-05-25,6.125000,6.300000,5.500000,6.125000,6.125000,1481567
2021-05-26,6.125000,7.250000,6.000000,6.875000,6.875000,673069
2021-05-27,7.000000,8.250000,6.250000,6.750000,6.750000,3577845
2021-05-28,6.875000,7.238000,6.810000,7.000000,7.000000,687262
2021-06-01,7.000000,7.125000,6.750000,7.000000,7.000000,165383
2021-06-02,7.000000,7.000000,6.500000,6.750000,6.750000,634486
2021-06-03,6.750000,6.800000,5.500000,6.250000,6.250000,1464582
2021-06-04,6.250000,6.750000,6.055000,6.750000,6.750000,1239967
2021-06-07,6.625000,7.000000,6.521000,6.875000,6.875000,363950
2021-06-08,6.875000,6.975000,6.780000,6.875000,6.875000,205884
2021-06-09,6.875000,7.250000,6.750000,7.000000,7.000000,755738
2021-06-10,7.000000,7.150000,6.250000,6.625000,6.625000,701515
2021-06-11,6.625000,7.250000,6.550000,7.000000,7.000000,550367
2021-06-14,7.000000,7.018000,6.500000,6.750000,6.750000,278123
2021-06-15,6.750000,6.690000,6.375000,6.750000,6.750000,337101
2021-06-16,6.750000,6.580000,6.260000,6.750000,6.750000,110388
2021-06-17,6.750000,6.570000,6.250000,6.750000,6.750000,455411
2021-06-18,6.750000,6.575000,6.250000,6.625000,6.625000,346122
2021-06-21,6.625000,6.500000,5.750000,6.250000,6.250000,653952
2021-06-22,6.625000,7.250000,5.770000,5.875000,5.875000,1356919
2021-06-23,5.875000,5.940000,5.765000,5.875000,5.875000,149111
2021-06-24,5.875000,5.840000,5.530000,5.750000,5.750000,125694
2021-06-25,5.750000,5.775000,5.330000,5.625000,5.625000,280688
2021-06-28,5.500000,5.700000,4.750000,5.700000,5.700000,1064011
2021-06-29,5.650000,5.790000,5.140000,5.600000,5.600000,1027170
2021-06-30,5.600000,5.649000,5.350000,5.600000,5.600000,2029087
2021-07-01,5.600000,5.540000,5.500000,5.600000,5.600000,190707
2021-07-02,5.600000,5.500000,5.100000,5.350000,5.350000,173441
2021-07-05,5.350000,5.500000,5.080000,5.500000,5.500000,60029
2021-07-06,5.350000,5.330000,5.080000,5.250000,5.250000,48453
2021-07-07,5.250000,5.250000,5.010000,5.250000,5.250000,80454
2021-07-08,5.250000,5.250000,5.000000,5.000000,5.000000,84380
2021-07-09,5.250000,6.500000,5.200000,5.650000,5.650000,1638430
2021-07-12,5.650000,5.800000,5.505000,5.750000,5.750000,210314
2021-07-13,5.750000,5.675000,5.500000,5.750000,5.750000,211051
2021-07-14,5.750000,5.675000,5.300000,5.650000,5.650000,332352
2021-07-15,5.650000,5.475000,5.335000,5.650000,5.650000,44709
2021-07-16,5.650000,5.425000,5.300000,5.650000,5.650000,50730
2021-07-19,5.650000,5.500000,4.500000,5.000000,5.000000,301387
2021-07-20,5.000000,5.480000,4.680000,5.250000,5.250000,518610
2021-07-21,5.250000,5.400000,4.750000,5.250000,5.250000,101441
2021-07-22,5.750000,6.000000,5.100000,5.500000,5.500000,149973
2021-07-23,5.500000,5.620000,5.000000,5.500000,5.500000,427807
2021-07-26,5.500000,5.500000,5.080000,5.500000,5.500000,76627
2021-07-27,5.500000,5.500000,4.700000,5.250000,5.250000,1534631
2021-07-28,5.250000,5.440000,5.025000,5.250000,5.250000,183508
2021-07-29,5.250000,5.400000,5.040000,5.250000,5.250000,4796550
2021-07-30,5.250000,5.055000,5.055000,5.250000,5.250000,8121
2021-08-02,5.250000,5.075000,5.055000,5.250000,5.250000,71807
2021-08-03,5.250000,5.200000,4.800000,5.200000,5.200000,121529
2021-08-04,5.000000,5.200000,4.800000,5.000000,5.000000,150506
2021-08-05,5.000000,5.040000,5.040000,5.000000,5.000000,26000
2021-08-06,5.000000,5.035000,4.875000,5.000000,5.000000,23522
2021-08-09,5.000000,4.883000,4.883000,5.000000,5.000000,96574
2021-08-10,5.000000,5.015000,4.800000,5.000000,5.000000,44517
2021-08-11,5.000000,4.980000,4.810000,5.000000,5.000000,62609
