Date,Open,High,Low,Close,Adj Close,Volume
23/12/2021,160,165,156,160,160,19530
24/12/2021,160,165,160,160,160,9835
29/12/2021,160,160,160,160,160,0
30/12/2021,160,160,160,160,160,0
31/12/2021,160,160,160,160,160,0
04/01/2022,160,156,155.761993,160,160,4242
05/01/2022,160,163.658997,163,160,160,13659
06/01/2022,160,165,165,160,160,12000
07/01/2022,160,165,164,160,160,7975
10/01/2022,160,165,157.5,160,160,17696
11/01/2022,160,165,165,160,160,7311
12/01/2022,160,165,165,160,160,1515
13/01/2022,165,165,165,165,165,0
14/01/2022,165,169.5,161,165,165,4026
17/01/2022,160,169.5,169.5,165,165,1000
18/01/2022,165,170,160,165,165,3035
19/01/2022,165,170,170,165,165,180
20/01/2022,165,170,170,165,165,135
21/01/2022,165,170,163.5,165,165,30
24/01/2022,165,170,170,167.5,167.5,122
25/01/2022,167.5,170,161,166.5,166.5,6751
26/01/2022,166.5,170,163.699997,166.5,166.5,53
27/01/2022,166.5,170,163.699997,166.5,166.5,99
28/01/2022,166.5,170,169,166.5,166.5,6048
31/01/2022,166.5,170,163.699997,166.5,166.5,3896
01/02/2022,166.5,170,163.699997,166.5,166.5,140
02/02/2022,166.5,170,163.699997,166.5,166.5,5052
03/02/2022,165,170,164,166.5,166.5,1346
04/02/2022,170,175,165,170,170,11130
07/02/2022,170,175,165,170,170,9124
08/02/2022,170,175,165,170,170,726
09/02/2022,170,174,166,170,170,145
10/02/2022,170,174,166,170,170,190
11/02/2022,170,174,166,170,170,8519
14/02/2022,175,180,173,176.5,176.5,5592
15/02/2022,176.5,180,174,176.5,176.5,245
16/02/2022,176.5,180,174,176.5,176.5,180009
17/02/2022,176.5,180,170,175,175,6229
18/02/2022,175,170,170,172.5,172.5,1666
21/02/2022,172.5,174,170,172.5,172.5,3004
22/02/2022,172.5,175,165,170,170,5511
23/02/2022,170,173.75,165,170,170,14282
24/02/2022,170,165.550003,165.550003,170,170,29
25/02/2022,170,173.5,165.550003,170,170,48
28/02/2022,170,173.5,165.550003,170,170,136
01/03/2022,170,173.5,165.550003,170,170,15
02/03/2022,170,170,170,170,170,0
03/03/2022,170,173.5,165,170,170,6075
04/03/2022,170,173.449997,165,170,170,244
07/03/2022,170,165,165,170,170,3853
08/03/2022,170,165,160,167.5,167.5,7011
09/03/2022,167.5,169.440002,160,167.5,167.5,19
10/03/2022,167.5,160,160,165,165,1953
11/03/2022,165,168.440002,160,165,165,2005
14/03/2022,165,160,160,165,165,3
15/03/2022,165,165,165,165,165,0
16/03/2022,165,160,160,165,165,11
17/03/2022,165,167,160,165,165,9
18/03/2022,165,165,165,165,165,0
21/03/2022,165,166.699997,166.699997,165,165,3
22/03/2022,165,166.699997,160,165,165,151580
23/03/2022,165,160,160,165,165,119
24/03/2022,165,165,165,165,165,0
25/03/2022,165,166.5,166.339996,165,165,56
28/03/2022,165,165,160,165,165,939
29/03/2022,165,165,165,165,165,0
30/03/2022,164,165,164.440002,165,165,17289
31/03/2022,165,165,165,165,165,0
01/04/2022,164,160,160,165,165,17
04/04/2022,165,165,165,165,165,838
05/04/2022,165,160,160,165,165,2
06/04/2022,165,160,160,165,165,3754
07/04/2022,165,165,165,165,165,0
08/04/2022,165,170,166.5,165,165,6129
11/04/2022,165,166,160.860001,160.860001,160.860001,3504
12/04/2022,165,166.5,166.5,165,165,11
13/04/2022,165,167.5,167.5,165,165,5
14/04/2022,165,167.5,167.5,165,165,26
19/04/2022,165,167.5,163,165,165,26
20/04/2022,165,163,163,165,165,5
21/04/2022,165,163.149994,163.149994,165,165,2
22/04/2022,165,165,165,165,165,0
25/04/2022,165,165,165,165,165,0
26/04/2022,165,165,165,165,165,0
27/04/2022,165,163.149994,163.149994,165,165,3
28/04/2022,165,167.5,167.5,165,165,1
29/04/2022,165,167.5,167.5,165,165,40
03/05/2022,165,167.5,163.149994,165,165,28
04/05/2022,165,165,165,165,165,0
05/05/2022,165,165,165,165,165,0
06/05/2022,165,163.149994,163.149994,165,165,2
09/05/2022,165,167.5,167.5,165,165,19
10/05/2022,165,167.5,163.274994,165,165,123
11/05/2022,165,167.5,163.274994,165,165,56
12/05/2022,165,163.274994,163.274994,165,165,8
13/05/2022,165,167.5,163.274994,165,165,235
16/05/2022,165,163.274994,163.274994,165,165,2
17/05/2022,165,165,165,165,165,0
18/05/2022,165,163.220001,163.220001,165,165,175
19/05/2022,165,165,165,165,165,0
20/05/2022,165,169.899994,169.899994,165,165,1748
23/05/2022,165,169.899994,163.225006,165,165,63
24/05/2022,165,169.899994,163.225006,165,165,15
25/05/2022,165,163.225006,163.225006,165,165,5
26/05/2022,165,165,165,165,165,0
27/05/2022,165,166.5,163.225006,165,165,221
30/05/2022,165,163.225006,163.225006,165,165,26
31/05/2022,165,170,163.225006,165,165,66
01/06/2022,165,169.990005,163.225006,165,165,18
06/06/2022,165,169.990005,163.225006,165,165,6
07/06/2022,165,162,160,165,165,7492
08/06/2022,165,165,165,165,165,0
09/06/2022,165,169.445007,162,165,165,2954
10/06/2022,165,162,160,165,165,3750
13/06/2022,165,160,160,165,165,11
14/06/2022,165,164.979996,160,165,165,3
15/06/2022,165,164.979996,164.979996,165,165,15
16/06/2022,165,160,160,165,165,2500
17/06/2022,165,165,165,165,165,0
20/06/2022,165,160,160,162.5,162.5,3005
21/06/2022,160,155,155,162.5,162.5,2922
22/06/2022,162.5,162.5,162.5,162.5,162.5,0
23/06/2022,162.5,162.5,162.5,162.5,162.5,0
24/06/2022,162.5,164.979996,164.979996,162.5,162.5,4489
27/06/2022,160,160,160,160,160,0
28/06/2022,160,160,160,160,160,0
29/06/2022,160,160,160,160,160,0
30/06/2022,160,160,160,160,160,0
01/07/2022,160,160,160,160,160,0
04/07/2022,160,160,160,160,160,0
05/07/2022,160,155,155,155,155,1500
06/07/2022,155,155,155,155,155,0
07/07/2022,155,155,155,155,155,0
08/07/2022,155,150,150,155,155,2
11/07/2022,155,152.5,152.5,152.5,152.5,12728
12/07/2022,152.5,150,145,150,150,3010
13/07/2022,150,150,150,150,150,0
14/07/2022,150,145,145,150,150,28
15/07/2022,150,145,145,142.5,142.5,1500
18/07/2022,142.5,145,144.740005,142.5,142.5,702
19/07/2022,142.5,144.740005,144.740005,142.5,142.5,2
20/07/2022,142.5,144.494995,140,142.5,142.5,17002
21/07/2022,142.5,142.5,142.5,142.5,142.5,0
22/07/2022,142.5,144.494995,144.494995,142.5,142.5,6
25/07/2022,142.5,144.494995,140,142.5,142.5,5036
26/07/2022,142.5,142.5,142.5,142.5,142.5,0
27/07/2022,142.5,145,145,145,145,7000
28/07/2022,145,141.660004,141.660004,145,145,4
29/07/2022,145,149.990005,145,145,145,989
01/08/2022,145,149.990005,149.990005,147.5,147.5,300
02/08/2022,147.5,154,154,147.5,147.5,19
03/08/2022,147.5,147.5,147.5,147.5,147.5,0
04/08/2022,147.5,154,154,147.5,147.5,10
05/08/2022,147.5,147.5,147.5,147.5,147.5,0
08/08/2022,147.5,141.75,141.75,147.5,147.5,5
09/08/2022,147.5,147.5,147.5,147.5,147.5,0
10/08/2022,147.5,154,141.75,147.5,147.5,42
11/08/2022,147.5,154,154,147.5,147.5,5
12/08/2022,147.5,147.5,147.5,147.5,147.5,0
15/08/2022,120,122.5,114,125,125,328184
16/08/2022,125,128.139999,120,128.139999,128.139999,1048
17/08/2022,125,125,120,125,125,60009
18/08/2022,125,125,124.550003,125,125,211864
19/08/2022,125,125,125,125,125,0
22/08/2022,125,125,125,125,125,0
23/08/2022,125,125,125,125,125,0
24/08/2022,125,125,125,125,125,0
25/08/2022,125,125,125,125,125,0
26/08/2022,125,124.550003,124.550003,125,125,1502
30/08/2022,125,120,120,125,125,2
31/08/2022,125,125,125,125,125,0
01/09/2022,125,125,125,125,125,0
02/09/2022,125,125,125,125,125,0
05/09/2022,125,125,125,125,125,0
06/09/2022,125,125,125,125,125,0
07/09/2022,125,125,125,125,125,0
08/09/2022,125,120,120,125,125,5
09/09/2022,125,120,120,125,125,10
12/09/2022,125,125,125,125,125,0
13/09/2022,125,125,125,125,125,0
14/09/2022,125,125,125,125,125,0
15/09/2022,125,125,125,125,125,0
16/09/2022,125,125,125,125,125,0
20/09/2022,125,125,125,125,125,0
21/09/2022,125,129.75,124,125,125,6256
22/09/2022,125,125,125,125,125,0
23/09/2022,125,125,125,125,125,0
26/09/2022,125,125,125,125,125,0
27/09/2022,125,122,122,125,125,6135
28/09/2022,125,125,125,125,125,0
29/09/2022,125,129,129,125,125,400
30/09/2022,125,129,129,125,125,12
03/10/2022,125,128,120,125,125,6238
04/10/2022,125,125,125,125,125,0
05/10/2022,125,120,120,125,125,39
06/10/2022,125,127,120,125,125,1003
07/10/2022,125,125,125,125,125,0
