Date,Open,High,Low,Close,Adj Close,Volume
2018-07-05,1.131100,1.131100,1.131100,1.131100,1.131100,0
2018-07-06,1.131100,1.131100,1.131100,1.131100,1.131100,0
2018-07-09,1.170000,1.180400,1.160000,1.162000,1.162000,1928444
2018-07-10,1.162000,1.180000,1.162000,1.175000,1.175000,1298353
2018-07-11,1.180000,1.180000,1.180000,1.180000,1.180000,767500
2018-07-12,1.180000,1.180000,1.180000,1.187500,1.187500,44322
2018-07-13,1.195000,1.195000,1.195000,1.187500,1.187500,118903
2018-07-16,1.190000,1.197500,1.190000,1.197500,1.197500,15650
2018-07-17,1.190000,1.190000,1.190000,1.185000,1.185000,60290
2018-07-18,1.181000,1.182000,1.181000,1.180500,1.180500,60802
2018-07-19,1.182000,1.182000,1.180000,1.176600,1.176600,158899
2018-07-20,1.174400,1.174400,1.174400,1.174400,1.174400,0
2018-07-23,1.176930,1.176930,1.176930,1.174500,1.174500,8959
2018-07-24,1.178600,1.178600,1.178000,1.178000,1.178000,83582
2018-07-25,1.184000,1.184000,1.184000,1.175000,1.175000,60420
2018-07-26,1.166200,1.177400,1.166200,1.168000,1.168000,105412
2018-07-27,1.181800,1.181800,1.181800,1.173500,1.173500,22000
2018-07-30,1.173000,1.173000,1.173000,1.172800,1.172800,21920
2018-07-31,1.171830,1.171830,1.171830,1.172900,1.172900,2000
2018-08-01,1.166000,1.166000,1.166000,1.173400,1.173400,27473
2018-08-02,1.179400,1.179400,1.179400,1.172700,1.172700,40404
2018-08-03,1.166000,1.166000,1.166000,1.172700,1.172700,7610
2018-08-06,1.179800,1.180000,1.179800,1.173300,1.173300,28929
2018-08-07,1.171000,1.171000,1.171000,1.172300,1.172300,15000
2018-08-08,1.169900,1.169900,1.169900,1.169900,1.169900,0
2018-08-09,1.169900,1.169900,1.169900,1.169900,1.169900,0
2018-08-10,1.172600,1.172600,1.172600,1.168200,1.168200,4303
2018-08-13,1.170000,1.170000,1.170000,1.171300,1.171300,6841
2018-08-14,1.160000,1.172000,1.159200,1.166000,1.166000,63646
2018-08-15,1.162000,1.162000,1.162000,1.169000,1.169000,39380
2018-08-16,1.160000,1.173000,1.160000,1.166000,1.166000,24736
2018-08-17,1.169120,1.169120,1.169120,1.164700,1.164700,4479
2018-08-20,1.160000,1.160000,1.160000,1.162000,1.162000,46271
2018-08-21,1.160000,1.170000,1.160000,1.170000,1.170000,32215
2018-08-22,1.161500,1.161500,1.161500,1.161500,1.161500,0
2018-08-23,1.164000,1.173000,1.164000,1.165000,1.165000,50813
2018-08-24,1.165000,1.165000,1.165000,1.160100,1.160100,73328
2018-08-28,1.160000,1.160000,1.154000,1.155000,1.155000,388641
2018-08-29,1.160000,1.167000,1.160000,1.160000,1.160000,1844878
2018-08-30,1.175000,1.175000,1.175000,1.165000,1.165000,140732
2018-08-31,1.157000,1.175000,1.157000,1.170000,1.170000,21352
2018-09-03,1.165000,1.170000,1.165000,1.170000,1.170000,93306
2018-09-04,1.170000,1.175000,1.170000,1.175100,1.175100,138091
2018-09-05,1.180000,1.190000,1.180000,1.190000,1.190000,90333
2018-09-06,1.190000,1.190000,1.190000,1.182500,1.182500,8458
