Date,Open,High,Low,Close,Adj Close,Volume
2015-06-03,144.250000,145.000000,140.000000,143.000000,143.000000,51405
2015-06-04,142.000000,142.000000,140.000000,142.500000,142.500000,16499
2015-06-05,140.750000,141.000000,140.000000,140.000000,140.000000,29312
2015-06-08,142.000000,142.000000,139.000000,142.500000,142.500000,168473
2015-06-09,141.699997,141.699997,140.000000,142.500000,142.500000,7923
2015-06-10,141.250000,141.250000,141.250000,142.500000,142.500000,522
2015-06-11,140.000000,140.199997,139.000000,142.000000,142.000000,8170
2015-06-12,140.348007,140.348007,137.000000,140.500000,140.500000,7498
2015-06-15,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-06-16,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-06-17,139.000000,139.000000,139.000000,139.500000,139.500000,221
2015-06-18,138.899994,138.899994,138.899994,139.500000,139.500000,86
2015-06-19,139.500000,139.500000,139.500000,139.500000,139.500000,0
2015-06-22,139.500000,139.500000,139.500000,139.500000,139.500000,0
2015-06-23,139.500000,139.500000,139.500000,139.500000,139.500000,0
2015-06-24,138.822998,138.822998,138.750000,139.500000,139.500000,376
2015-06-25,139.500000,139.500000,139.500000,139.500000,139.500000,0
2015-06-26,139.500000,139.500000,139.500000,139.500000,139.500000,0
2015-06-29,138.750000,138.750000,138.750000,139.500000,139.500000,27
2015-06-30,139.500000,139.500000,139.500000,139.500000,139.500000,0
2015-07-01,139.500000,139.500000,139.500000,139.500000,139.500000,0
2015-07-02,138.000000,138.000000,138.000000,139.000000,139.000000,311
2015-07-03,139.000000,139.000000,139.000000,139.000000,139.000000,0
2015-07-06,138.399994,138.399994,138.399994,139.000000,139.000000,5
2015-07-07,138.000000,138.000000,138.000000,139.000000,139.000000,2819
2015-07-08,139.000000,139.000000,139.000000,139.000000,139.000000,0
2015-07-09,140.000000,140.000000,140.000000,139.000000,139.000000,1700
2015-07-10,139.000000,139.000000,139.000000,139.000000,139.000000,0
2015-07-13,143.149994,143.500000,143.000000,143.500000,143.500000,29923
2015-07-14,143.000000,143.000000,143.000000,143.500000,143.500000,2245
2015-07-15,143.000000,143.000000,140.000000,140.500000,140.500000,7285
2015-07-16,140.300003,140.300003,140.300003,140.500000,140.500000,5047
2015-07-17,140.250000,140.500000,140.250000,140.500000,140.500000,108912
2015-07-20,140.250000,140.250000,138.000000,140.500000,140.500000,6590
2015-07-21,140.199997,140.199997,140.199997,140.500000,140.500000,1420
2015-07-22,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-07-23,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-07-24,140.149994,140.149994,138.000000,140.500000,140.500000,5447
2015-07-27,140.149994,140.199997,140.149994,140.500000,140.500000,2926
2015-07-28,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-07-29,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-07-30,140.199997,140.199997,140.199997,140.500000,140.500000,3422
2015-07-31,139.000000,139.000000,139.000000,140.500000,140.500000,6597
2015-08-03,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-04,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-05,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-06,140.000000,140.000000,140.000000,140.500000,140.500000,6
2015-08-07,140.000000,140.000000,140.000000,140.500000,140.500000,62
2015-08-10,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-11,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-12,135.000000,138.000000,135.000000,140.500000,140.500000,4125
2015-08-13,138.000000,138.000000,138.000000,140.500000,140.500000,5000
2015-08-14,138.000000,138.000000,138.000000,140.500000,140.500000,10000
2015-08-17,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-18,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-19,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-20,140.500000,140.500000,140.500000,140.500000,140.500000,0
2015-08-21,140.199997,140.199997,138.000000,140.500000,140.500000,8300
2015-08-24,138.000000,138.000000,138.000000,140.500000,140.500000,343
2015-08-25,142.500000,142.500000,142.500000,140.500000,140.500000,13920
2015-08-26,141.000000,141.000000,141.000000,140.000000,140.000000,2819
2015-08-27,141.000000,141.000000,141.000000,140.000000,140.000000,709
2015-08-28,140.000000,140.000000,140.000000,140.000000,140.000000,0
2015-09-01,140.000000,140.000000,140.000000,140.000000,140.000000,0
2015-09-02,138.000000,138.000000,138.000000,140.000000,140.000000,164
2015-09-03,141.000000,141.000000,141.000000,140.000000,140.000000,5000
2015-09-04,141.250000,142.500000,141.250000,142.500000,142.500000,19970
2015-09-07,142.500000,142.500000,142.500000,142.500000,142.500000,8953
2015-09-08,142.500000,142.500000,142.500000,142.500000,142.500000,693
2015-09-09,142.500000,142.500000,142.500000,142.500000,142.500000,0
2015-09-10,143.949997,144.250000,142.500000,142.500000,142.500000,4345
