Date,Open,High,Low,Close,Adj Close,Volume
2017-10-10,1.150000,1.170000,1.100000,1.140000,1.140000,17355696
2017-10-11,1.142500,1.171900,1.100000,1.135000,1.135000,15419945
2017-10-12,1.127500,1.150000,1.127500,1.130000,1.130000,1411860
2017-10-13,1.130000,1.163600,1.120000,1.122500,1.122500,1437670
2017-10-16,1.120000,1.130000,1.115000,1.120000,1.120000,114224
2017-10-17,1.137500,1.137500,1.115000,1.122500,1.122500,518956
2017-10-18,1.127500,1.132500,1.122420,1.127500,1.127500,378729
2017-10-19,1.130000,1.130000,1.115000,1.125000,1.125000,246985
2017-10-20,1.125000,1.157500,1.123000,1.136250,1.136250,914143
2017-10-23,1.115000,1.119230,1.115000,1.136250,1.136250,458987
2017-10-24,1.120000,1.121500,1.115000,1.118750,1.118750,559809
2017-10-25,1.115000,1.155000,1.110000,1.142500,1.142500,2084561
2017-10-26,1.132500,1.152500,1.132500,1.142500,1.142500,93810
2017-10-27,1.140000,1.140000,1.132500,1.132500,1.132500,3283
2017-10-30,1.157500,1.157500,1.130000,1.131250,1.131250,329681
2017-10-31,1.155000,1.155000,1.125000,1.125000,1.125000,306465
2017-11-01,1.157500,1.180000,1.110000,1.150000,1.150000,588444
2017-11-02,1.130000,1.177500,1.130000,1.155000,1.155000,40191
2017-11-03,1.132500,1.155670,1.130000,1.155000,1.155000,25918
2017-11-06,1.177500,1.177500,1.159000,1.155000,1.155000,31833
2017-11-07,1.180000,1.180000,1.132500,1.150000,1.150000,357276
2017-11-08,1.174500,1.174500,1.168240,1.155000,1.155000,1170592
2017-11-09,1.130000,1.173000,1.130000,1.130000,1.130000,311392
2017-11-10,1.132500,1.171500,1.132500,1.150000,1.150000,167148
2017-11-13,1.177500,1.178200,1.168240,1.165000,1.165000,146387
2017-11-14,1.180000,1.180000,1.130000,1.145000,1.145000,149821
2017-11-15,1.130000,1.159000,1.125000,1.153750,1.153750,52022
2017-11-16,1.167500,1.167500,1.167500,1.150000,1.150000,100
2017-11-17,1.170000,1.170000,1.170000,1.155000,1.155000,726
2017-11-20,1.167500,1.167500,1.167500,1.167500,1.167500,40
2017-11-21,1.170000,1.170000,1.170000,1.155000,1.155000,22394
2017-11-22,1.155000,1.155000,1.155000,1.155000,1.155000,0
2017-11-23,1.155000,1.155000,1.155000,1.155000,1.155000,0
2017-11-24,1.170000,1.170000,1.170000,1.155000,1.155000,50
2017-11-27,1.170000,1.170000,1.170000,1.155000,1.155000,17320
2017-11-28,1.170000,1.170000,1.170000,1.155000,1.155000,4947
2017-11-29,1.170000,1.170000,1.170000,1.155000,1.155000,20796
2017-11-30,1.170000,1.170000,1.170000,1.155000,1.155000,187913
2017-12-01,1.140000,1.170000,1.140000,1.147500,1.147500,28054
2017-12-04,1.155000,1.155000,1.150000,1.155000,1.155000,17917
2017-12-05,1.155000,1.170000,1.155000,1.155000,1.155000,12629
2017-12-06,1.147500,1.147500,1.147500,1.147500,1.147500,3507
2017-12-07,1.170000,1.170000,1.170000,1.155000,1.155000,6177
2017-12-08,1.140000,1.140000,1.140000,1.147500,1.147500,102461
2017-12-11,1.162500,1.167500,1.162500,1.150000,1.150000,6991
2017-12-12,1.170000,1.170000,1.167500,1.147500,1.147500,1283
2017-12-13,1.160000,1.165000,1.160000,1.145000,1.145000,69218
2017-12-14,1.170000,1.170000,1.167500,1.147500,1.147500,34302
2017-12-15,1.140000,1.140000,1.140000,1.147500,1.147500,83080
2017-12-18,1.170000,1.170000,1.170000,1.147500,1.147500,795533
2017-12-19,1.170000,1.185000,1.170000,1.182500,1.182500,64305
2017-12-20,1.202300,1.202300,1.165000,1.182500,1.182500,3940
2017-12-21,1.207500,1.207500,1.207500,1.182500,1.182500,909964
2017-12-22,1.207500,1.207500,1.207500,1.182500,1.182500,150365
2017-12-27,1.217500,1.217500,1.157500,1.182500,1.182500,305366
2017-12-28,1.207500,1.207500,1.207500,1.182500,1.182500,21814
2017-12-29,1.180000,1.180000,1.180000,1.173750,1.173750,200
2018-01-02,1.200000,1.200000,1.200000,1.185000,1.185000,19713
2018-01-03,1.210000,1.210000,1.200000,1.190000,1.190000,47810
2018-01-04,1.200000,1.200000,1.190000,1.185000,1.185000,13921
2018-01-05,1.200000,1.200000,1.200000,1.185000,1.185000,402872
2018-01-08,1.210000,1.210000,1.190000,1.185000,1.185000,39297
2018-01-09,1.210000,1.210000,1.170000,1.185000,1.185000,40111
2018-01-10,1.210000,1.210000,1.190000,1.190000,1.190000,5624
2018-01-11,1.207000,1.214000,1.200000,1.205000,1.205000,362044
2018-01-12,1.190000,1.240000,1.190000,1.225000,1.225000,70492
2018-01-15,1.230000,1.230000,1.230000,1.225000,1.225000,611695
2018-01-16,1.210000,1.260000,1.210000,1.240000,1.240000,14596
2018-01-17,1.250000,1.250000,1.220000,1.250000,1.250000,346021
2018-01-18,1.240000,1.260000,1.240000,1.250000,1.250000,32558
2018-01-19,1.260000,1.260000,1.260000,1.260000,1.260000,253307
2018-01-22,1.260000,1.260000,1.240000,1.240000,1.240000,49917
2018-01-23,1.230000,1.260000,1.220000,1.240000,1.240000,19102
2018-01-24,1.220000,1.230000,1.220000,1.240000,1.240000,68993
2018-01-25,1.230000,1.230000,1.220000,1.240000,1.240000,16759
2018-01-26,1.260000,1.260000,1.240000,1.240000,1.240000,78555
2018-01-29,1.260000,1.260000,1.230000,1.240000,1.240000,23582
2018-01-30,1.250000,1.260000,1.210000,1.235000,1.235000,113342
2018-01-31,1.210000,1.250000,1.210000,1.235000,1.235000,172513
2018-02-01,1.240000,1.240000,1.210000,1.230000,1.230000,6990
2018-02-02,1.210000,1.220000,1.190000,1.205000,1.205000,84168
2018-02-05,1.200000,1.200000,1.160000,1.175000,1.175000,265502
2018-02-06,1.150000,1.180000,1.150000,1.165000,1.165000,225879
2018-02-07,1.180000,1.180000,1.140000,1.180000,1.180000,33724
2018-02-08,1.194000,1.194000,1.192000,1.172000,1.172000,106306
2018-02-09,1.152000,1.190000,1.152000,1.173000,1.173000,61369
2018-02-12,1.194000,1.194000,1.194000,1.165000,1.165000,500075
2018-02-13,1.194000,1.194000,1.160000,1.178000,1.178000,7159
2018-02-14,1.194000,1.194000,1.168000,1.173000,1.173000,41027
2018-02-15,1.194000,1.194000,1.152000,1.173000,1.173000,2231501
2018-02-16,1.192000,1.192000,1.166000,1.173000,1.173000,24319
2018-02-19,1.194000,1.194000,1.152000,1.173000,1.173000,9365
2018-02-20,1.174000,1.180000,1.166000,1.166000,1.166000,398439
2018-02-21,1.168000,1.174000,1.168000,1.170000,1.170000,1718588
2018-02-22,1.170000,1.178000,1.170000,1.174000,1.174000,115359
2018-02-23,1.186000,1.186000,1.186000,1.156000,1.156000,41624
2018-02-26,1.194000,1.194000,1.152000,1.172000,1.172000,27269
2018-02-27,1.160000,1.160000,1.160000,1.172000,1.172000,290138
2018-02-28,1.158130,1.158130,1.158130,1.172000,1.172000,11349
2018-03-01,1.194000,1.194000,1.144000,1.155000,1.155000,1220789
2018-03-02,1.170000,1.170000,1.160000,1.150000,1.150000,48
2018-03-05,1.170000,1.170000,1.130000,1.142000,1.142000,118734
2018-03-06,1.140000,1.140000,1.134000,1.135000,1.135000,254222
2018-03-07,1.130000,1.134000,1.120000,1.120000,1.120000,376873
2018-03-08,1.134000,1.134000,1.124000,1.117000,1.117000,1348356
2018-03-09,1.119000,1.122000,1.118390,1.122000,1.122000,418196
2018-03-12,1.128000,1.128000,1.108000,1.109000,1.109000,287578
2018-03-13,1.130000,1.130000,1.110000,1.110000,1.110000,368704
2018-03-14,1.124000,1.124000,1.114000,1.117000,1.117000,83496
2018-03-15,1.114000,1.114000,1.114000,1.119000,1.119000,60831
2018-03-16,1.114000,1.124000,1.108000,1.106000,1.106000,239045
2018-03-19,1.104000,1.104000,1.070000,1.095000,1.095000,183179
2018-03-20,1.070000,1.070000,1.064000,1.075000,1.075000,437427
2018-03-21,1.078000,1.080000,1.078000,1.083000,1.083000,39178
2018-03-22,1.092000,1.098000,1.092000,1.080000,1.080000,17984
2018-03-23,1.098000,1.098000,1.060000,1.093000,1.093000,105240
2018-03-26,1.108000,1.112000,1.100000,1.106000,1.106000,140820
2018-03-27,1.106000,1.118000,1.106000,1.116000,1.116000,33541
2018-03-28,1.112000,1.112000,1.110520,1.097000,1.097000,100174
2018-03-29,1.097000,1.097000,1.097000,1.097000,1.097000,0
2018-04-03,1.122000,1.126000,1.116000,1.125000,1.125000,57844
2018-04-04,1.130000,1.130000,1.130000,1.108000,1.108000,24597
2018-04-05,1.140000,1.140000,1.140000,1.133000,1.133000,14825
2018-04-06,1.137670,1.137670,1.137670,1.120000,1.120000,31291
2018-04-09,1.139000,1.139230,1.139000,1.120000,1.120000,10049
2018-04-10,1.146000,1.150000,1.146000,1.140000,1.140000,225243
2018-04-11,1.120000,1.120000,1.120000,1.140000,1.140000,54997
2018-04-12,1.128000,1.128000,1.128000,1.139000,1.139000,29220
2018-04-13,1.126000,1.134000,1.126000,1.134000,1.134000,3065
2018-04-16,1.150000,1.150000,1.150000,1.139000,1.139000,122553
2018-04-17,1.160000,1.162000,1.160000,1.155000,1.155000,64640
2018-04-18,1.168000,1.170000,1.166000,1.147000,1.147000,123075
2018-04-19,1.180000,1.180000,1.170000,1.177000,1.177000,114702
2018-04-20,1.170000,1.172000,1.170000,1.164000,1.164000,109096
2018-04-23,1.138000,1.180000,1.138000,1.175000,1.175000,37276
2018-04-24,1.180000,1.180000,1.170000,1.179000,1.179000,82747
2018-04-25,1.170000,1.170000,1.170000,1.164000,1.164000,111942
2018-04-26,1.162780,1.162780,1.161100,1.168000,1.168000,44527
2018-04-27,1.138000,1.138000,1.128000,1.154000,1.154000,26843
2018-04-30,1.130000,1.130000,1.102000,1.132000,1.132000,9505
2018-05-01,1.104000,1.106000,1.104000,1.128000,1.128000,21777
2018-05-02,1.137600,1.137600,1.131770,1.128000,1.128000,102089
2018-05-03,1.130000,1.134300,1.128000,1.128000,1.128000,30637
2018-05-04,1.129950,1.130960,1.126360,1.128000,1.128000,34449
2018-05-08,1.102000,1.102000,1.102000,1.128000,1.128000,139144
2018-05-09,1.129200,1.129420,1.129200,1.132000,1.132000,20335
2018-05-10,1.130000,1.130000,1.128000,1.128000,1.128000,61900
2018-05-11,1.154000,1.154000,1.154000,1.140000,1.140000,304150
2018-05-14,1.160000,1.160000,1.160000,1.156000,1.156000,64676
2018-05-15,1.158000,1.170000,1.158000,1.156000,1.156000,223548
2018-05-16,1.170000,1.170000,1.166000,1.156000,1.156000,50969
2018-05-17,1.168000,1.170000,1.168000,1.156000,1.156000,66681
2018-05-18,1.165370,1.165680,1.165370,1.156000,1.156000,62711
2018-05-21,1.170000,1.182000,1.170000,1.173000,1.173000,72294
2018-05-22,1.188000,1.188000,1.180000,1.173000,1.173000,109823
2018-05-23,1.182000,1.182000,1.182000,1.173000,1.173000,31094
2018-05-24,1.162000,1.162000,1.162000,1.173000,1.173000,53720
2018-05-25,1.170000,1.170000,1.170000,1.173000,1.173000,86094
2018-05-29,1.168000,1.170000,1.140000,1.141000,1.141000,88103
2018-05-30,1.162000,1.168000,1.152000,1.146000,1.146000,66589
2018-05-31,1.170000,1.172000,1.158000,1.160000,1.160000,1026418
2018-06-01,1.150000,1.150000,1.150000,1.160000,1.160000,121706
2018-06-04,1.146000,1.146000,1.144000,1.155000,1.155000,602190
2018-06-05,1.158000,1.158000,1.158000,1.172000,1.172000,382268
2018-06-06,1.170000,1.170000,1.170000,1.177000,1.177000,632415
2018-06-07,1.184000,1.184000,1.181600,1.177000,1.177000,242335
2018-06-08,1.172320,1.172320,1.172320,1.177000,1.177000,20312
2018-06-11,1.170000,1.170000,1.144000,1.166000,1.166000,82574
2018-06-12,1.168000,1.168000,1.168000,1.168000,1.168000,0
2018-06-13,1.136000,1.136000,1.136000,1.162000,1.162000,21603
2018-06-14,1.138000,1.154000,1.130000,1.155000,1.155000,356541
2018-06-15,1.130000,1.140000,1.130000,1.156000,1.156000,7738
2018-06-18,1.138000,1.138000,1.138000,1.156000,1.156000,55334
2018-06-19,1.130000,1.130000,1.130000,1.140000,1.140000,15571
2018-06-20,1.132000,1.140000,1.130000,1.134000,1.134000,4076144
2018-06-21,1.140000,1.158000,1.140000,1.146000,1.146000,15666
2018-06-22,1.132000,1.134000,1.130000,1.130000,1.130000,53604
2018-06-25,1.130000,1.130000,1.130000,1.130000,1.130000,14664580
2018-06-26,1.136000,1.170000,1.136000,1.145000,1.145000,15682
2018-06-27,1.152000,1.170000,1.152000,1.145000,1.145000,11480
2018-06-28,1.170000,1.170000,1.148000,1.145000,1.145000,17775
2018-06-29,1.170000,1.172000,1.150000,1.145000,1.145000,42720
2018-07-02,1.160000,1.160000,1.160000,1.161000,1.161000,38735
2018-07-03,1.172000,1.172000,1.172000,1.166000,1.166000,127055
2018-07-04,1.156000,1.164000,1.156000,1.166000,1.166000,40094
2018-07-05,1.140000,1.160000,1.140000,1.176000,1.176000,40345
2018-07-06,1.162020,1.162020,1.162020,1.171000,1.171000,21452
2018-07-09,1.192000,1.192000,1.192000,1.186000,1.186000,16934
2018-07-10,1.192000,1.192000,1.192000,1.170000,1.170000,744357
2018-07-11,1.182000,1.202000,1.182000,1.186000,1.186000,127250
2018-07-12,1.202000,1.210000,1.202000,1.188000,1.188000,43490
2018-07-13,1.214000,1.220000,1.214000,1.211000,1.211000,120708
2018-07-16,1.210000,1.214000,1.207630,1.207630,1.207630,93849
2018-07-17,1.192000,1.210000,1.192000,1.225000,1.225000,541739
2018-07-18,1.170000,1.172000,1.156000,1.165000,1.165000,1950327
2018-07-19,1.170000,1.170000,1.140000,1.140000,1.140000,4386222
2018-07-20,1.140000,1.142000,1.120000,1.162000,1.162000,180556
2018-07-23,1.138000,1.150000,1.128000,1.128000,1.128000,97639
2018-07-24,1.114000,1.130000,1.110000,1.110000,1.110000,62516
2018-07-25,1.116000,1.120000,1.106000,1.123000,1.123000,99578
2018-07-26,1.180000,1.180000,1.110000,1.130000,1.130000,199907
2018-07-27,1.124000,1.180000,1.110000,1.140000,1.140000,456222
2018-07-30,1.110000,1.120000,1.080000,1.095000,1.095000,253077
2018-07-31,1.122000,1.168000,1.106000,1.137000,1.137000,181041
2018-08-01,1.100000,1.130000,1.100000,1.126000,1.126000,119056
2018-08-02,1.120000,1.130000,1.118000,1.125000,1.125000,113608
2018-08-03,1.146000,1.146000,1.134000,1.125000,1.125000,170253
2018-08-06,1.128000,1.130000,1.128000,1.125000,1.125000,42178
2018-08-07,1.130000,1.130000,1.126000,1.138000,1.138000,96575
2018-08-08,1.140000,1.140000,1.140000,1.136000,1.136000,85809
