Date,Open,High,Low,Close,Adj Close,Volume
2016-05-10,175.000000,197.000000,148.000000,190.000000,187.031693,4463268
2016-05-11,189.800003,225.000000,189.800003,210.000000,206.719238,994247
2016-05-12,209.199997,210.600006,198.000000,207.500000,204.258301,369388
2016-05-13,207.800003,209.899994,201.059998,207.500000,204.258301,190900
2016-05-16,208.000000,208.000000,203.000000,206.500000,203.273911,100316
2016-05-17,203.350006,205.000000,197.000000,197.500000,194.414520,1432160
2016-05-18,200.000000,200.000000,195.000000,197.500000,194.414520,204754
2016-05-19,198.500000,201.000000,195.000000,198.500000,195.398895,63023
2016-05-20,199.699997,204.229996,198.000000,199.000000,195.891098,195956
2016-05-23,199.000000,200.000000,195.000000,195.500000,192.445755,118075
2016-05-24,196.000000,196.000000,188.000000,190.500000,187.523865,263526
2016-05-25,192.000000,192.110992,188.000000,190.000000,187.031693,78137
2016-05-26,190.000000,191.000000,188.649994,189.000000,186.047333,191422
2016-05-27,191.000000,205.000000,188.800003,202.500000,199.336411,87311
2016-05-31,205.000000,208.500000,202.000000,206.000000,202.781738,42633
2016-06-01,208.500000,208.500000,202.250000,206.000000,202.781738,136793
2016-06-02,206.399994,208.500000,204.550003,205.500000,202.289536,34056
2016-06-03,204.050003,205.000000,200.000000,202.500000,199.336411,46662
2016-06-06,206.000000,208.000000,200.000000,202.500000,199.336411,61088
2016-06-07,203.500000,207.000000,202.000000,204.500000,201.305176,126466
2016-06-08,203.800003,205.000000,203.000000,205.000000,201.797348,815731
2016-06-09,203.800003,203.800003,196.000000,203.000000,199.828613,285295
2016-06-10,201.800003,202.800003,201.000000,203.000000,199.828613,18834
2016-06-13,201.440002,204.000000,201.000000,204.000000,200.812973,70576
2016-06-14,201.660004,202.000000,200.500000,202.500000,199.336411,172925
2016-06-15,201.000000,203.000000,200.000000,202.500000,199.336411,123126
2016-06-16,201.029999,201.029999,193.100006,196.500000,193.430145,25680
2016-06-17,197.500000,199.500000,196.199997,198.000000,194.906693,18300
2016-06-20,199.160004,200.000000,196.199997,200.000000,196.875458,52905
2016-06-21,200.000000,200.397003,198.000000,200.000000,196.875458,8166
2016-06-22,198.000000,198.399994,194.778000,197.500000,194.414520,66261
2016-06-23,195.250000,197.000000,195.000000,197.500000,194.414520,66852
2016-06-24,188.809998,189.649994,183.000000,187.500000,184.570755,184040
2016-06-27,185.000000,185.000000,171.399994,175.000000,172.266037,230490
2016-06-28,173.199997,175.399994,172.000000,173.500000,170.789474,52470
2016-06-29,172.000000,173.250000,166.250000,169.500000,166.851944,382722
2016-06-30,169.550003,170.000000,169.000000,169.500000,166.851944,77801
2016-07-01,170.479996,171.699997,169.000000,170.000000,167.344147,217877
2016-07-04,170.500000,177.000000,170.000000,175.500000,172.758224,113462
2016-07-05,178.940002,183.850006,175.000000,178.500000,175.711349,179712
2016-07-06,177.000000,177.500000,177.000000,178.500000,175.711349,2755
2016-07-07,177.000000,177.500000,175.000000,176.500000,173.742599,23690
2016-07-08,177.000000,177.000000,173.000000,175.500000,172.758224,71742
2016-07-11,173.000000,175.000000,173.000000,175.500000,172.758224,10498
2016-07-12,179.199997,181.600006,176.000000,178.000000,175.219177,171440
2016-07-13,176.500000,176.500000,170.000000,173.500000,170.789474,74880
2016-07-14,176.000000,184.000000,174.500000,181.500000,178.664490,84940
2016-07-15,183.000000,189.000000,180.929993,186.000000,183.094193,33922
2016-07-18,185.000000,190.000000,184.000000,185.500000,182.602020,172970
2016-07-19,188.000000,188.000000,186.000000,186.500000,183.586380,52834
2016-07-20,186.000000,187.000000,184.320007,185.500000,182.602020,125458
2016-07-21,185.800003,189.000000,185.000000,187.500000,184.570755,89148
2016-07-22,190.000000,190.000000,187.500000,187.500000,184.570755,134107
2016-07-25,187.800003,189.000000,186.000000,187.500000,184.570755,36173
2016-07-26,188.000000,188.000000,184.500000,185.500000,182.602020,47206
2016-07-27,187.000000,187.000000,185.250000,185.500000,182.602020,2952
2016-07-28,185.250000,186.000000,184.800003,185.000000,182.109802,22907
2016-07-29,186.000000,186.000000,178.000000,185.000000,182.109802,30823
2016-08-01,186.000000,190.000000,185.000000,187.500000,184.570755,582955
2016-08-02,188.550003,190.000000,186.000000,187.500000,184.570755,95044
2016-08-03,189.399994,190.000000,186.500000,189.500000,186.539520,222513
2016-08-04,192.000000,195.000000,191.250000,192.500000,189.492645,23496
2016-08-05,191.250000,194.949997,190.500000,192.500000,189.492645,7796
2016-08-08,190.292007,193.000000,190.000000,192.500000,189.492645,34047
2016-08-09,192.750000,195.000000,192.500000,192.500000,189.492645,40832
2016-08-10,195.000000,195.000000,190.500000,191.500000,188.508255,30909
2016-08-11,195.000000,201.500000,193.000000,200.500000,197.367661,853117
2016-08-12,203.300003,204.000000,199.000000,203.500000,200.320786,23489
2016-08-15,206.300003,209.000000,202.500000,206.000000,202.781738,23388
2016-08-16,209.000000,209.000000,205.100006,205.000000,201.797348,11059
2016-08-17,205.199997,206.600006,203.800003,204.000000,200.812973,20452
2016-08-18,204.800003,205.000000,204.000000,204.000000,200.812973,12527
2016-08-19,204.000000,205.940002,201.500000,203.000000,199.828613,31183
2016-08-22,205.940002,206.000000,202.500000,203.000000,199.828613,5424
2016-08-23,205.940002,212.000000,205.940002,210.000000,206.719238,27153
2016-08-24,211.960007,212.000000,209.800003,209.500000,206.227066,12304
2016-08-25,211.949997,212.000000,209.229996,209.500000,206.227066,15848
2016-08-26,211.686005,211.686005,207.000000,209.500000,206.227066,52130
2016-08-30,210.500000,210.500000,205.699997,208.500000,205.242691,22659
2016-08-31,210.000000,210.000000,205.000000,207.500000,204.258301,34428
2016-09-01,205.000000,214.000000,205.000000,210.500000,207.211426,68747
2016-09-02,211.000000,211.000000,200.000000,202.500000,199.336411,52025
2016-09-05,202.300003,205.000000,202.000000,203.500000,200.320786,23204
2016-09-06,202.059998,210.000000,202.000000,208.500000,205.242691,42693
2016-09-07,209.399994,209.399994,207.059998,208.500000,205.242691,7806
2016-09-08,208.899994,208.899994,207.000000,208.500000,205.242691,13380
2016-09-09,208.399994,208.500000,203.000000,207.500000,204.258301,111090
2016-09-12,209.000000,209.600006,204.250000,208.000000,204.750504,22431
2016-09-13,209.350006,209.350006,205.500000,207.500000,204.258301,14807
2016-09-14,206.000000,209.000000,205.750000,207.500000,204.258301,41174
2016-09-15,206.100006,209.000000,205.000000,207.500000,204.258301,17528
2016-09-16,206.250000,210.000000,206.250000,207.500000,204.258301,4546
2016-09-19,209.000000,209.000000,206.100006,207.500000,204.258301,10690
2016-09-20,207.500000,209.000000,207.500000,208.000000,204.750504,11971
2016-09-21,210.000000,220.000000,207.500000,216.500000,213.117691,13541
2016-09-22,220.000000,235.000000,214.250000,230.000000,226.406799,50623
2016-09-23,232.000000,243.699997,225.500000,240.000000,236.250549,83318
2016-09-26,235.000000,242.500000,210.199997,229.000000,225.422409,52933
2016-09-27,231.000000,234.929993,228.490005,231.500000,227.883362,18459
2016-09-28,230.000000,234.750000,220.000000,230.500000,226.898972,38176
2016-09-29,234.000000,235.000000,230.000000,231.500000,227.883362,34747
2016-09-30,232.000000,232.000000,220.000000,230.500000,226.898972,57173
2016-10-03,229.000000,231.500000,220.600006,231.000000,227.391174,37577
2016-10-04,231.000000,234.000000,225.500000,229.500000,225.914612,16984
2016-10-05,230.000000,240.000000,226.000000,232.500000,228.867722,75084
2016-10-06,234.000000,245.000000,228.000000,240.000000,236.250549,119467
2016-10-07,245.000000,250.000000,237.500000,245.000000,241.172455,48618
2016-10-10,245.000000,250.000000,240.500000,240.000000,236.250549,20351
2016-10-11,244.000000,244.000000,235.500000,239.500000,235.758362,61431
2016-10-12,244.000000,244.000000,235.000000,240.000000,236.250549,37587
2016-10-13,243.000000,243.000000,235.000000,240.500000,236.742737,42296
2016-10-14,242.199997,242.500000,236.449997,241.000000,237.234940,11725
2016-10-17,242.500000,245.000000,240.000000,240.000000,236.250549,14168
2016-10-18,235.000000,240.000000,218.000000,227.500000,223.945847,42505
2016-10-19,235.000000,245.000000,226.000000,235.500000,231.820862,160843
2016-10-20,237.000000,275.000000,230.000000,275.000000,270.703796,237288
2016-10-21,270.000000,306.200012,266.000000,290.000000,285.469452,335682
2016-10-24,294.500000,300.000000,255.000000,263.000000,258.891266,211767
2016-10-25,263.000000,290.000000,252.000000,274.500000,270.211578,112813
2016-10-26,270.000000,279.000000,265.000000,274.500000,270.211578,63818
2016-10-27,265.000000,273.500000,255.000000,270.000000,265.781891,47418
2016-10-28,260.000000,265.000000,250.000000,260.250000,256.184174,49060
2016-10-31,260.000000,263.000000,260.000000,265.000000,260.859985,12966
2016-11-01,261.500000,261.500000,260.100006,258.500000,254.461533,18159
2016-11-02,260.000000,265.000000,252.000000,262.500000,258.399078,39863
2016-11-03,260.000000,263.750000,256.040009,255.500000,251.508423,25925
2016-11-04,260.000000,267.000000,256.000000,255.500000,251.508423,12630
2016-11-07,269.809998,269.809998,253.000000,255.500000,251.508423,15445
2016-11-08,255.000000,259.000000,250.089996,252.750000,248.801361,26672
2016-11-09,240.000000,255.000000,237.000000,252.000000,248.063095,59177
2016-11-10,250.000000,255.000000,243.000000,248.000000,244.125580,74904
2016-11-11,249.000000,252.000000,249.000000,246.500000,242.649002,24035
2016-11-14,243.000000,249.910004,241.899994,245.500000,241.664612,38899
2016-11-15,250.000000,250.000000,241.899994,245.500000,241.664612,26214
2016-11-16,250.000000,250.000000,240.919998,243.000000,239.203690,23225
2016-11-17,250.000000,250.000000,235.000000,235.000000,231.328674,211324
2016-11-18,243.000000,243.000000,236.750000,239.000000,235.266159,67820
2016-11-21,245.000000,245.000000,234.000000,238.000000,234.281799,208280
2016-11-22,238.000000,250.000000,231.250000,245.000000,241.172455,23207
2016-11-23,250.000000,250.000000,240.000000,246.500000,242.649002,73457
2016-11-24,247.000000,251.425003,244.949997,242.500000,238.711487,33550
2016-11-25,250.000000,250.000000,241.500000,243.500000,239.695862,41715
2016-11-28,250.000000,257.000000,240.000000,255.000000,251.016251,94824
2016-11-29,246.500000,258.000000,246.500000,255.000000,251.016251,15090
