Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,49.000000,49.000000,49.000000,49.000000,47.719101,0
2015-04-02,null,null,null,null,null,null
2015-04-07,null,null,null,null,null,null
2015-04-08,null,null,null,null,null,null
2015-04-09,null,null,null,null,null,null
2015-04-10,null,null,null,null,null,null
2015-04-13,null,null,null,null,null,null
2015-04-14,null,null,null,null,null,null
2015-04-15,null,null,null,null,null,null
2015-04-16,null,null,null,null,null,null
2015-04-17,null,null,null,null,null,null
2015-04-20,null,null,null,null,null,null
2015-04-21,null,null,null,null,null,null
2015-04-22,null,null,null,null,null,null
2015-04-23,null,null,null,null,null,null
2015-04-24,null,null,null,null,null,null
2015-04-27,null,null,null,null,null,null
2015-04-28,null,null,null,null,null,null
2015-04-29,null,null,null,null,null,null
2015-04-30,51.595001,51.599998,51.000000,51.500000,50.153748,936224
2015-05-01,51.193001,51.193001,50.500000,50.875000,49.545086,646076
2015-05-05,50.599998,50.599998,50.500000,50.875000,49.545086,296276
2015-05-06,50.575001,51.250000,50.500000,50.875000,49.545086,79399
2015-05-07,50.568001,50.599998,50.500000,50.750000,49.423355,75729
2015-05-08,50.627998,51.099998,50.000000,50.875000,49.545086,854869
2015-05-11,51.092999,51.250000,50.500000,50.875000,49.545086,357432
2015-05-12,50.805000,51.713001,50.750000,51.375000,50.032021,510945
2015-05-13,51.950001,52.250000,51.393002,52.250000,50.884140,367646
2015-05-14,52.743999,52.749001,51.939999,52.250000,50.884140,81653
2015-05-15,52.738998,52.738998,52.000000,52.250000,50.884140,148248
2015-05-18,52.738998,52.750000,52.000000,52.250000,50.884140,281604
2015-05-19,52.734001,52.738998,52.000000,52.250000,50.884140,734092
2015-05-20,52.734001,52.750000,52.009998,52.250000,50.884140,113827
2015-05-21,52.738998,52.738998,52.020000,52.250000,50.884140,78531
2015-05-22,52.734001,52.738998,52.029999,52.250000,50.884140,356985
2015-05-26,52.734001,52.738998,52.029999,52.250000,50.884140,111968
2015-05-27,52.738998,52.738998,52.029999,52.250000,50.884140,139932
2015-05-28,52.723000,52.728001,52.029999,52.250000,50.884140,420193
2015-05-29,52.722000,52.727001,52.044998,52.250000,50.884140,96024
2015-06-01,52.722000,52.727001,52.048000,52.250000,50.884140,51433
2015-06-02,52.250000,52.727001,52.055000,52.250000,50.884140,485340
2015-06-03,52.722000,52.727001,52.055000,52.250000,50.884140,210927
2015-06-04,52.716999,52.750000,52.080002,52.375000,51.005875,214733
2015-06-05,52.700001,53.000000,52.000000,52.625000,51.249344,823226
2015-06-08,52.993000,53.250000,52.535000,52.875000,51.492805,253443
2015-06-09,52.796001,54.750000,52.750000,54.000000,52.588398,415945
2015-06-10,53.805000,54.999001,53.805000,54.250000,52.831860,55959
2015-06-11,55.000000,55.498001,54.750000,54.750000,53.318794,163933
2015-06-12,55.410000,55.750000,54.404999,55.000000,53.562252,164715
2015-06-15,55.630001,55.750000,54.250000,55.000000,53.562252,109870
2015-06-16,54.790001,55.730000,54.654999,55.000000,53.562252,233930
2015-06-17,54.700001,55.750000,54.250000,55.000000,53.562252,193970
2015-06-18,54.250000,55.000000,54.000000,54.500000,53.075333,173563
2015-06-19,54.424999,54.500000,53.825001,54.500000,53.075333,56141
2015-06-22,54.470001,55.250000,54.138000,54.625000,53.197063,227084
2015-06-23,55.105999,55.500000,54.615002,54.750000,53.318794,212053
2015-06-24,54.750000,55.612000,54.750000,55.125000,53.683990,288964
2015-06-25,55.049999,55.584999,54.932999,55.000000,53.562252,19079
2015-06-26,55.577000,55.584999,55.000000,55.000000,53.562252,150894
2015-06-29,55.487999,55.487999,53.658001,54.500000,53.075333,263867
2015-06-30,54.305000,54.335999,53.500000,53.750000,52.344933,246304
2015-07-01,54.027000,54.737000,54.027000,54.250000,52.831860,121014
2015-07-02,54.737000,55.099998,54.737000,54.500000,53.075333,87449
2015-07-03,54.971001,55.242001,54.290001,54.500000,53.075333,77976
2015-07-06,54.737999,54.737999,53.750000,54.125000,52.710133,184066
2015-07-07,54.487999,54.750000,53.750000,54.125000,52.710133,255578
2015-07-08,54.474998,54.520000,53.970001,54.375000,52.953594,83592
2015-07-09,54.700001,55.313000,54.349998,54.625000,53.197063,227040
2015-07-10,54.924999,55.575001,54.500000,54.875000,53.440529,153825
2015-07-13,55.575001,55.653999,54.743999,55.250000,53.805725,107936
2015-07-14,55.570000,55.950001,55.250000,55.625000,54.170921,214261
2015-07-15,55.942001,56.250000,55.490002,55.625000,54.170921,231515
2015-07-16,55.751999,55.751999,55.299999,55.625000,54.170921,196979
2015-07-17,55.650002,56.000000,55.250000,55.625000,54.170921,265302
2015-07-20,55.257999,55.625000,54.500000,55.500000,54.049187,71382
2015-07-21,55.099998,55.430000,55.000000,55.500000,54.049187,201351
2015-07-22,55.009998,55.069000,54.514999,55.250000,53.805725,42138
2015-07-23,55.498001,55.498001,55.000000,55.250000,53.805725,186680
2015-07-24,54.500000,55.099998,54.000000,55.250000,53.805725,107265
2015-07-27,55.048000,55.048000,54.500000,55.000000,53.562252,113457
2015-07-28,54.680000,54.680000,53.000000,53.875000,52.466671,269830
2015-07-29,53.000000,54.299999,53.000000,54.000000,52.588398,345377
2015-07-30,54.299999,54.299999,54.000000,54.000000,52.588398,872281
2015-07-31,54.400002,54.490002,53.500000,54.000000,52.588398,162760
2015-08-03,54.340000,54.349998,54.250000,54.000000,52.588398,185681
2015-08-04,54.200001,54.200001,53.520000,54.000000,52.588398,273089
2015-08-05,54.080002,54.500000,53.520000,54.000000,52.588398,190838
2015-08-06,54.380001,54.700001,53.520000,54.125000,52.710133,353650
2015-08-07,54.537998,54.537998,54.000000,54.125000,52.710133,187790
2015-08-10,54.250000,54.320000,53.990002,54.250000,52.831860,154671
2015-08-11,53.860001,54.020000,53.860001,54.250000,52.831860,393122
2015-08-12,53.750000,54.250000,53.750000,54.125000,52.710133,153893
2015-08-13,54.049999,54.125000,54.049999,54.125000,52.710133,43255
2015-08-14,54.125000,54.305000,53.750000,54.125000,52.710133,152137
2015-08-17,54.103001,54.103001,53.833000,54.125000,52.710133,124733
2015-08-18,53.840000,54.103001,53.840000,54.125000,52.710133,57696
2015-08-19,54.095001,54.095001,53.833000,54.125000,52.710133,18500
2015-08-20,54.095001,54.250000,53.833000,54.125000,52.710133,173943
2015-08-21,53.840000,54.095001,53.750000,54.125000,52.710133,294684
2015-08-24,52.325001,53.000000,52.000000,52.250000,50.884140,250439
2015-08-25,52.959999,53.759998,52.250000,53.250000,51.858006,267333
2015-08-26,53.625000,54.000000,53.049999,53.625000,52.223202,294135
2015-08-27,53.790001,55.500000,53.555000,54.250000,52.831860,454362
2015-08-28,54.459999,54.459999,54.384998,54.250000,52.831860,64271
2015-09-01,54.384998,54.384998,54.250000,54.250000,52.831860,29186
2015-09-02,54.174999,54.174999,53.529999,54.250000,52.831860,56342
2015-09-03,54.250000,54.358002,53.610001,54.375000,52.953594,85314
2015-09-04,54.358002,54.358002,53.500000,54.375000,52.953594,139085
2015-09-07,54.549999,55.056999,53.750000,54.375000,52.953594,1172748
2015-09-08,54.987999,54.987999,53.693001,54.375000,52.953594,80653
2015-09-09,54.928001,55.025002,54.000000,54.750000,53.318794,220553
2015-09-10,54.500000,55.505001,54.500000,54.750000,53.318794,83266
2015-09-11,55.185001,55.185001,54.180000,54.750000,53.318794,84692
2015-09-14,55.154999,55.154999,54.195000,54.750000,53.318794,20002
2015-09-15,55.095001,55.400002,54.000000,55.000000,53.562252,105374
2015-09-16,54.220001,55.779999,54.000000,55.000000,53.562252,278479
