Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,52.500000,51.000000,48.000000,51.000000,51.000000,241601
2020-10-06,51.000000,50.000000,48.000000,50.000000,50.000000,108702
2020-10-07,49.000000,50.000000,47.000000,48.500000,48.500000,23500
2020-10-08,48.500000,48.200001,46.500000,48.500000,48.500000,4195
2020-10-09,48.500000,48.099998,48.000000,48.500000,48.500000,6064
2020-10-12,48.500000,48.340000,48.000000,48.500000,48.500000,37513
2020-10-13,48.500000,48.000000,43.000000,47.500000,47.500000,27068
2020-10-14,47.500000,47.000000,46.240002,46.000000,46.000000,10780
2020-10-15,46.000000,47.000000,43.000000,46.000000,46.000000,27088
2020-10-16,46.000000,46.090000,45.000000,46.000000,46.000000,21583
2020-10-19,46.000000,45.680000,45.000000,45.500000,45.500000,6218
2020-10-20,45.500000,46.000000,45.000000,45.500000,45.500000,14076
2020-10-21,45.500000,47.000000,45.000000,46.000000,46.000000,169289
2020-10-22,46.000000,52.000000,46.400002,51.000000,51.000000,250641
2020-10-23,51.000000,50.080002,49.500000,50.500000,50.500000,24325
2020-10-26,50.500000,50.080002,49.000000,50.500000,50.500000,14301
2020-10-27,50.500000,49.799999,47.099998,50.500000,50.500000,55257
2020-10-28,50.500000,52.000000,49.000000,50.500000,50.500000,55602
2020-10-29,50.000000,49.599998,49.000000,50.500000,50.500000,20138
2020-10-30,50.500000,48.000000,46.000000,48.000000,48.000000,21920
2020-11-02,48.000000,46.900002,41.000000,42.000000,42.000000,91078
2020-11-03,42.000000,42.400002,42.009998,42.500000,42.500000,17619
2020-11-04,43.500000,43.000000,42.000000,42.500000,42.500000,42545
2020-11-05,42.500000,43.000000,42.000000,42.500000,42.500000,28376
2020-11-06,42.500000,45.799999,42.980000,45.500000,45.500000,61418
2020-11-09,45.500000,50.000000,45.889999,49.000000,49.000000,44465
2020-11-10,49.000000,50.000000,46.000000,48.500000,48.500000,44218
2020-11-11,48.500000,49.400002,46.799999,48.000000,48.000000,16673
2020-11-12,48.000000,48.619999,45.000000,48.000000,48.000000,37082
2020-11-13,48.000000,48.400002,48.400002,48.000000,48.000000,572
2020-11-16,48.000000,50.000000,45.099998,50.000000,50.000000,50219
2020-11-17,47.500000,48.400002,45.000000,45.000000,45.000000,81978
2020-11-18,47.500000,48.000000,44.000000,47.500000,47.500000,19685
2020-11-19,47.500000,47.119999,45.000000,46.500000,46.500000,23145
2020-11-20,46.500000,46.000000,44.000000,46.000000,46.000000,16219
2020-11-23,46.000000,45.700001,45.000000,45.500000,45.500000,4063
2020-11-24,45.500000,47.000000,44.000000,44.000000,44.000000,3084
2020-11-25,45.500000,45.500000,42.000000,43.000000,43.000000,84283
2020-11-26,45.500000,44.000000,44.000000,44.000000,44.000000,186
2020-11-27,45.500000,45.500000,42.000000,43.500000,43.500000,48510
2020-11-30,43.500000,44.500000,42.000000,42.000000,42.000000,69897
2020-12-01,43.500000,43.349998,41.000000,43.500000,43.500000,29088
2020-12-02,43.500000,47.000000,41.799999,43.500000,43.500000,669414
2020-12-03,43.500000,45.799999,41.900002,43.000000,43.000000,44376
2020-12-04,43.000000,45.200001,42.000000,45.200001,45.200001,10544
2020-12-07,43.000000,43.099998,39.000000,41.000000,41.000000,64967
2020-12-08,41.000000,40.880001,40.000000,41.000000,41.000000,69559
2020-12-09,41.000000,41.000000,36.000000,37.000000,37.000000,107129
2020-12-10,37.000000,39.000000,33.000000,37.000000,37.000000,164307
2020-12-11,37.000000,39.000000,36.500000,38.500000,38.500000,35616
2020-12-14,38.500000,39.599998,38.060001,39.000000,39.000000,14317
2020-12-15,39.000000,38.500000,38.500000,39.000000,39.000000,1750
2020-12-16,39.000000,39.500000,38.020000,39.000000,39.000000,44993
2020-12-17,40.500000,41.400002,39.380001,41.000000,41.000000,209649
2020-12-18,41.000000,41.000000,39.000000,40.000000,40.000000,25559
2020-12-21,40.000000,41.000000,39.000000,40.000000,40.000000,24131
2020-12-22,39.500000,39.500000,38.000000,39.000000,39.000000,23256
2020-12-23,39.000000,39.470001,38.000000,39.000000,39.000000,14207
2020-12-24,39.000000,39.000000,38.000000,39.000000,39.000000,4122
2020-12-29,39.500000,46.000000,39.250000,43.000000,43.000000,636293
2020-12-30,44.000000,46.000000,40.500000,43.000000,43.000000,59687
2020-12-31,43.000000,44.799999,39.000000,43.000000,43.000000,35166
2021-01-04,43.000000,50.000000,42.480000,49.000000,49.000000,444727
2021-01-05,49.000000,54.000000,48.000000,48.000000,48.000000,637502
2021-01-06,49.000000,48.639000,46.500000,47.000000,47.000000,422489
2021-01-07,48.000000,75.900002,47.584000,63.000000,63.000000,4598857
2021-01-08,66.000000,77.000000,62.250000,66.500000,66.500000,5645693
2021-01-11,68.000000,69.000000,56.000000,58.000000,58.000000,1659321
2021-01-12,57.000000,62.000000,56.599998,57.000000,57.000000,916497
2021-01-13,57.500000,58.000000,55.000000,57.000000,57.000000,544192
2021-01-14,56.500000,63.910000,54.099998,58.000000,58.000000,1204697
2021-01-15,61.500000,61.400002,54.500000,56.000000,56.000000,448383
2021-01-18,56.500000,56.200001,50.500000,51.500000,51.500000,619329
2021-01-19,52.000000,53.000000,50.000000,50.000000,50.000000,240657
2021-01-20,50.000000,50.750000,48.000000,49.000000,49.000000,590892
2021-01-21,49.000000,51.000000,43.000000,45.000000,45.000000,410777
2021-01-22,43.500000,47.000000,42.000000,45.000000,45.000000,414585
