Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,3.750000,4.500000,3.300000,4.500000,4.500000,4245089
2021-09-16,4.500000,5.000000,4.500000,4.750000,4.750000,758823
2021-09-17,4.750000,5.100000,4.900000,4.875000,4.875000,346257
2021-09-20,5.000000,5.350000,4.500000,5.000000,5.000000,835849
2021-09-21,5.000000,4.610000,4.510000,5.000000,5.000000,45000
2021-09-22,5.000000,4.950000,4.900000,5.000000,5.000000,25075
2021-09-23,5.000000,5.150000,4.510000,4.750000,4.750000,244669
2021-09-24,4.750000,4.860000,4.540000,4.750000,4.750000,197981
2021-09-27,4.750000,4.880000,4.000000,4.500000,4.500000,62653
2021-09-28,4.500000,4.500000,4.500000,4.500000,4.500000,0
2021-09-29,4.500000,4.500000,3.500000,4.100000,4.100000,333589
2021-09-30,4.100000,4.220000,3.701000,4.100000,4.100000,237608
2021-10-01,4.100000,3.750000,3.750000,4.100000,4.100000,100000
2021-10-04,4.100000,4.100000,4.100000,4.100000,4.100000,0
2021-10-05,4.100000,3.870000,3.705000,4.100000,4.100000,535000
2021-10-06,4.100000,4.200000,3.500000,3.850000,3.850000,335637
2021-10-07,3.850000,3.600000,3.000000,3.850000,3.850000,220987
2021-10-08,3.850000,3.660000,3.505000,3.850000,3.850000,93139
2021-10-11,3.850000,3.649000,3.500000,3.850000,3.850000,108049
2021-10-12,3.850000,3.800000,3.250000,3.400000,3.400000,272974
2021-10-13,3.500000,3.380000,3.190000,3.350000,3.350000,2049594
2021-10-14,3.350000,3.700000,3.200000,3.650000,3.650000,4553538
2021-10-15,3.650000,3.740000,3.500000,3.740000,3.740000,1242992
2021-10-18,3.650000,4.000000,3.500000,3.700000,3.700000,2472789
2021-10-19,3.700000,3.800000,3.601000,3.750000,3.750000,2560298
2021-10-20,3.750000,3.800000,3.610000,3.700000,3.700000,687225
2021-10-21,3.700000,3.700000,3.604000,3.700000,3.700000,368203
2021-10-22,3.700000,3.685000,3.604000,3.700000,3.700000,166585
2021-10-25,3.700000,3.700000,3.700000,3.700000,3.700000,0
2021-10-26,3.700000,3.666000,3.600000,3.700000,3.700000,33051
2021-10-27,3.400000,3.500000,3.400000,3.450000,3.450000,487310
2021-10-28,3.450000,3.690000,3.415000,3.450000,3.450000,12112398
2021-10-29,3.550000,3.640000,3.504000,3.600000,3.600000,2961950
2021-11-01,3.600000,3.900000,3.504000,3.550000,3.550000,2621939
2021-11-02,3.550000,3.600000,3.515000,3.550000,3.550000,546555
2021-11-03,3.550000,3.502000,3.300000,3.250000,3.250000,795323
2021-11-04,3.250000,3.600000,3.215000,3.460000,3.460000,5171024
2021-11-05,3.450000,3.498000,3.400000,3.450000,3.450000,403585
2021-11-08,3.450000,3.500000,3.303000,3.450000,3.450000,534079
2021-11-09,3.450000,3.500000,3.450000,3.450000,3.450000,736041
2021-11-10,3.450000,3.900000,3.415000,3.600000,3.600000,638320
2021-11-11,3.600000,3.639000,3.515000,3.600000,3.600000,259239
2021-11-12,3.600000,3.618000,3.610000,3.600000,3.600000,12832
2021-11-15,3.600000,3.800000,3.650000,3.700000,3.700000,593192
2021-11-16,3.700000,3.655000,3.655000,3.700000,3.700000,64808
2021-11-17,3.700000,3.800000,3.633000,3.700000,3.700000,173630
2021-11-18,3.700000,3.945000,3.700000,3.850000,3.850000,196817
2021-11-19,3.850000,3.990000,3.755000,3.850000,3.850000,360071
2021-11-22,3.850000,3.770000,3.706000,3.850000,3.850000,131235
2021-11-23,3.850000,3.940000,3.600000,3.800000,3.800000,164318
2021-11-24,3.800000,3.900000,3.610000,3.800000,3.800000,245472
2021-11-25,3.800000,3.870000,3.870000,3.800000,3.800000,25839
2021-11-26,3.800000,3.608000,3.600000,3.800000,3.800000,115639
2021-11-29,3.800000,3.800000,3.800000,3.800000,3.800000,5000
2021-11-30,3.800000,3.800000,3.800000,3.800000,3.800000,0
2021-12-01,3.800000,3.608000,3.608000,3.800000,3.800000,42072
2021-12-02,3.800000,3.800000,3.504000,3.600000,3.600000,93406
2021-12-03,3.600000,3.504000,3.504000,3.600000,3.600000,100000
