Date,Open,High,Low,Close,Adj Close,Volume
2021-05-21,7.500000,8.000000,4.000000,5.000000,5.000000,40850798
2021-05-24,4.875000,5.200000,4.760000,4.800000,4.800000,24666644
2021-05-25,4.875000,5.000000,4.570000,4.600000,4.600000,9579482
2021-05-26,4.550000,4.600000,4.220000,4.320000,4.320000,9547197
2021-05-27,4.100000,4.200000,3.840000,4.100000,4.100000,11276805
2021-05-28,4.050000,4.500000,3.950000,4.000000,4.000000,9587295
2021-06-01,4.050000,4.100000,3.800000,4.100000,4.100000,8517671
2021-06-02,3.950000,4.100000,3.900000,4.040000,4.040000,3871609
2021-06-03,4.050000,4.400000,4.000000,4.300000,4.300000,17246828
2021-06-04,4.200000,4.400000,4.100000,4.400000,4.400000,4673512
2021-06-07,4.300000,4.500000,4.300000,4.400000,4.400000,2546705
2021-06-08,4.350000,4.475000,4.100000,4.200000,4.200000,3458849
2021-06-09,4.200000,4.300000,4.144000,4.200000,4.200000,1723239
2021-06-10,4.250000,4.400000,4.100000,4.400000,4.400000,1967449
2021-06-11,4.200000,4.250000,3.978000,4.020000,4.020000,5111972
2021-06-14,4.050000,4.100000,4.000000,4.050000,4.050000,1820840
2021-06-15,4.050000,4.100000,3.800000,4.050000,4.050000,5608806
2021-06-16,4.050000,4.046000,4.006000,4.050000,4.050000,548181
2021-06-17,4.050000,4.019000,3.900000,3.950000,3.950000,668289
2021-06-18,3.950000,4.000000,3.920000,3.950000,3.950000,233534
2021-06-21,3.950000,4.000000,3.900000,3.950000,3.950000,2415279
2021-06-22,3.950000,4.000000,3.650000,3.660000,3.660000,2382093
2021-06-23,3.650000,3.770000,3.650000,3.650000,3.650000,1164893
2021-06-24,3.650000,3.700000,3.350000,3.400000,3.400000,4889761
2021-06-25,3.350000,3.400000,3.010000,3.100000,3.100000,18922223
2021-06-28,3.150000,3.400000,3.100000,3.300000,3.300000,9466071
2021-06-29,3.400000,3.440000,3.235000,3.400000,3.400000,1301116
2021-06-30,3.350000,3.400000,3.100000,3.200000,3.200000,6063586
2021-07-01,3.150000,3.300000,3.125000,3.250000,3.250000,2916720
2021-07-02,3.250000,3.400000,3.258000,3.350000,3.350000,1957343
2021-07-05,3.350000,3.530000,3.300000,3.300000,3.300000,2672373
2021-07-06,3.550000,3.600000,3.300000,3.400000,3.400000,2630551
2021-07-07,3.400000,3.600000,3.300000,3.460000,3.460000,2011907
2021-07-08,3.500000,3.500000,3.200000,3.250000,3.250000,1089818
2021-07-09,3.250000,3.300000,3.210000,3.250000,3.250000,1044795
2021-07-12,3.250000,3.500000,3.225000,3.350000,3.350000,4467135
2021-07-13,3.350000,3.400000,3.100000,3.125000,3.125000,1873086
2021-07-14,3.125000,3.247000,3.101000,3.150000,3.150000,2587509
2021-07-15,3.150000,3.175000,3.000000,3.050000,3.050000,1166605
2021-07-16,3.050000,3.100000,2.600000,2.900000,2.900000,47358043
2021-07-19,2.900000,2.950000,2.700000,2.760000,2.760000,2566229
2021-07-20,2.750000,2.800000,2.522000,2.700000,2.700000,6192051
2021-07-21,2.700000,2.900000,2.668000,2.850000,2.850000,25836122
2021-07-22,2.850000,2.900000,2.813000,2.850000,2.850000,845250
2021-07-23,2.850000,2.844000,2.813000,2.850000,2.850000,298892
2021-07-26,2.850000,2.900000,2.700000,2.800000,2.800000,6787023
2021-07-27,2.750000,2.800000,2.704000,2.800000,2.800000,648464
2021-07-28,2.800000,2.800000,2.710000,2.775000,2.775000,1174461
2021-07-29,2.775000,2.780000,2.750000,2.775000,2.775000,789109
2021-07-30,2.775000,2.770000,2.750000,2.775000,2.775000,892126
2021-08-02,2.750000,2.950000,2.708000,2.900000,2.900000,2122818
2021-08-03,2.900000,3.000000,2.917000,2.950000,2.950000,199495
2021-08-04,2.950000,3.200000,2.900000,3.175000,3.175000,4041183
2021-08-05,3.175000,3.400000,3.133000,3.400000,3.400000,12717019
2021-08-06,3.325000,3.430000,3.200000,3.225000,3.225000,1752539
2021-08-09,3.225000,3.245000,3.000000,3.020000,3.020000,1904310
2021-08-10,3.050000,3.150000,3.000000,3.000000,3.000000,963436
2021-08-11,3.050000,3.190000,3.000000,3.100000,3.100000,9326827
2021-08-12,3.050000,3.050000,2.780000,2.850000,2.850000,7784027
2021-08-13,2.850000,2.870000,2.750000,2.850000,2.850000,3205374
2021-08-16,2.800000,2.850000,2.750000,2.775000,2.775000,1998543
2021-08-17,2.775000,2.780000,2.600000,2.700000,2.700000,5904930
2021-08-18,2.625000,2.650000,2.500000,2.600000,2.600000,9073953
2021-08-19,2.600000,2.800000,2.625000,2.770000,2.770000,5173601
2021-08-20,2.725000,2.850000,2.678000,2.700000,2.700000,705340
2021-08-23,2.775000,2.834000,2.700000,2.750000,2.750000,3982093
2021-08-24,2.750000,2.750000,2.610000,2.700000,2.700000,2185978
2021-08-25,2.600000,2.650000,2.600000,2.650000,2.650000,9433595
2021-08-26,2.650000,2.900000,2.639000,2.700000,2.700000,10828291
2021-08-27,2.750000,2.750000,2.700000,2.700000,2.700000,3765535
