Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.875000,6.150000,4.816000,5.800000,5.800000,9063700
2021-01-05,6.000000,6.090000,5.000000,5.300000,5.300000,4664731
2021-01-06,5.300000,6.000000,5.200000,5.550000,5.550000,5214849
2021-01-07,5.625000,5.750000,5.250000,5.500000,5.500000,4250301
2021-01-08,5.500000,5.750000,5.250000,5.500000,5.500000,4061826
2021-01-11,5.500000,5.750000,5.350000,5.600000,5.600000,4620626
2021-01-12,5.625000,5.750000,5.263000,5.400000,5.400000,2854844
2021-01-13,5.375000,5.466000,5.120000,5.300000,5.300000,3209413
2021-01-14,5.300000,5.500000,5.100000,5.175000,5.175000,2321418
2021-01-15,5.175000,5.500000,4.500000,5.000000,5.000000,5526021
2021-01-18,4.925000,6.750000,4.900000,6.700000,6.700000,10457694
2021-01-19,6.675000,14.000000,6.750000,13.100000,13.100000,21966362
2021-01-20,12.750000,14.500000,9.250000,11.000000,11.000000,24568650
2021-01-21,11.375000,11.997000,9.000000,10.600000,10.600000,8084056
2021-01-22,10.750000,10.970000,9.500000,10.560000,10.560000,3210385
2021-01-25,10.375000,10.740000,9.000000,9.500000,9.500000,3432587
2021-01-26,9.375000,9.750000,8.500000,9.000000,9.000000,2853316
2021-01-27,8.875000,8.940000,7.250000,7.500000,7.500000,4056533
2021-01-28,7.375000,7.750000,6.500000,7.000000,7.000000,3448578
2021-01-29,7.375000,9.750000,7.340000,8.600000,8.600000,6728316
2021-02-01,8.750000,11.250000,8.639000,10.875000,10.875000,7618544
2021-02-02,10.875000,13.000000,10.791000,11.502000,11.502000,7796204
2021-02-03,11.750000,12.250000,10.000000,11.000000,11.000000,5279156
2021-02-04,10.750000,11.000000,9.500000,10.150000,10.150000,3350606
2021-02-05,10.125000,11.000000,10.080000,11.000000,11.000000,3068323
2021-02-08,10.875000,11.500000,10.500000,11.000000,11.000000,3972524
2021-02-09,10.750000,11.500000,10.500000,10.510000,10.510000,2208114
2021-02-10,10.625000,11.000000,10.250000,10.500000,10.500000,2335995
2021-02-11,10.500000,10.750000,10.000000,10.250000,10.250000,1325140
2021-02-12,10.500000,10.590000,10.250000,10.250000,10.250000,1017255
2021-02-15,10.500000,10.750000,9.600000,10.500000,10.500000,1584423
2021-02-16,10.250000,10.184000,9.750000,9.875000,9.875000,1710632
2021-02-17,9.875000,10.000000,9.100000,9.375000,9.375000,1421516
2021-02-18,9.375000,9.500000,9.000000,9.125000,9.125000,483296
2021-02-19,9.125000,9.165000,8.075000,8.625000,8.625000,955001
2021-02-22,8.500000,8.500000,7.000000,7.660000,7.660000,2554428
2021-02-23,7.875000,8.500000,7.815000,8.250000,8.250000,2323233
2021-02-24,8.250000,8.500000,7.500000,8.125000,8.125000,713099
2021-02-25,8.125000,9.000000,7.750000,8.750000,8.750000,1937283
2021-02-26,8.750000,10.000000,8.590000,9.500000,9.500000,2221396
2021-03-01,9.500000,10.000000,8.500000,8.570000,8.570000,1297359
2021-03-02,9.000000,9.040000,8.500000,8.800000,8.800000,1352097
2021-03-03,9.000000,9.000000,8.500000,8.625000,8.625000,460010
2021-03-04,8.625000,8.738000,8.500000,8.625000,8.625000,260741
2021-03-05,8.625000,8.575000,7.700000,7.700000,7.700000,470558
2021-03-08,7.750000,7.975000,7.400000,7.500000,7.500000,746723
2021-03-09,7.625000,7.750000,7.251000,7.750000,7.750000,1440684
2021-03-10,7.500000,7.750000,7.000000,7.250000,7.250000,1152088
2021-03-11,7.500000,8.250000,7.250000,8.000000,8.000000,873321
2021-03-12,8.000000,8.500000,7.600000,8.400000,8.400000,901744
2021-03-15,8.250000,8.475000,7.650000,7.980000,7.980000,525302
2021-03-16,8.000000,8.485000,7.200000,7.505000,7.505000,776527
2021-03-17,7.600000,7.845000,7.240000,7.750000,7.750000,311299
2021-03-18,7.750000,8.000000,7.500000,7.750000,7.750000,288755
2021-03-19,7.750000,8.140000,7.200000,7.475000,7.475000,969965
2021-03-22,7.475000,7.750000,7.200000,7.475000,7.475000,393134
2021-03-23,7.475000,7.550000,7.200000,7.350000,7.350000,374331
2021-03-24,7.350000,7.400000,7.000000,7.250000,7.250000,346009
2021-03-25,7.250000,7.350000,6.500000,6.750000,6.750000,894898
2021-03-26,6.750000,7.000000,6.550000,6.750000,6.750000,346512
2021-03-29,6.750000,7.000000,6.500000,6.750000,6.750000,296501
2021-03-30,6.750000,6.925000,6.500000,6.750000,6.750000,404714
2021-03-31,6.750000,6.990000,6.515000,6.750000,6.750000,343299
2021-04-01,6.750000,6.725000,6.500000,6.500000,6.500000,351012
2021-04-06,6.625000,6.750000,6.500000,6.750000,6.750000,396410
2021-04-07,6.750000,6.745000,6.530000,6.750000,6.750000,234423
2021-04-08,6.750000,7.000000,6.510000,6.510000,6.510000,363631
2021-04-09,6.750000,7.500000,6.631000,7.250000,7.250000,696689
2021-04-12,7.250000,8.700000,7.475000,7.750000,7.750000,1798550
2021-04-13,8.125000,8.850000,7.947000,8.500000,8.500000,1547675
2021-04-14,8.350000,9.000000,8.250000,8.750000,8.750000,995421
2021-04-15,8.750000,9.000000,8.310000,8.310000,8.310000,402274
2021-04-16,8.750000,8.998000,8.000000,8.250000,8.250000,1013473
2021-04-19,8.250000,8.289000,7.500000,7.750000,7.750000,240699
2021-04-20,7.750000,8.340000,7.300000,7.600000,7.600000,578082
2021-04-21,8.000000,8.330000,7.500000,7.625000,7.625000,171997
2021-04-22,7.625000,7.670000,7.500000,7.625000,7.625000,155891
2021-04-23,7.625000,7.660000,7.500000,7.625000,7.625000,600916
2021-04-26,7.625000,7.657000,7.500000,7.625000,7.625000,485255
2021-04-27,7.625000,7.684000,7.500000,7.625000,7.625000,842681
2021-04-28,7.625000,7.750000,7.500000,7.625000,7.625000,101721
2021-04-29,7.625000,7.610000,7.500000,7.625000,7.625000,361384
2021-04-30,7.625000,7.740000,7.250000,7.375000,7.375000,963872
2021-05-04,7.375000,7.500000,7.215000,7.500000,7.500000,884301
2021-05-05,7.350000,7.500000,7.215000,7.350000,7.350000,416661
2021-05-06,7.350000,7.448000,7.100000,7.350000,7.350000,206511
2021-05-07,7.350000,7.424000,7.200000,7.350000,7.350000,65321
2021-05-10,7.350000,7.424000,7.025000,7.350000,7.350000,207919
2021-05-11,7.350000,8.400000,7.200000,7.500000,7.500000,984191
2021-05-12,7.650000,7.800000,7.500000,7.650000,7.650000,200599
2021-05-13,7.650000,7.695000,7.500000,7.625000,7.625000,179393
2021-05-14,7.625000,7.695000,7.500000,7.625000,7.625000,135172
2021-05-17,7.625000,7.750000,7.200000,7.475000,7.475000,225157
2021-05-18,7.475000,7.600000,7.200000,7.475000,7.475000,64278
2021-05-19,7.475000,7.750000,7.000000,7.100000,7.100000,317310
2021-05-20,7.250000,7.500000,7.000000,7.125000,7.125000,298896
2021-05-21,7.125000,7.250000,6.710000,7.025000,7.025000,426967
2021-05-24,7.025000,7.228000,6.823000,7.025000,7.025000,321790
2021-05-25,7.025000,7.201000,6.800000,7.025000,7.025000,377825
2021-05-26,7.025000,7.168000,6.650000,6.900000,6.900000,128061
2021-05-27,6.900000,6.975000,6.500000,6.750000,6.750000,299790
2021-05-28,6.750000,6.969000,6.500000,6.750000,6.750000,258937
2021-06-01,6.750000,6.969000,6.500000,6.750000,6.750000,164870
2021-06-02,7.000000,6.875000,6.500000,6.750000,6.750000,157198
2021-06-03,6.750000,6.950000,6.500000,6.750000,6.750000,313372
2021-06-04,6.750000,6.875000,6.420000,6.420000,6.420000,166818
2021-06-07,6.750000,6.870000,6.590000,6.750000,6.750000,167941
2021-06-08,6.750000,7.000000,6.500000,6.750000,6.750000,239842
2021-06-09,6.750000,6.770000,6.000000,6.250000,6.250000,942999
2021-06-10,6.250000,6.425000,6.050000,6.250000,6.250000,131865
2021-06-11,6.250000,6.425000,6.000000,6.250000,6.250000,199306
2021-06-14,6.250000,6.425000,6.000000,6.125000,6.125000,234958
2021-06-15,6.125000,6.230000,6.034000,6.125000,6.125000,199009
2021-06-16,6.125000,6.200000,6.038000,6.125000,6.125000,50055
2021-06-17,6.125000,6.238000,6.038000,6.125000,6.125000,116276
2021-06-18,6.125000,6.475000,6.041000,6.250000,6.250000,361702
2021-06-21,6.250000,6.750000,6.000000,6.250000,6.250000,355592
2021-06-22,6.250000,6.474000,6.120000,6.250000,6.250000,138993
2021-06-23,6.250000,6.449000,5.935000,6.250000,6.250000,238918
2021-06-24,6.250000,6.500000,6.000000,6.000000,6.000000,89021
2021-06-25,6.250000,7.000000,6.163000,6.500000,6.500000,698954
2021-06-28,6.750000,7.639000,6.500000,7.000000,7.000000,1019718
2021-06-29,7.125000,7.250000,6.750000,6.875000,6.875000,513140
2021-06-30,6.875000,7.250000,6.610000,7.000000,7.000000,301684
2021-07-01,7.125000,7.250000,7.000000,7.125000,7.125000,150118
2021-07-02,7.125000,7.500000,7.080000,7.375000,7.375000,314259
2021-07-05,7.375000,8.000000,7.100000,7.375000,7.375000,871050
2021-07-06,7.375000,7.775000,7.250000,7.625000,7.625000,423825
2021-07-07,7.625000,7.740000,7.250000,7.625000,7.625000,68132
2021-07-08,7.625000,7.980000,7.250000,7.310000,7.310000,464349
2021-07-09,7.375000,7.440000,7.250000,7.375000,7.375000,68174
2021-07-12,7.375000,7.500000,7.261000,7.375000,7.375000,103539
2021-07-13,7.375000,7.415000,7.267000,7.375000,7.375000,106066
2021-07-14,7.375000,7.410000,7.250000,7.375000,7.375000,99969
2021-07-15,7.375000,7.350000,7.000000,7.125000,7.125000,138290
2021-07-16,7.125000,7.243000,7.000000,7.125000,7.125000,153490
2021-07-19,7.125000,7.300000,7.000000,7.125000,7.125000,292990
2021-07-20,7.125000,7.194000,6.500000,6.750000,6.750000,215712
2021-07-21,6.750000,6.940000,6.550000,6.750000,6.750000,247690
2021-07-22,6.750000,7.000000,6.250000,6.375000,6.375000,145393
2021-07-23,6.375000,6.448000,6.215000,6.375000,6.375000,155635
2021-07-26,6.500000,7.000000,6.220000,6.500000,6.500000,327647
2021-07-27,6.500000,6.750000,6.370000,6.500000,6.500000,67835
2021-07-28,6.500000,6.750000,6.410000,6.500000,6.500000,137231
2021-07-29,6.500000,7.500000,6.500000,7.250000,7.250000,655980
2021-07-30,7.250000,8.000000,7.150000,7.750000,7.750000,703637
2021-08-02,7.750000,8.500000,7.550000,8.375000,8.375000,915710
2021-08-03,8.375000,8.488000,8.000000,8.250000,8.250000,583433
2021-08-04,8.250000,8.500000,7.250000,7.500000,7.500000,648766
2021-08-05,7.500000,7.644000,7.110000,7.500000,7.500000,89283
2021-08-06,7.500000,7.644000,7.000000,7.250000,7.250000,78845
2021-08-09,7.250000,7.378000,7.005000,7.225000,7.225000,212308
2021-08-10,7.125000,7.250000,7.013000,7.125000,7.125000,72430
2021-08-11,7.125000,7.250000,7.000000,7.125000,7.125000,46195
2021-08-12,7.125000,7.217000,4.000000,6.875000,6.875000,320935
2021-08-13,6.875000,7.500000,6.700000,7.000000,7.000000,732875
2021-08-16,7.250000,8.700000,7.115000,8.600000,8.600000,1503881
2021-08-17,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-18,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-19,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-20,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-23,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-24,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-25,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-26,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-27,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-08-31,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-01,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-02,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-03,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-06,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-07,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-08,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-09,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-10,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-13,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-14,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-15,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-16,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-17,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-20,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-21,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-22,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-23,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-24,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-27,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-28,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-29,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-09-30,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-01,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-04,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-05,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-06,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-07,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-08,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-11,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-12,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-13,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-14,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-15,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-18,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-19,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-20,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-21,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-22,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-25,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-26,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-27,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-28,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-10-29,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-01,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-02,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-03,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-04,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-05,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-08,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-09,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-10,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-11,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-12,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-15,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-16,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-17,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-18,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-19,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-22,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-23,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-24,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-25,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-26,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-29,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-11-30,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-01,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-02,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-03,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-06,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-07,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-08,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-09,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-10,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-13,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-14,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-15,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-16,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-17,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-20,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-21,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-22,8.600000,8.600000,8.600000,8.600000,8.600000,0
2021-12-23,8.600000,8.600000,8.600000,8.600000,8.600000,0
