Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,30.000000,30.000000,30.000000,30.000000,30.000000,0
1998-03-02,null,null,null,null,null,null
1998-03-03,null,null,null,null,null,null
1998-03-04,null,null,null,null,null,null
1998-03-05,null,null,null,null,null,null
1998-03-06,null,null,null,null,null,null
1998-03-09,null,null,null,null,null,null
1998-03-10,null,null,null,null,null,null
1998-03-11,null,null,null,null,null,null
1998-03-12,null,null,null,null,null,null
1998-03-13,null,null,null,null,null,null
1998-03-16,null,null,null,null,null,null
1998-03-17,null,null,null,null,null,null
1998-03-18,null,null,null,null,null,null
1998-03-19,null,null,null,null,null,null
1998-03-20,null,null,null,null,null,null
1998-03-23,null,null,null,null,null,null
1998-03-24,null,null,null,null,null,null
1998-03-25,null,null,null,null,null,null
1998-03-26,null,null,null,null,null,null
1998-03-27,null,null,null,null,null,null
1998-03-30,null,null,null,null,null,null
1998-03-31,null,null,null,null,null,null
1998-04-01,null,null,null,null,null,null
1998-04-02,null,null,null,null,null,null
1998-04-03,null,null,null,null,null,null
1998-04-06,null,null,null,null,null,null
1998-04-07,null,null,null,null,null,null
1998-04-08,null,null,null,null,null,null
1998-04-09,null,null,null,null,null,null
1998-04-13,null,null,null,null,null,null
1998-04-14,null,null,null,null,null,null
1998-04-15,null,null,null,null,null,null
1998-04-16,null,null,null,null,null,null
1998-04-17,null,null,null,null,null,null
1998-04-20,null,null,null,null,null,null
1998-04-21,null,null,null,null,null,null
1998-04-22,null,null,null,null,null,null
1998-04-23,null,null,null,null,null,null
1998-04-24,null,null,null,null,null,null
1998-04-27,null,null,null,null,null,null
1998-04-28,null,null,null,null,null,null
1998-04-29,null,null,null,null,null,null
1998-04-30,null,null,null,null,null,null
1998-05-01,null,null,null,null,null,null
1998-05-04,null,null,null,null,null,null
1998-05-05,null,null,null,null,null,null
1998-05-06,null,null,null,null,null,null
1998-05-07,null,null,null,null,null,null
1998-05-08,null,null,null,null,null,null
1998-05-11,null,null,null,null,null,null
1998-05-12,null,null,null,null,null,null
1998-05-13,null,null,null,null,null,null
1998-05-14,null,null,null,null,null,null
1998-05-15,null,null,null,null,null,null
1998-05-18,null,null,null,null,null,null
1998-05-19,null,null,null,null,null,null
1998-05-20,null,null,null,null,null,null
1998-05-21,null,null,null,null,null,null
1998-05-22,null,null,null,null,null,null
1998-05-26,null,null,null,null,null,null
1998-05-27,null,null,null,null,null,null
1998-05-28,null,null,null,null,null,null
1998-05-29,null,null,null,null,null,null
1998-06-01,null,null,null,null,null,null
1998-06-02,null,null,null,null,null,null
1998-06-03,null,null,null,null,null,null
1998-06-04,null,null,null,null,null,null
1998-06-05,null,null,null,null,null,null
1998-06-08,null,null,null,null,null,null
1998-06-09,null,null,null,null,null,null
1998-06-10,null,null,null,null,null,null
1998-06-11,null,null,null,null,null,null
1998-06-12,null,null,null,null,null,null
1998-06-15,null,null,null,null,null,null
1998-06-16,null,null,null,null,null,null
1998-06-17,null,null,null,null,null,null
1998-06-18,null,null,null,null,null,null
1998-06-19,null,null,null,null,null,null
1998-06-22,null,null,null,null,null,null
1998-06-23,null,null,null,null,null,null
1998-06-24,null,null,null,null,null,null
1998-06-25,null,null,null,null,null,null
1998-06-26,null,null,null,null,null,null
1998-06-29,null,null,null,null,null,null
1998-06-30,null,null,null,null,null,null
1998-07-01,null,null,null,null,null,null
1998-07-02,null,null,null,null,null,null
1998-07-06,null,null,null,null,null,null
1998-07-07,null,null,null,null,null,null
1998-07-08,null,null,null,null,null,null
1998-07-09,null,null,null,null,null,null
1998-07-10,null,null,null,null,null,null
1998-07-13,null,null,null,null,null,null
1998-07-14,null,null,null,null,null,null
1998-07-15,null,null,null,null,null,null
1998-07-16,null,null,null,null,null,null
1998-07-17,null,null,null,null,null,null
1998-07-20,null,null,null,null,null,null
1998-07-21,null,null,null,null,null,null
1998-07-22,null,null,null,null,null,null
1998-07-23,null,null,null,null,null,null
1998-07-24,null,null,null,null,null,null
1998-07-27,null,null,null,null,null,null
1998-07-28,null,null,null,null,null,null
1998-07-29,null,null,null,null,null,null
1998-07-30,null,null,null,null,null,null
1998-07-31,null,null,null,null,null,null
1998-08-03,null,null,null,null,null,null
1998-08-04,null,null,null,null,null,null
1998-08-05,null,null,null,null,null,null
1998-08-06,null,null,null,null,null,null
1998-08-07,null,null,null,null,null,null
1998-08-10,null,null,null,null,null,null
1998-08-11,null,null,null,null,null,null
1998-08-12,null,null,null,null,null,null
1998-08-13,null,null,null,null,null,null
1998-08-14,null,null,null,null,null,null
1998-08-17,null,null,null,null,null,null
1998-08-18,null,null,null,null,null,null
1998-08-19,null,null,null,null,null,null
1998-08-20,null,null,null,null,null,null
1998-08-21,null,null,null,null,null,null
1998-08-24,null,null,null,null,null,null
1998-08-25,null,null,null,null,null,null
1998-08-26,null,null,null,null,null,null
1998-08-27,null,null,null,null,null,null
1998-08-28,null,null,null,null,null,null
1998-08-31,20.000000,20.000000,20.000000,20.000000,20.000000,0
1998-09-01,null,null,null,null,null,null
1998-09-02,null,null,null,null,null,null
1998-09-03,null,null,null,null,null,null
1998-09-04,null,null,null,null,null,null
1998-09-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
1998-09-09,null,null,null,null,null,null
1998-09-10,null,null,null,null,null,null
1998-09-11,null,null,null,null,null,null
1998-09-14,null,null,null,null,null,null
1998-09-15,null,null,null,null,null,null
1998-09-16,null,null,null,null,null,null
1998-09-17,null,null,null,null,null,null
1998-09-18,null,null,null,null,null,null
1998-09-21,null,null,null,null,null,null
1998-09-22,null,null,null,null,null,null
1998-09-23,null,null,null,null,null,null
1998-09-24,null,null,null,null,null,null
1998-09-25,null,null,null,null,null,null
1998-09-28,null,null,null,null,null,null
1998-09-29,null,null,null,null,null,null
1998-09-30,null,null,null,null,null,null
1998-10-01,null,null,null,null,null,null
1998-10-02,null,null,null,null,null,null
1998-10-05,null,null,null,null,null,null
1998-10-06,null,null,null,null,null,null
1998-10-07,null,null,null,null,null,null
1998-10-08,null,null,null,null,null,null
1998-10-09,null,null,null,null,null,null
1998-10-12,null,null,null,null,null,null
1998-10-13,null,null,null,null,null,null
1998-10-14,null,null,null,null,null,null
1998-10-15,null,null,null,null,null,null
1998-10-16,null,null,null,null,null,null
1998-10-19,null,null,null,null,null,null
1998-10-20,null,null,null,null,null,null
1998-10-21,null,null,null,null,null,null
1998-10-22,null,null,null,null,null,null
1998-10-23,null,null,null,null,null,null
1998-10-26,null,null,null,null,null,null
1998-10-27,null,null,null,null,null,null
1998-10-28,null,null,null,null,null,null
1998-10-29,null,null,null,null,null,null
1998-10-30,null,null,null,null,null,null
1998-11-02,null,null,null,null,null,null
1998-11-03,null,null,null,null,null,null
1998-11-04,null,null,null,null,null,null
1998-11-05,null,null,null,null,null,null
1998-11-06,null,null,null,null,null,null
1998-11-09,null,null,null,null,null,null
1998-11-10,null,null,null,null,null,null
1998-11-11,null,null,null,null,null,null
1998-11-12,null,null,null,null,null,null
1998-11-13,null,null,null,null,null,null
1998-11-16,null,null,null,null,null,null
1998-11-17,null,null,null,null,null,null
1998-11-18,null,null,null,null,null,null
1998-11-19,null,null,null,null,null,null
1998-11-20,null,null,null,null,null,null
1998-11-23,null,null,null,null,null,null
1998-11-24,null,null,null,null,null,null
1998-11-25,null,null,null,null,null,null
1998-11-27,null,null,null,null,null,null
1998-11-30,null,null,null,null,null,null
1998-12-01,null,null,null,null,null,null
1998-12-02,null,null,null,null,null,null
1998-12-03,null,null,null,null,null,null
1998-12-04,null,null,null,null,null,null
1998-12-07,null,null,null,null,null,null
1998-12-08,null,null,null,null,null,null
1998-12-09,null,null,null,null,null,null
1998-12-10,null,null,null,null,null,null
1998-12-11,null,null,null,null,null,null
1998-12-14,null,null,null,null,null,null
1998-12-15,null,null,null,null,null,null
1998-12-16,null,null,null,null,null,null
1998-12-17,null,null,null,null,null,null
