Date,Open,High,Low,Close,Adj Close,Volume
2017-07-28,182.000000,198.000000,180.000000,190.375000,185.816116,6716868
2017-07-31,194.750000,204.279999,194.324997,197.375000,192.648483,654626
2017-08-01,199.750000,200.800003,194.639999,198.000000,193.258514,177719
2017-08-02,199.750000,200.750000,195.000000,197.500000,192.770493,83227
2017-08-03,200.000000,200.000000,195.000000,196.500000,191.794434,269299
2017-08-04,196.750000,198.750000,196.750000,198.125000,193.380539,137120
2017-08-07,200.000000,200.000000,185.000000,187.375000,182.887955,295374
2017-08-08,185.000000,189.850006,182.000000,189.125000,184.596054,115584
2017-08-09,190.000000,193.250000,187.250000,190.000000,185.450089,835471
2017-08-10,190.000000,193.179993,189.750000,190.000000,185.450089,22540
2017-08-11,186.000000,192.759995,185.888000,187.750000,183.253967,307406
2017-08-14,185.000000,190.759995,185.000000,187.500000,183.009964,14039
2017-08-15,185.000000,188.699997,175.000000,181.000000,176.665604,82119
2017-08-16,177.000000,181.949997,177.000000,181.000000,176.665604,30638
2017-08-17,180.449997,184.500000,177.250000,183.500000,179.105743,105949
2017-08-18,185.000000,185.000000,180.500000,182.500000,178.129700,37063
2017-08-21,181.750000,187.848007,180.000000,184.000000,179.593781,40676
2017-08-22,185.000000,186.837997,182.699997,182.500000,178.129700,24584
2017-08-23,182.500000,184.621002,182.500000,183.750000,179.349762,64464
2017-08-24,184.000000,185.000000,180.000000,180.000000,175.689545,22639
2017-08-25,180.000000,183.063004,180.000000,182.000000,177.641663,10059
2017-08-29,181.188004,183.063004,180.600006,181.875000,177.519669,18888
2017-08-30,184.000000,184.000000,180.000000,180.000000,175.689545,25567
2017-08-31,184.000000,184.000000,178.500000,182.000000,177.641663,63696
2017-09-01,180.000000,182.250000,170.250000,175.000000,170.809296,89487
2017-09-04,173.000000,179.000000,173.000000,177.250000,173.005417,25096
2017-09-05,179.750000,180.000000,178.992996,179.500000,175.201538,6661
2017-09-06,180.000000,182.636993,178.000000,179.125000,174.835510,16623
2017-09-07,182.000000,182.000000,177.102997,180.125000,175.811569,27079
2017-09-08,180.125000,180.125000,180.125000,180.000000,175.689545,1703
2017-09-11,180.000000,186.063004,177.750000,178.000000,173.737442,470579
2017-09-12,178.250000,181.750000,177.348007,180.000000,175.689545,163434
2017-09-13,180.000000,180.000000,178.302994,179.000000,174.713501,34564
2017-09-14,177.000000,181.649994,150.770996,172.500000,168.369156,140233
2017-09-15,168.250000,178.000000,168.250000,177.500000,173.249435,292463
2017-09-18,176.000000,178.462997,175.250000,177.000000,172.761398,268033
2017-09-19,173.350006,178.313004,169.830002,177.500000,173.249435,120719
2017-09-20,175.250000,180.000000,173.250000,178.000000,173.737442,51726
