Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,1.030000,1.030000,1.030000,1.030000,1.019913,0
2021-12-15,1.030000,1.030000,1.008670,1.025000,1.014962,82609
2021-12-16,1.025000,1.045000,1.001280,1.030000,1.019913,60000
2021-12-17,1.025000,1.070000,1.034400,1.050000,1.039717,250300
2021-12-20,1.030000,1.060000,1.029170,1.030000,1.019913,21953
2021-12-21,1.030000,1.060000,1.040610,1.040000,1.029815,9625
2021-12-22,1.040000,1.065600,1.065600,1.065000,1.054570,19785
2021-12-23,1.060000,1.060000,1.060000,1.060000,1.049619,0
2021-12-24,1.060000,1.076860,1.076860,1.070000,1.059521,1454
2021-12-29,1.070000,1.100000,1.100000,1.090000,1.079325,3000
2021-12-30,1.090000,1.125000,1.119010,1.110000,1.099129,35999
2021-12-31,1.110000,1.134760,1.134760,1.110000,1.099129,1745
2022-01-04,1.110000,1.160000,1.100000,1.120000,1.109031,402538
2022-01-05,1.120000,1.151500,1.082870,1.140000,1.128835,124791
2022-01-06,1.130000,1.180000,1.110000,1.150000,1.138737,21122
2022-01-07,1.150000,1.184400,1.130000,1.150000,1.138737,83826
2022-01-10,1.150000,1.175000,1.110000,1.150000,1.138737,62048
2022-01-11,1.150000,1.190000,1.131740,1.150000,1.138737,20979
2022-01-12,1.150000,1.175570,1.175570,1.160000,1.148639,11438
2022-01-13,1.140000,1.140000,1.140000,1.140000,1.128835,0
2022-01-14,1.119830,1.119830,1.119330,1.130000,1.118933,3957
2022-01-17,1.120000,1.117430,1.117430,1.120000,1.109031,2638
2022-01-18,1.120000,1.141610,1.141610,1.120000,1.109031,3167
2022-01-19,1.120000,1.133920,1.120000,1.120000,1.109031,20249
2022-01-20,1.130000,1.165280,1.165280,1.150000,1.138737,1137
2022-01-21,1.150000,1.180000,1.180000,1.140000,1.128835,153740
2022-01-24,1.130000,1.163910,1.080000,1.105000,1.094178,7747
2022-01-25,1.100000,1.100000,1.100000,1.100000,1.089227,0
2022-01-26,1.100000,1.139330,1.118040,1.100000,1.089227,5734
2022-01-27,1.100000,1.133660,1.133400,1.120000,1.109031,20500
2022-01-28,1.150000,1.150000,1.150000,1.150000,1.138737,0
2022-01-31,1.150000,1.149120,1.120000,1.170000,1.158541,15944
2022-02-01,1.170000,1.175240,1.175240,1.170000,1.158541,2265
2022-02-02,1.170000,1.170000,1.170000,1.170000,1.158541,0
2022-02-03,1.170000,1.170000,1.170000,1.170000,1.158541,3200
2022-02-04,1.190000,1.260000,1.260000,1.230000,1.217954,2
2022-02-07,1.230000,1.295000,1.186050,1.250000,1.237758,31492
2022-02-08,1.220000,1.169990,1.169990,1.200000,1.188248,100
2022-02-09,1.200000,1.240000,1.230000,1.180000,1.168444,8113
2022-02-10,1.190000,1.201530,1.160000,1.190000,1.178346,10854
2022-02-11,1.165000,1.165000,1.165000,1.165000,1.153591,0
2022-02-14,1.165000,1.170090,1.170090,1.145000,1.133786,1319
2022-02-15,1.145000,1.204240,1.180000,1.130000,1.118933,21467
2022-02-16,1.130000,1.130000,1.130000,1.130000,1.118933,0
2022-02-17,1.130000,1.130000,1.130000,1.130000,1.118933,0
2022-02-18,1.135000,1.135000,1.135000,1.135000,1.123884,0
2022-02-21,1.135000,1.135000,1.135000,1.135000,1.123884,0
2022-02-22,1.135000,1.135000,1.135000,1.135000,1.123884,0
2022-02-23,1.135000,1.135000,1.135000,1.135000,1.123884,0
2022-02-24,1.120000,1.170200,1.168710,1.120000,1.109031,13948
2022-02-25,1.120000,1.166100,1.166100,1.120000,1.109031,1912
2022-02-28,1.120000,1.120000,1.120000,1.120000,1.109031,0
2022-03-01,1.120000,1.173710,1.165880,1.120000,1.109031,8416
2022-03-02,1.120000,1.166570,1.166570,1.120000,1.109031,3200
2022-03-03,1.120000,1.167800,1.167800,1.120000,1.109031,1031
2022-03-04,1.120000,1.162860,1.159630,1.120000,1.109031,18943
2022-03-07,1.120000,1.153170,1.150430,1.120000,1.109031,19509
2022-03-08,1.120000,1.120000,1.120000,1.120000,1.109031,0
2022-03-09,1.120000,1.200000,1.070000,1.180000,1.168444,101903
2022-03-10,1.195000,1.210000,1.210000,1.200000,1.188248,2657
2022-03-11,1.200000,1.210000,1.206630,1.220000,1.208052,12031
2022-03-14,1.190000,1.232530,1.230540,1.195000,1.183297,30211
2022-03-15,1.195000,1.240900,1.240900,1.225000,1.213003,638
2022-03-16,1.235000,1.254190,1.210000,1.210000,1.198150,670162
2022-03-17,1.240000,1.276600,1.190000,1.220000,1.208052,7180
2022-03-18,1.220000,1.232440,1.170000,1.180000,1.168444,143423
2022-03-21,1.220000,1.220000,1.220000,1.220000,1.208052,0
2022-03-22,1.190000,1.226080,1.140000,1.190000,1.178346,96065
2022-03-23,1.230000,1.226270,1.226270,1.230000,1.217954,200
2022-03-24,1.230000,1.250000,1.200000,1.200000,1.188248,283814
2022-03-25,1.230000,1.200000,1.200000,1.230000,1.217954,35000
2022-03-28,1.230000,1.260000,1.200000,1.200000,1.188248,67429
2022-03-29,1.250000,1.219610,1.195000,1.260000,1.247660,59656
2022-03-30,1.260000,1.290000,1.290000,1.260000,1.247660,35019
2022-03-31,1.270000,1.290000,1.290000,1.270000,1.257562,68504
2022-04-01,1.280000,1.340000,1.320000,1.300000,1.287268,5053
2022-04-04,1.300000,1.340000,1.250000,1.300000,1.287268,14815
2022-04-05,1.300000,1.300000,1.300000,1.300000,1.287268,0
2022-04-06,1.275000,1.275000,1.275000,1.275000,1.262513,0
2022-04-07,1.275000,1.210000,1.210000,1.300000,1.287268,9108
2022-04-08,1.300000,1.240000,1.240000,1.300000,1.287268,3297
2022-04-11,1.270000,1.330000,1.320000,1.240000,1.227856,2400
2022-04-12,1.245000,1.245000,1.245000,1.245000,1.232807,0
2022-04-13,1.245000,1.320000,1.320000,1.245000,1.232807,619
2022-04-14,1.245000,1.320000,1.180000,1.245000,1.232807,18080
2022-04-19,1.245000,1.300000,1.180000,1.245000,1.232807,16972
2022-04-20,1.245000,1.245000,1.245000,1.245000,1.232807,0
2022-04-21,1.245000,1.300000,1.170000,1.245000,1.232807,3130
