Date,Open,High,Low,Close,Adj Close,Volume
2021-11-17,2.600000,3.840000,2.800000,3.250000,3.250000,11650194
2021-11-18,3.250000,3.750000,3.025000,3.300000,3.300000,9441235
2021-11-19,3.300000,3.938000,3.250000,3.588000,3.588000,9991553
2021-11-22,3.500000,3.800000,3.300000,3.600000,3.600000,6672569
2021-11-23,3.600000,3.980000,3.600000,3.800000,3.800000,3689974
2021-11-24,3.900000,4.250000,3.700000,3.800000,3.800000,3684749
2021-11-25,3.700000,3.820000,3.520000,3.600000,3.600000,3247356
2021-11-26,3.600000,3.660000,3.500000,3.500000,3.500000,1470264
2021-11-29,3.600000,3.550000,3.030000,3.100000,3.100000,4389553
2021-11-30,3.050000,3.100000,2.900000,3.000000,3.000000,4937130
2021-12-01,2.950000,3.450000,2.926000,3.360000,3.360000,2354979
2021-12-02,3.100000,3.290000,2.980000,3.100000,3.100000,3679113
2021-12-03,3.050000,3.140000,2.980000,3.060000,3.060000,3333201
2021-12-06,3.070000,3.100000,3.000000,3.000000,3.000000,1118953
2021-12-07,3.050000,3.100000,2.810000,2.880000,2.880000,919020
2021-12-08,3.000000,3.000000,2.660000,2.780000,2.780000,2562288
2021-12-09,2.700000,2.800000,2.600000,2.740000,2.740000,958377
2021-12-10,2.700000,3.120000,2.682000,2.860000,2.860000,543076
2021-12-13,3.000000,3.480000,2.920000,3.200000,3.200000,3319239
2021-12-14,3.350000,3.400000,3.200000,3.200000,3.200000,1697656
2021-12-15,3.300000,3.400000,3.075000,3.120000,3.120000,641410
2021-12-16,3.100000,3.184000,2.942000,3.060000,3.060000,683862
2021-12-17,3.050000,3.300000,2.900000,3.200000,3.200000,2707534
2021-12-20,3.150000,3.240000,2.900000,3.180000,3.180000,1770589
2021-12-21,2.950000,3.000000,2.900000,2.900000,2.900000,926492
2021-12-22,2.950000,3.060000,2.930000,3.060000,3.060000,1497084
2021-12-23,3.020000,3.100000,2.970000,3.100000,3.100000,453670
2021-12-24,3.020000,3.140000,3.000000,3.020000,3.020000,910745
2021-12-29,3.020000,3.160000,3.000000,3.160000,3.160000,1086053
2021-12-30,3.200000,3.280000,3.000000,3.220000,3.220000,2310017
2021-12-31,3.150000,3.275000,3.000000,3.050000,3.050000,780728
2022-01-04,3.050000,3.070000,2.900000,3.040000,3.040000,3155370
2022-01-05,2.975000,3.300000,2.950000,3.200000,3.200000,3323867
2022-01-06,3.200000,3.490000,3.125000,3.370000,3.370000,4798639
2022-01-07,3.350000,4.500000,3.300000,4.000000,4.000000,8696180
2022-01-10,4.100000,4.200000,3.900000,4.090000,4.090000,5783836
2022-01-11,4.150000,4.200000,3.900000,3.980000,3.980000,4498714
2022-01-12,3.950000,4.000000,3.500000,3.950000,3.950000,3889622
2022-01-13,3.950000,4.100000,3.910000,4.050000,4.050000,1905074
2022-01-14,4.050000,4.600000,4.079000,4.300000,4.300000,4686869
2022-01-17,4.300000,5.000000,4.230000,4.950000,4.950000,10638520
2022-01-18,4.950000,5.400000,4.820000,5.120000,5.120000,16111498
2022-01-19,5.100000,5.300000,4.900000,5.300000,5.300000,7360892
2022-01-20,5.250000,5.500000,5.200000,5.280000,5.280000,4433630
2022-01-21,5.300000,5.350000,4.800000,5.000000,5.000000,4131120
2022-01-24,4.975000,5.200000,4.500000,4.650000,4.650000,4569358
2022-01-25,4.650000,4.797000,4.300000,4.550000,4.550000,2418455
2022-01-26,4.550000,4.940000,4.500000,4.600000,4.600000,4114769
2022-01-27,4.600000,4.650000,4.400000,4.600000,4.600000,1053780
2022-01-28,4.600000,4.600000,4.160000,4.200000,4.200000,2285433
2022-01-31,4.650000,4.900000,4.200000,4.750000,4.750000,3911845
2022-02-01,4.750000,5.000000,4.700000,4.860000,4.860000,2208741
2022-02-02,4.900000,4.900000,4.500000,4.650000,4.650000,3426235
2022-02-03,4.650000,4.650000,4.100000,4.325000,4.325000,3416813
2022-02-04,4.325000,4.370000,4.100000,4.215000,4.215000,2798059
2022-02-07,4.200000,4.310000,3.950000,4.000000,4.000000,4126026
2022-02-08,4.025000,4.100000,3.800000,3.980000,3.980000,1946147
2022-02-09,3.925000,3.900000,3.700000,3.750000,3.750000,2202021
2022-02-10,3.750000,3.800000,3.550000,3.725000,3.725000,4248209
2022-02-11,3.725000,3.720000,3.650000,3.675000,3.675000,370480
2022-02-14,3.675000,3.662000,3.500000,3.525000,3.525000,1722083
2022-02-15,3.475000,3.900000,3.440000,3.725000,3.725000,4304464
2022-02-16,3.725000,4.250000,3.650000,4.050000,4.050000,5108914
2022-02-17,4.050000,4.250000,3.700000,4.100000,4.100000,2111307
2022-02-18,3.850000,4.000000,3.770000,3.875000,3.875000,1874666
2022-02-21,3.875000,4.000000,3.400000,3.550000,3.550000,2467326
2022-02-22,3.650000,3.890000,3.500000,3.700000,3.700000,6594261
