Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,18.590000,26.000000,11.350000,11.500000,11.500000,5100
2023-03-06,19.500000,19.500000,13.090000,13.140000,13.140000,6700
2023-03-07,10.311000,12.205000,8.137000,8.160000,8.160000,11100
2023-03-08,4.590000,5.770000,3.350000,3.850000,3.850000,680200
2023-03-09,4.490000,6.580000,4.330000,4.940000,4.940000,10574600
2023-03-10,4.500000,4.700000,3.660000,3.710000,3.710000,946800
2023-03-13,3.380000,4.068000,3.370000,3.952000,3.952000,438700
2023-03-14,3.310000,3.620000,2.300000,2.410000,2.410000,1433900
2023-03-15,2.150000,2.160000,1.850000,2.040000,2.040000,632500
2023-03-16,2.150000,2.270000,1.872000,1.990000,1.990000,631100
2023-03-17,1.930000,1.930000,1.570000,1.700000,1.700000,729900
2023-03-20,1.620000,1.850000,1.620000,1.760000,1.760000,383200
2023-03-21,1.870000,1.870000,1.580000,1.585000,1.585000,488500
2023-03-22,1.550000,1.575000,1.470000,1.490000,1.490000,222200
2023-03-23,1.470000,1.570000,1.440000,1.470000,1.470000,262500
2023-03-24,1.470000,1.540000,1.420000,1.530000,1.530000,92700
2023-03-27,1.550000,1.570000,1.460000,1.500000,1.500000,166900
2023-03-28,1.480000,1.650000,1.474000,1.630000,1.630000,314900
2023-03-29,1.660000,2.880000,1.620000,1.950000,1.950000,24972600
2023-03-30,1.810000,2.650000,1.810000,2.370000,2.370000,10269900
2023-03-31,2.560000,3.300000,2.500000,2.690000,2.690000,10337700
2023-04-03,2.880000,3.150000,2.410000,2.580000,2.580000,2769300
2023-04-04,2.590000,2.780000,2.470000,2.520000,2.520000,452000
2023-04-05,2.490000,2.570000,2.120000,2.170000,2.170000,425600
2023-04-06,2.100000,2.200000,1.930000,2.200000,2.200000,330600
2023-04-10,2.250000,2.590000,2.216000,2.550000,2.550000,351000
2023-04-11,2.580000,2.640000,2.390000,2.455000,2.455000,365800
2023-04-12,2.430000,2.500000,2.340000,2.390000,2.390000,131100
2023-04-13,2.360000,2.450000,2.182000,2.290000,2.290000,252700
2023-04-14,2.270000,2.400000,2.220000,2.240000,2.240000,134200
