Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,300.000000,308.799988,265.000000,265.000000,265.000000,68441631
2021-03-24,265.000000,267.549988,249.949997,255.000000,255.000000,23901272
2021-03-25,260.000000,265.299988,255.050003,263.950012,263.950012,3901494
2021-03-26,269.500000,280.250000,262.000000,265.000000,265.000000,2530757
2021-03-29,266.000000,280.250000,258.000000,259.000000,259.000000,1852642
2021-03-30,264.000000,266.000000,259.500000,266.000000,266.000000,2250119
2021-03-31,267.000000,268.000000,262.339996,265.000000,265.000000,1700831
2021-04-01,265.600006,266.000000,263.000000,265.000000,265.000000,342508
2021-04-06,266.000000,269.000000,263.790009,266.000000,266.000000,431072
2021-04-07,266.000000,269.920013,265.799988,269.000000,269.000000,613493
2021-04-08,269.000000,280.000000,267.760010,275.799988,275.799988,799670
2021-04-09,278.000000,279.000000,276.000000,278.000000,278.000000,458695
2021-04-12,282.000000,284.000000,278.000000,284.000000,284.000000,934244
2021-04-13,285.000000,309.000000,282.799988,298.000000,298.000000,502647
2021-04-14,299.200012,309.799988,298.000000,300.000000,300.000000,256063
2021-04-15,303.000000,324.000000,300.000000,313.000000,313.000000,778001
2021-04-16,313.000000,317.600006,309.600006,310.200012,310.200012,436581
2021-04-19,314.000000,315.000000,310.739990,313.399994,313.399994,366482
2021-04-20,315.000000,315.000000,300.799988,306.000000,306.000000,389638
2021-04-21,295.000000,333.399994,293.399994,314.000000,314.000000,395932
2021-04-22,316.000000,335.000000,311.200012,327.600006,327.600006,702980
2021-04-23,330.000000,352.119995,325.399994,333.000000,333.000000,452990
2021-04-26,347.000000,348.000000,322.600006,322.600006,322.600006,1993139
2021-04-27,323.000000,325.000000,314.200012,316.399994,316.399994,294774
2021-04-28,313.000000,321.399994,312.399994,313.200012,313.200012,527563
2021-04-29,312.000000,325.399994,309.399994,313.799988,313.799988,390277
2021-04-30,314.000000,317.799988,310.399994,313.000000,313.000000,222810
2021-05-04,316.000000,326.799988,307.799988,309.200012,309.200012,7721357
2021-05-05,311.000000,318.799988,305.600006,315.000000,315.000000,2070192
2021-05-06,313.000000,317.000000,310.200012,316.000000,316.000000,776645
2021-05-07,316.000000,319.000000,314.200012,317.200012,317.200012,2459497
2021-05-10,318.000000,318.779999,313.200012,316.000000,316.000000,204200
2021-05-11,316.000000,316.000000,308.000000,309.000000,309.000000,1717897
2021-05-12,305.000000,310.399994,300.459991,302.399994,302.399994,10428958
2021-05-13,302.000000,308.799988,297.600006,306.000000,306.000000,584179
2021-05-14,308.000000,324.799988,299.000000,313.000000,313.000000,815610
2021-05-17,315.000000,315.000000,304.000000,304.000000,304.000000,387406
2021-05-18,309.000000,309.000000,279.799988,296.399994,296.399994,687632
2021-05-19,293.000000,296.000000,288.799988,292.399994,292.399994,544961
2021-05-20,291.000000,302.000000,290.000000,301.000000,301.000000,1241324
2021-05-21,302.000000,305.000000,296.600006,296.600006,296.600006,543473
2021-05-24,307.200012,307.200012,294.799988,300.000000,300.000000,166622
2021-05-25,300.000000,302.000000,289.000000,296.600006,296.600006,576699
2021-05-26,296.399994,304.799988,295.799988,301.000000,301.000000,14973330
2021-05-27,300.000000,303.200012,292.600006,298.200012,298.200012,246956
2021-05-28,295.000000,300.399994,295.000000,300.000000,300.000000,629000
2021-06-01,301.000000,301.000000,293.799988,295.399994,295.399994,228003
2021-06-02,299.000000,309.200012,295.399994,308.600006,308.600006,363246
2021-06-03,309.799988,318.000000,305.399994,316.600006,316.600006,1380079
2021-06-04,316.399994,328.799988,316.000000,328.000000,328.000000,448124
2021-06-07,322.000000,334.799988,322.000000,322.000000,322.000000,626206
2021-06-08,319.000000,327.399994,319.000000,321.000000,321.000000,261406
2021-06-09,322.200012,327.600006,312.290009,325.799988,325.799988,784378
2021-06-10,325.399994,326.399994,318.600006,323.000000,323.000000,293260
2021-06-11,326.000000,331.000000,322.399994,331.000000,331.000000,257740
2021-06-14,330.000000,352.399994,329.799988,350.600006,350.600006,789492
2021-06-15,352.000000,360.000000,349.399994,356.000000,356.000000,629498
2021-06-16,356.000000,358.000000,345.350006,350.399994,350.399994,480643
2021-06-17,350.000000,368.000000,330.000000,362.600006,362.600006,796928
2021-06-18,361.799988,368.000000,354.399994,364.399994,364.399994,12612353
2021-06-21,363.000000,371.200012,357.399994,357.399994,357.399994,887956
2021-06-22,356.000000,361.000000,354.200012,355.200012,355.200012,326876
2021-06-23,349.600006,359.799988,348.399994,348.799988,348.799988,1052085
2021-06-24,349.000000,352.399994,343.200012,350.399994,350.399994,506870
2021-06-25,343.399994,351.799988,343.399994,346.000000,346.000000,985209
2021-06-28,338.799988,350.799988,338.799988,348.600006,348.600006,235162
2021-06-29,348.399994,349.799988,340.799988,345.000000,345.000000,739062
2021-06-30,346.000000,346.000000,339.200012,341.399994,341.399994,622341
2021-07-01,343.000000,345.000000,335.200012,335.600006,335.600006,210543
2021-07-02,337.000000,349.399994,328.200012,344.600006,344.600006,414594
2021-07-05,342.000000,346.200012,339.200012,344.799988,344.799988,338652
2021-07-06,344.000000,344.799988,337.600006,337.799988,337.799988,437387
2021-07-07,337.799988,344.000000,334.399994,342.799988,342.799988,253084
2021-07-08,337.399994,341.000000,331.799988,336.600006,336.600006,251012
2021-07-09,328.000000,338.000000,321.200012,334.600006,334.600006,212137
2021-07-12,340.000000,348.799988,313.674988,347.399994,347.399994,642347
2021-07-13,348.000000,382.000000,345.600006,381.399994,381.399994,562047
2021-07-14,381.399994,399.799988,378.200012,392.799988,392.799988,682009
2021-07-15,390.399994,403.540009,376.399994,377.200012,377.200012,643416
2021-07-16,377.799988,379.000000,350.000000,365.000000,365.000000,387685
2021-07-19,360.000000,362.600006,346.200012,356.000000,356.000000,271296
2021-07-20,355.000000,362.399994,352.399994,356.399994,356.399994,738683
2021-07-21,347.399994,362.730011,341.600006,353.000000,353.000000,179506
2021-07-22,352.600006,358.399994,349.799988,355.799988,355.799988,667636
2021-07-23,355.000000,357.000000,348.399994,352.000000,352.000000,428168
2021-07-26,354.000000,354.600006,348.799988,353.000000,353.000000,714729
2021-07-27,353.000000,369.000000,351.000000,364.000000,364.000000,687767
2021-07-28,364.200012,381.600006,361.000000,375.000000,375.000000,393234
2021-07-29,375.200012,377.799988,366.799988,367.399994,367.399994,408479
2021-07-30,365.200012,367.000000,352.144989,358.200012,358.200012,682479
2021-08-02,359.600006,361.600006,351.600006,356.000000,356.000000,696704
2021-08-03,356.399994,360.000000,351.200012,356.000000,356.000000,649017
2021-08-04,356.000000,370.799988,353.000000,369.399994,369.399994,2506589
2021-08-05,370.200012,394.000000,368.000000,390.000000,390.000000,777043
2021-08-06,390.000000,400.000000,382.799988,383.200012,383.200012,753687
2021-08-09,384.000000,390.799988,373.200012,388.799988,388.799988,436368
2021-08-10,389.000000,391.200012,376.799988,378.600006,378.600006,527022
2021-08-11,375.000000,385.200012,374.600006,378.399994,378.399994,692231
2021-08-12,394.600006,394.600006,369.399994,390.000000,390.000000,3579929
2021-08-13,390.000000,391.600006,384.200012,390.000000,390.000000,291076
2021-08-16,387.799988,394.000000,379.799988,384.000000,384.000000,310250
2021-08-17,384.799988,387.799988,378.399994,384.000000,384.000000,431545
2021-08-18,384.000000,408.799988,373.799988,395.200012,395.200012,590870
2021-08-19,395.799988,396.600006,376.600006,381.200012,381.200012,569765
2021-08-20,382.000000,384.000000,375.000000,383.799988,383.799988,253009
2021-08-23,384.000000,390.000000,381.000000,382.000000,382.000000,400171
2021-08-24,392.000000,392.399994,381.214996,391.600006,391.600006,518309
2021-08-25,392.000000,405.200012,390.200012,396.600006,396.600006,1391732
2021-08-26,413.600006,414.000000,388.399994,395.000000,395.000000,340491
2021-08-27,376.200012,420.200012,376.200012,410.000000,410.000000,1018550
2021-08-31,406.000000,436.399994,404.600006,432.000000,432.000000,932067
2021-09-01,425.000000,461.000000,425.000000,460.000000,460.000000,1028863
2021-09-02,460.000000,481.799988,448.000000,451.399994,451.399994,2105238
2021-09-03,450.000000,452.200012,435.200012,449.200012,449.200012,646621
2021-09-06,455.000000,459.200012,448.399994,449.000000,449.000000,960394
2021-09-07,448.000000,451.000000,445.600006,447.399994,447.399994,508281
2021-09-08,447.600006,449.399994,434.600006,434.799988,434.799988,689115
2021-09-09,429.799988,435.399994,428.600006,430.600006,430.600006,627618
2021-09-10,420.000000,430.700012,420.000000,425.600006,425.600006,492007
2021-09-13,427.000000,429.000000,421.000000,421.000000,421.000000,472007
2021-09-14,425.000000,425.799988,411.200012,414.399994,414.399994,1280841
2021-09-15,405.000000,416.799988,379.799988,387.000000,387.000000,1594177
2021-09-16,381.600006,397.799988,381.399994,389.799988,389.799988,938338
2021-09-17,380.600006,392.200012,363.799988,383.399994,383.399994,6330890
2021-09-20,375.200012,381.399994,367.200012,370.799988,370.799988,757290
2021-09-21,370.200012,375.549988,360.200012,366.799988,366.799988,410763
2021-09-22,350.000000,368.200012,350.000000,359.600006,359.600006,595650
2021-09-23,360.000000,363.600006,344.600006,345.799988,345.799988,4914811
2021-09-24,336.000000,342.799988,325.200012,337.399994,337.399994,1115972
2021-09-27,340.000000,340.000000,333.541992,336.600006,336.600006,643018
2021-09-28,332.200012,346.000000,323.000000,343.000000,343.000000,2165750
2021-09-29,349.000000,362.799988,340.799988,357.200012,357.200012,990291
2021-09-30,356.000000,385.601990,356.000000,385.600006,385.600006,1918370
2021-10-01,377.600006,388.200012,374.799988,378.200012,378.200012,3740905
2021-10-04,361.200012,378.600006,356.135986,370.000000,370.000000,2462883
2021-10-05,373.600006,390.000000,371.200012,381.399994,381.399994,7607049
2021-10-06,362.399994,377.799988,333.000000,350.799988,350.799988,1414511
2021-10-07,354.000000,359.799988,346.200012,349.200012,349.200012,1230120
2021-10-08,358.799988,361.600006,349.778015,351.000000,351.000000,345163
2021-10-11,340.600006,351.000000,336.200012,340.399994,340.399994,350617
2021-10-12,335.399994,354.000000,330.600006,353.000000,353.000000,3069900
2021-10-13,355.000000,364.000000,350.200012,362.000000,362.000000,465380
2021-10-14,369.000000,381.000000,365.399994,381.000000,381.000000,500622
2021-10-15,361.799988,388.459991,361.799988,375.399994,375.399994,341232
2021-10-18,373.000000,383.600006,365.399994,382.000000,382.000000,470172
2021-10-19,390.000000,390.000000,375.600006,378.600006,378.600006,294210
2021-10-20,340.000000,347.799988,330.000000,330.000000,330.000000,45190460
2021-10-21,330.000000,340.756012,327.600006,336.000000,336.000000,1020162
2021-10-22,331.200012,347.000000,331.200012,335.200012,335.200012,1197774
2021-10-25,336.000000,345.000000,330.000000,341.000000,341.000000,1618409
2021-10-26,338.399994,344.200012,330.600006,330.600006,330.600006,1459692
2021-10-27,330.000000,333.114990,324.000000,328.399994,328.399994,992208
2021-10-28,325.000000,329.600006,319.799988,324.000000,324.000000,621231
2021-10-29,322.000000,322.000000,307.600006,316.399994,316.399994,919021
2021-11-01,313.200012,322.000000,308.059998,315.000000,315.000000,813167
2021-11-02,314.000000,318.000000,311.799988,315.000000,315.000000,825790
2021-11-03,308.799988,317.000000,304.200012,313.799988,313.799988,505007
2021-11-04,313.600006,328.799988,312.200012,323.200012,323.200012,826911
2021-11-05,315.000000,329.157990,315.000000,325.000000,325.000000,924005
2021-11-08,308.799988,327.799988,308.799988,315.000000,315.000000,537384
2021-11-09,300.000000,317.399994,300.000000,313.000000,313.000000,611667
2021-11-10,328.000000,328.000000,301.200012,310.799988,310.799988,913311
2021-11-11,302.200012,312.000000,301.000000,309.399994,309.399994,710491
2021-11-12,302.000000,311.000000,300.799988,308.399994,308.399994,913515
2021-11-15,301.000000,319.809998,301.000000,319.000000,319.000000,547024
2021-11-16,324.000000,326.799988,315.799988,316.799988,316.799988,1429072
2021-11-17,301.000000,320.399994,301.000000,306.600006,306.600006,824035
2021-11-18,292.000000,312.843994,292.000000,297.000000,297.000000,1327550
2021-11-19,297.399994,308.523987,291.799988,300.399994,300.399994,5050376
2021-11-22,295.000000,305.600006,287.799988,287.799988,287.799988,812543
2021-11-23,280.000000,290.200012,280.000000,286.399994,286.399994,615459
2021-11-24,275.000000,306.399994,275.000000,306.399994,306.399994,950527
2021-11-25,294.000000,315.600006,294.000000,304.600006,304.600006,2311309
2021-11-26,296.200012,304.200012,286.799988,286.799988,286.799988,1029533
2021-11-29,281.799988,293.000000,277.200012,287.799988,287.799988,1073172
