Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,1.020000,1.020000,1.020000,1.010000,0.872719,2141423
2019-06-06,1.010000,1.017510,1.010000,1.014000,0.876175,54789
2019-06-07,1.030000,1.030000,1.030000,1.020100,0.881446,45450
2019-06-10,1.019090,1.030000,1.030000,1.017400,0.879113,38971
2019-06-11,1.025000,1.025000,1.025000,1.020000,0.881360,33185
2019-06-12,1.025000,1.025000,1.024810,1.020000,0.881360,11531
2019-06-13,1.024700,1.024700,1.020000,1.020000,0.881360,929730
2019-06-14,1.020000,1.020000,1.020000,1.020000,0.881360,49000
2019-06-17,1.025000,1.025000,1.025000,1.025000,0.885680,0
2019-06-18,1.025000,1.025000,1.025000,1.025000,0.885680,1100
2019-06-19,1.025000,1.025000,1.025000,1.027500,0.887840,100164
2019-06-20,1.025000,1.025000,1.025000,1.025000,0.885680,22930
2019-06-21,1.030000,1.030000,1.030000,1.025000,0.885680,81400
2019-06-24,1.025000,1.025000,1.025000,1.025000,0.885680,79800
2019-06-25,1.025000,1.025000,1.025000,1.025000,0.885680,314500
2019-06-26,1.027190,1.027190,1.027190,1.025000,0.885680,7200
2019-06-27,1.030000,1.030000,1.030000,1.025000,0.885680,90356
2019-06-28,1.030000,1.030000,1.030000,1.025000,0.885680,179227
2019-07-01,1.039780,1.039780,1.039780,1.032500,0.892161,15000
2019-07-02,1.040000,1.040000,1.040000,1.032500,0.892161,23700
2019-07-03,1.039360,1.040000,1.030000,1.032500,0.892161,64765
2019-07-04,1.030000,1.030000,1.030000,1.030000,0.890001,253791
2019-07-05,1.040000,1.040000,1.040000,1.037500,0.896481,7733215
2019-07-08,1.035000,1.035000,1.035000,1.035000,0.894321,0
2019-07-09,1.039000,1.039320,1.030100,1.035000,0.894321,52643
2019-07-10,1.038800,1.038800,1.038800,1.035000,0.894321,9588
2019-07-11,1.035000,1.035000,1.035000,1.032500,0.892161,25000
2019-07-12,1.040000,1.040000,1.040000,1.032500,0.892161,228826
