Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,18650.000000,19000.000000,18300.000000,18650.000000,18650.000000,2256973
2021-03-30,186.500000,190.000000,186.199997,186.500000,186.500000,1038923
2021-03-31,186.500000,194.000000,183.000000,190.000000,190.000000,719203
2021-04-01,190.000000,194.000000,189.809998,190.500000,190.500000,687587
2021-04-06,190.500000,201.000000,193.929993,198.500000,198.500000,610595
2021-04-07,202.500000,214.000000,202.000000,210.500000,210.500000,123115
2021-04-08,211.500000,215.000000,208.500000,209.000000,209.000000,99496
2021-04-09,209.000000,217.000000,211.500000,213.500000,213.500000,22097
2021-04-12,213.500000,229.000000,218.500000,222.500000,222.500000,57999
2021-04-13,222.500000,228.000000,222.699997,222.500000,222.500000,22586
2021-04-14,222.500000,225.000000,222.699997,222.500000,222.500000,8485
2021-04-15,222.500000,221.000000,210.000000,215.000000,215.000000,105041
2021-04-16,215.000000,215.699997,215.000000,215.000000,215.000000,9126
2021-04-19,215.000000,217.000000,210.000000,215.000000,215.000000,37216
2021-04-20,215.000000,215.000000,210.000000,215.000000,215.000000,42394
2021-04-21,215.000000,212.449997,208.000000,211.500000,211.500000,205036
2021-04-22,211.500000,212.449997,210.300003,211.500000,211.500000,19674
2021-04-23,211.500000,210.800003,210.800003,211.500000,211.500000,10948
2021-04-26,211.500000,209.000000,205.000000,208.000000,208.000000,23914
2021-04-27,208.000000,208.000000,204.000000,208.000000,208.000000,108301
2021-04-28,208.000000,212.000000,206.199997,209.000000,209.000000,8840
2021-04-29,209.000000,206.199997,206.199997,209.000000,209.000000,25753
2021-04-30,209.000000,209.500000,205.000000,209.000000,209.000000,23382
2021-05-04,209.000000,212.000000,212.000000,209.000000,209.000000,938
2021-05-05,209.000000,203.000000,203.000000,208.000000,208.000000,2163
2021-05-06,208.000000,203.000000,203.000000,205.000000,205.000000,3566
2021-05-07,205.000000,205.000000,202.000000,205.000000,205.000000,6661
2021-05-10,205.000000,205.000000,200.000000,204.000000,204.000000,92324
2021-05-11,204.000000,200.000000,200.000000,204.000000,204.000000,6150
2021-05-12,204.000000,209.899994,200.000000,205.000000,205.000000,15435
2021-05-13,205.000000,200.000000,200.000000,205.000000,205.000000,50000
2021-05-14,205.000000,209.000000,209.000000,205.000000,205.000000,5371
2021-05-17,205.000000,201.110001,201.110001,205.000000,205.000000,6765
2021-05-18,205.000000,202.000000,200.000000,205.000000,205.000000,10178
2021-05-19,205.000000,208.000000,200.000000,205.000000,205.000000,157696
2021-05-20,205.000000,212.000000,208.449997,210.000000,210.000000,11915
2021-05-21,210.000000,214.899994,205.000000,210.000000,210.000000,29888
2021-05-24,210.000000,206.500000,206.500000,210.000000,210.000000,3650
2021-05-25,210.000000,213.449997,213.449997,210.000000,210.000000,2336
2021-05-26,210.000000,212.500000,212.500000,210.000000,210.000000,132250
2021-05-27,210.000000,212.500000,206.500000,210.000000,210.000000,5525
2021-05-28,210.000000,210.250000,205.000000,208.500000,208.500000,6786
2021-06-01,208.500000,210.250000,210.000000,208.500000,208.500000,34457
2021-06-02,208.500000,206.000000,206.000000,208.500000,208.500000,5000
2021-06-03,208.500000,210.000000,205.000000,208.500000,208.500000,9343
2021-06-04,208.500000,205.000000,205.000000,208.500000,208.500000,403
2021-06-07,208.500000,205.000000,205.000000,208.500000,208.500000,2705
2021-06-08,208.500000,210.000000,205.000000,206.500000,206.500000,11730
2021-06-09,206.500000,206.500000,206.500000,206.500000,206.500000,0
