Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,4.250000,5.000000,3.500000,3.750000,3.750000,9566388
2022-02-08,3.750000,4.000000,3.700000,3.875000,3.875000,5285825
2022-02-09,3.750000,4.000000,3.755000,3.850000,3.850000,2358322
2022-02-10,3.875000,4.200000,3.925000,4.075000,4.075000,6610935
2022-02-11,4.075000,4.030000,3.775000,3.875000,3.875000,2239472
2022-02-14,3.875000,4.000000,3.750000,3.875000,3.875000,1396168
2022-02-15,3.875000,3.999000,3.780000,3.900000,3.900000,3480912
2022-02-16,3.900000,3.970000,3.800000,3.900000,3.900000,237205
2022-02-17,3.900000,4.000000,3.825000,3.900000,3.900000,2041245
2022-02-18,4.000000,4.200000,3.900000,4.000000,4.000000,4686910
2022-02-21,4.000000,4.100000,3.902000,3.950000,3.950000,2381678
2022-02-22,3.900000,4.000000,3.800000,4.000000,4.000000,1731287
2022-02-23,3.825000,4.000000,3.835000,4.000000,4.000000,1788783
2022-02-24,3.800000,3.900000,3.703000,3.800000,3.800000,1021735
2022-02-25,3.800000,3.895000,3.751000,3.895000,3.895000,512286
2022-02-28,3.750000,3.800000,3.655000,3.700000,3.700000,848080
2022-03-01,3.850000,3.925000,3.700000,3.850000,3.850000,561643
2022-03-02,3.850000,3.947000,3.700000,3.947000,3.947000,221167
2022-03-03,3.850000,4.000000,3.700000,3.850000,3.850000,711679
2022-03-04,3.850000,3.849000,3.520000,3.800000,3.800000,1011568
2022-03-07,3.800000,3.849000,3.600000,3.800000,3.800000,1115107
2022-03-08,3.800000,3.825000,3.600000,3.850000,3.850000,1944145
2022-03-09,3.850000,3.815000,3.700000,3.850000,3.850000,1386401
2022-03-10,3.850000,3.800000,3.640000,3.700000,3.700000,1149690
2022-03-11,3.700000,3.800000,3.680000,3.750000,3.750000,562279
2022-03-14,3.750000,3.800000,3.725000,3.750000,3.750000,866831
2022-03-15,3.600000,3.698000,3.391000,3.550000,3.550000,2977231
2022-03-16,3.550000,3.755000,3.500000,3.650000,3.650000,813216
2022-03-17,3.650000,3.800000,3.560000,3.650000,3.650000,494290
2022-03-18,3.650000,3.800000,3.579000,3.650000,3.650000,52406
2022-03-21,3.700000,3.800000,3.600000,3.700000,3.700000,58448
2022-03-22,3.700000,3.900000,3.625000,3.750000,3.750000,2990585
2022-03-23,3.800000,3.900000,3.721000,3.800000,3.800000,341187
2022-03-24,3.850000,3.892000,3.703000,3.850000,3.850000,82364
2022-03-25,3.850000,3.955000,3.710000,3.850000,3.850000,1027910
2022-03-28,3.850000,4.100000,3.800000,3.950000,3.950000,8039120
2022-03-29,4.000000,4.100000,3.855000,3.875000,3.875000,493925
2022-03-30,3.875000,3.998000,3.763000,3.875000,3.875000,519491
2022-03-31,3.875000,4.098000,3.763000,4.000000,4.000000,835604
2022-04-01,4.000000,4.100000,3.910000,4.000000,4.000000,868660
2022-04-04,4.000000,4.248000,3.900000,4.050000,4.050000,1516298
2022-04-05,4.050000,4.166000,3.930000,3.949000,3.949000,190512
2022-04-06,3.925000,4.080000,3.840000,3.850000,3.850000,866204
2022-04-07,3.875000,3.988000,3.820000,3.875000,3.875000,281558
2022-04-08,3.875000,4.200000,3.840000,3.975000,3.975000,1489431
2022-04-11,3.975000,4.180000,3.900000,4.050000,4.050000,771931
