Date,Open,High,Low,Close,Adj Close,Volume
2021-05-13,410.000000,410.000000,310.850006,370.000000,370.000000,62373145
2021-05-14,370.000000,386.750000,358.000000,380.000000,380.000000,5600893
2021-05-17,375.000000,380.299988,362.000000,370.000000,370.000000,6037901
2021-05-18,372.000000,384.700012,335.000000,340.000000,340.000000,7054312
2021-05-19,338.000000,338.000000,322.600006,325.000000,325.000000,3650239
2021-05-20,330.000000,340.000000,315.799988,329.950012,329.950012,1617293
2021-05-21,333.500000,335.579987,322.000000,324.000000,324.000000,1787639
2021-05-24,325.000000,329.730011,318.500000,325.000000,325.000000,1321408
2021-05-25,325.000000,327.500000,310.000000,314.500000,314.500000,1422644
2021-05-26,309.500000,318.829987,287.000000,306.000000,306.000000,2644098
2021-05-27,292.500000,307.000000,292.500000,305.000000,305.000000,311034
2021-05-28,309.000000,315.820007,299.269989,306.500000,306.500000,698941
2021-06-01,311.000000,311.000000,285.500000,287.000000,287.000000,473959
2021-06-02,295.000000,298.500000,288.700012,290.000000,290.000000,469979
2021-06-03,285.500000,308.040009,285.000000,305.500000,305.500000,793024
2021-06-04,300.000000,312.600006,300.000000,304.500000,304.500000,295342
2021-06-07,316.000000,316.000000,302.000000,302.000000,302.000000,170638
2021-06-08,310.000000,320.049988,300.500000,306.000000,306.000000,380931
2021-06-09,307.500000,319.500000,303.000000,315.000000,315.000000,332421
2021-06-10,324.000000,330.429993,304.000000,308.000000,308.000000,450118
2021-06-11,312.000000,326.500000,310.000000,315.000000,315.000000,165023
2021-06-14,326.000000,329.500000,315.523010,319.000000,319.000000,922834
2021-06-15,329.500000,335.959991,322.500000,328.000000,328.000000,3107448
2021-06-16,334.500000,334.500000,316.500000,316.500000,316.500000,643024
2021-06-17,323.000000,343.329987,320.000000,342.000000,342.000000,829004
2021-06-18,344.000000,355.500000,336.670013,337.000000,337.000000,313832
2021-06-21,336.000000,341.000000,314.019989,334.500000,334.500000,771120
2021-06-22,339.000000,354.500000,327.399994,338.000000,338.000000,797671
2021-06-23,345.000000,352.000000,330.500000,330.500000,330.500000,2140936
2021-06-24,335.000000,344.239990,327.600006,332.500000,332.500000,569763
2021-06-25,334.000000,342.000000,330.000000,330.000000,330.000000,487090
2021-06-28,335.000000,341.299988,331.500000,331.500000,331.500000,332489
2021-06-29,331.500000,355.000000,331.500000,352.500000,352.500000,1215795
2021-06-30,335.000000,365.779999,335.000000,360.000000,360.000000,202443
2021-07-01,370.000000,373.200012,264.000000,350.600006,350.600006,561586
2021-07-02,359.000000,361.600006,350.000000,357.399994,357.399994,156928
2021-07-05,356.000000,369.399994,349.339996,355.799988,355.799988,441370
2021-07-06,359.000000,360.399994,351.170013,356.600006,356.600006,938935
2021-07-07,365.000000,383.200012,275.500000,378.399994,378.399994,6156481
2021-07-08,387.399994,390.100006,372.200012,376.000000,376.000000,1134989
2021-07-09,387.000000,388.170013,357.200012,360.000000,360.000000,329039
2021-07-12,360.000000,369.000000,356.000000,356.600006,356.600006,1466615
2021-07-13,356.200012,364.109985,355.000000,359.000000,359.000000,163187
2021-07-14,367.000000,374.463989,354.100006,372.399994,372.399994,170035
2021-07-15,373.000000,405.109985,371.200012,386.399994,386.399994,454368
2021-07-16,404.799988,404.799988,379.200012,395.000000,395.000000,285792
2021-07-19,393.600006,399.380005,369.700012,390.799988,390.799988,453644
2021-07-20,392.000000,399.824005,378.399994,378.399994,378.399994,417667
2021-07-21,390.399994,399.799988,370.190002,381.399994,381.399994,213687
2021-07-22,389.799988,396.579987,372.500000,378.799988,378.799988,132661
2021-07-23,370.000000,389.399994,370.000000,388.399994,388.399994,151132
2021-07-26,397.000000,409.200012,385.799988,400.000000,400.000000,423711
2021-07-27,410.000000,418.799988,392.200012,404.000000,404.000000,698370
2021-07-28,414.200012,430.000000,406.399994,419.200012,419.200012,774329
2021-07-29,429.799988,440.000000,420.200012,432.399994,432.399994,180790
2021-07-30,439.399994,439.399994,407.200012,426.399994,426.399994,173947
2021-08-02,438.399994,439.600006,416.000000,434.399994,434.399994,180514
2021-08-03,435.000000,440.000000,415.670013,432.000000,432.000000,126503
2021-08-04,432.000000,456.320007,425.200012,436.200012,436.200012,425796
2021-08-05,447.000000,453.799988,412.799988,450.000000,450.000000,796880
2021-08-06,430.000000,473.600006,421.700012,451.600006,451.600006,262735
2021-08-09,450.000000,473.230011,423.200012,423.200012,423.200012,460220
2021-08-10,423.200012,445.149994,400.200012,408.799988,408.799988,2528812
2021-08-11,405.000000,419.600006,387.339996,406.000000,406.000000,314077
2021-08-12,406.399994,426.399994,390.256989,400.000000,400.000000,239118
2021-08-13,402.399994,409.600006,370.799988,376.000000,376.000000,425648
2021-08-16,375.000000,408.399994,370.000000,376.000000,376.000000,199443
2021-08-17,370.000000,390.290009,365.549988,371.200012,371.200012,246858
2021-08-18,362.000000,384.799988,350.200012,360.000000,360.000000,180307
2021-08-19,368.799988,368.799988,330.160004,339.000000,339.000000,463909
2021-08-20,331.399994,350.885986,330.799988,340.000000,340.000000,219375
2021-08-23,350.000000,350.000000,331.359985,336.000000,336.000000,243580
2021-08-24,336.000000,349.200012,331.000000,340.000000,340.000000,970587
2021-08-25,350.000000,350.000000,335.000000,340.000000,340.000000,212100
2021-08-26,340.200012,349.220001,332.200012,336.000000,336.000000,745099
2021-08-27,345.000000,349.799988,329.279999,339.000000,339.000000,242857
2021-08-31,328.799988,348.200012,315.200012,316.000000,316.000000,352328
2021-09-01,324.000000,346.359985,312.250000,330.000000,330.000000,546925
2021-09-02,330.000000,358.000000,330.000000,355.000000,355.000000,632996
2021-09-03,356.600006,387.600006,355.459991,378.000000,378.000000,728232
2021-09-06,387.600006,393.200012,361.399994,361.399994,361.399994,977890
