Date,Open,High,Low,Close,Adj Close,Volume
2021-05-28,49.000000,59.000000,45.000000,53.000000,53.000000,2778710
2021-06-01,53.500000,57.410000,53.000000,55.000000,55.000000,979498
2021-06-02,55.000000,54.777000,53.000000,54.500000,54.500000,263687
2021-06-03,54.500000,55.355000,53.000000,54.500000,54.500000,533286
2021-06-04,54.500000,56.000000,53.250000,54.500000,54.500000,79146
2021-06-07,54.500000,55.355000,53.360001,54.000000,54.000000,201121
2021-06-08,54.000000,54.450001,53.000000,54.000000,54.000000,70014
2021-06-09,54.000000,54.400002,50.000000,52.000000,52.000000,149238
2021-06-10,52.000000,54.000000,48.549999,51.000000,51.000000,38162
2021-06-11,51.000000,53.000000,49.000000,50.000000,50.000000,23565
2021-06-14,51.000000,49.000000,47.000000,49.500000,49.500000,69257
2021-06-15,49.500000,49.500000,47.000000,49.500000,49.500000,94799
2021-06-16,49.500000,59.799999,49.500000,54.500000,54.500000,370395
2021-06-17,54.500000,57.750000,52.555000,56.000000,56.000000,536817
2021-06-18,56.000000,58.799999,48.125000,51.500000,51.500000,395724
2021-06-21,51.500000,51.750000,50.000000,51.500000,51.500000,169649
2021-06-22,51.500000,52.000000,47.250000,49.500000,49.500000,72537
2021-06-23,52.500000,57.000000,53.000000,55.000000,55.000000,358496
2021-06-24,55.000000,56.000000,54.750000,54.000000,54.000000,42476
2021-06-25,55.500000,57.250000,54.000000,55.500000,55.500000,126265
2021-06-28,55.500000,58.000000,56.250000,56.500000,56.500000,394933
2021-06-29,56.500000,57.650002,56.509998,56.500000,56.500000,28522
2021-06-30,56.500000,57.650002,56.525002,56.500000,56.500000,108835
2021-07-01,56.500000,57.500000,55.750000,56.500000,56.500000,709325
2021-07-02,56.500000,57.450001,55.750000,56.500000,56.500000,2761
2021-07-05,58.000000,61.799999,57.000000,61.799999,61.799999,481651
2021-07-06,59.500000,62.000000,57.549999,59.500000,59.500000,118500
2021-07-07,59.500000,62.000000,57.250000,59.500000,59.500000,478428
2021-07-08,59.500000,66.500000,58.049999,64.500000,64.500000,376840
2021-07-09,64.500000,66.099998,63.549999,64.500000,64.500000,102526
2021-07-12,64.500000,65.750000,62.000000,63.500000,63.500000,568103
2021-07-13,64.000000,69.699997,63.250000,68.800003,68.800003,1357763
2021-07-14,68.500000,68.300003,65.000000,66.500000,66.500000,263996
2021-07-15,66.500000,67.199997,65.000000,66.500000,66.500000,238063
2021-07-16,66.500000,67.500000,65.699997,66.500000,66.500000,219859
2021-07-19,66.500000,67.375000,60.000000,62.500000,62.500000,182436
2021-07-20,62.500000,65.699997,60.000000,64.000000,64.000000,209273
2021-07-21,64.000000,65.199997,62.400002,64.000000,64.000000,82509
2021-07-22,64.000000,65.750000,62.000000,64.000000,64.000000,78275
2021-07-23,64.000000,65.699997,63.349998,64.000000,64.000000,33560
2021-07-26,64.000000,65.599998,63.750000,64.000000,64.000000,40846
2021-07-27,66.500000,71.500000,64.000000,68.500000,68.500000,247360
2021-07-28,68.500000,69.699997,67.099998,69.500000,69.500000,122729
2021-07-29,69.500000,71.000000,67.556000,69.500000,69.500000,197100
2021-07-30,69.500000,70.500000,68.000000,69.500000,69.500000,60560
2021-08-02,69.500000,73.000000,69.000000,69.500000,69.500000,202014
2021-08-03,69.500000,70.000000,67.099998,68.500000,68.500000,59533
2021-08-04,68.500000,70.000000,67.000000,68.500000,68.500000,45128
2021-08-05,68.500000,70.000000,65.000000,67.500000,67.500000,62410
2021-08-06,67.500000,70.000000,68.250000,67.500000,67.500000,40276
2021-08-09,67.500000,75.000000,68.599998,72.000000,72.000000,256341
2021-08-10,72.000000,77.000000,72.000000,74.500000,74.500000,277666
2021-08-11,74.500000,78.000000,74.000000,77.000000,77.000000,284760
