Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,6.250000,6.500000,5.050000,5.750000,5.750000,11435554
2021-07-20,5.750000,6.980000,5.625000,6.250000,6.250000,10227791
2021-07-21,6.625000,7.870000,6.250000,7.500000,7.500000,16862657
2021-07-22,7.500000,8.440000,7.500000,8.375000,8.375000,11868668
2021-07-23,8.375000,8.500000,6.750000,7.250000,7.250000,8038906
2021-07-26,7.000000,7.250000,6.055000,6.300000,6.300000,2768213
2021-07-27,6.400000,6.500000,6.071000,6.500000,6.500000,6543979
2021-07-28,6.300000,6.500000,6.000000,6.100000,6.100000,1986129
2021-07-29,6.300000,6.940000,6.160000,6.600000,6.600000,2186779
2021-07-30,6.400000,6.750000,6.350000,6.575000,6.575000,2160975
2021-08-02,6.575000,7.000000,6.425000,6.600000,6.600000,3601762
2021-08-03,6.600000,8.000000,6.600000,7.500000,7.500000,7996937
2021-08-04,7.750000,8.700000,7.400000,7.800000,7.800000,5446251
2021-08-05,7.625000,7.890000,7.575000,7.750000,7.750000,2750851
2021-08-06,7.750000,8.000000,7.250000,7.625000,7.625000,803137
2021-08-09,7.650000,9.000000,7.965000,8.250000,8.250000,4883904
2021-08-10,8.250000,8.500000,8.125000,8.250000,8.250000,1015024
2021-08-11,8.250000,8.500000,7.500000,7.650000,7.650000,1486891
2021-08-12,7.600000,7.725000,7.200000,7.500000,7.500000,1933139
2021-08-13,7.750000,8.000000,7.250000,7.300000,7.300000,1200281
2021-08-16,7.425000,8.000000,7.250000,7.850000,7.850000,1792294
2021-08-17,7.850000,10.190000,7.700000,10.000000,10.000000,14075474
2021-08-18,10.250000,10.558000,9.050000,9.450000,9.450000,3845128
2021-08-19,9.625000,10.000000,9.310000,9.500000,9.500000,1937003
2021-08-20,9.500000,10.500000,9.500000,9.650000,9.650000,2543820
2021-08-23,9.650000,9.750000,9.250000,9.250000,9.250000,320340
2021-08-24,9.250000,9.300000,8.850000,9.050000,9.050000,941250
2021-08-25,9.250000,9.400000,8.645000,8.750000,8.750000,1367110
2021-08-26,8.750000,9.250000,8.500000,9.100000,9.100000,757604
2021-08-27,8.875000,9.150000,8.755000,8.875000,8.875000,334082
2021-08-31,8.875000,9.000000,8.500000,8.750000,8.750000,748309
2021-09-01,8.750000,8.720000,8.300000,8.525000,8.525000,861514
2021-09-02,8.525000,8.500000,7.800000,8.125000,8.125000,1012078
2021-09-03,8.125000,8.597000,7.500000,8.125000,8.125000,1546613
2021-09-06,8.125000,8.250000,7.500000,7.850000,7.850000,776590
2021-09-07,7.850000,7.878000,7.720000,7.850000,7.850000,108192
2021-09-08,7.850000,7.875000,7.700000,7.850000,7.850000,420578
2021-09-09,7.850000,8.000000,7.250000,7.625000,7.625000,449162
2021-09-10,7.625000,7.620000,7.300000,7.500000,7.500000,550767
2021-09-13,7.550000,8.000000,7.300000,7.500000,7.500000,1363181
2021-09-14,7.750000,8.177000,7.500000,7.850000,7.850000,2950532
2021-09-15,7.850000,8.300000,7.700000,7.950000,7.950000,1853194
2021-09-16,7.950000,8.000000,7.500000,7.550000,7.550000,2158399
2021-09-17,7.550000,7.690000,7.300000,7.500000,7.500000,1678194
2021-09-20,7.500000,7.900000,7.000000,7.525000,7.525000,1227420
2021-09-21,7.525000,8.000000,7.500000,7.875000,7.875000,1272307
2021-09-22,7.875000,8.370000,7.750000,8.000000,8.000000,1179655
2021-09-23,8.250000,8.250000,7.900000,8.000000,8.000000,1917286
2021-09-24,8.000000,8.190000,7.783000,8.000000,8.000000,1339742
2021-09-27,8.500000,8.750000,7.480000,7.875000,7.875000,1844840
2021-09-28,7.875000,8.250000,7.510000,7.900000,7.900000,1372974
2021-09-29,7.875000,8.250000,7.375000,7.600000,7.600000,557255
2021-09-30,7.425000,7.576000,7.310000,7.425000,7.425000,426793
2021-10-01,7.425000,7.450000,7.000000,7.400000,7.400000,740224
2021-10-04,7.475000,7.575000,7.000000,7.125000,7.125000,2021319
2021-10-05,7.125000,7.500000,7.000000,7.250000,7.250000,231208
2021-10-06,7.250000,7.375000,7.300000,7.250000,7.250000,166214
2021-10-07,7.250000,7.440000,7.150000,7.440000,7.440000,98027
2021-10-08,7.250000,7.500000,7.340000,7.250000,7.250000,223063
2021-10-11,7.250000,7.350000,7.000000,7.250000,7.250000,938225
2021-10-12,7.250000,7.500000,7.150000,7.500000,7.500000,409104
2021-10-13,7.625000,7.900000,7.350000,7.800000,7.800000,476525
2021-10-14,7.625000,7.825000,7.360000,7.625000,7.625000,766425
