Date,Open,High,Low,Close,Adj Close,Volume
2021-08-11,22.500000,29.250000,22.000000,25.500000,25.500000,740014
2021-08-12,25.500000,25.900000,24.000000,24.500000,24.500000,324423
2021-08-13,24.500000,24.875000,22.360001,23.500000,23.500000,351110
2021-08-16,23.500000,23.700001,22.000000,23.500000,23.500000,75459
2021-08-17,23.500000,25.000000,22.000000,24.000000,24.000000,140988
2021-08-18,23.000000,22.500000,21.299999,22.000000,22.000000,52181
2021-08-19,22.000000,22.600000,20.000000,21.000000,21.000000,57079
2021-08-20,21.000000,22.000000,20.000000,22.000000,22.000000,138221
2021-08-23,20.500000,20.000000,19.000000,20.000000,20.000000,124561
2021-08-24,20.000000,20.500000,20.225000,20.000000,20.000000,12826
2021-08-25,20.000000,20.750000,20.000000,20.000000,20.000000,815266
2021-08-26,20.000000,21.000000,20.750000,20.000000,20.000000,189795
2021-08-27,20.000000,20.900000,20.000000,20.500000,20.500000,37493
2021-08-31,20.500000,21.000000,20.049999,20.500000,20.500000,61527
2021-09-01,20.500000,21.000000,19.500000,20.000000,20.000000,82006
2021-09-02,20.000000,20.700001,19.299999,20.000000,20.000000,243923
2021-09-03,20.000000,20.750000,20.600000,20.000000,20.000000,54746
2021-09-06,20.000000,20.740000,20.740000,20.000000,20.000000,617
2021-09-07,20.000000,20.500000,20.500000,20.000000,20.000000,244
2021-09-08,20.000000,20.500000,20.500000,20.000000,20.000000,27500
2021-09-09,20.000000,19.350000,19.350000,20.000000,20.000000,100000
2021-09-10,20.000000,19.799999,18.650000,19.500000,19.500000,39441
2021-09-13,20.100000,20.100000,18.650000,19.500000,19.500000,54083
2021-09-14,19.500000,20.750000,20.000000,20.000000,20.000000,101489
2021-09-15,20.000000,20.000000,20.000000,20.000000,20.000000,10000
2021-09-16,20.000000,20.000000,19.350000,20.000000,20.000000,88500
2021-09-17,20.000000,19.750000,19.000000,20.000000,20.000000,175500
2021-09-20,20.000000,21.000000,17.500000,18.000000,18.000000,86346
2021-09-21,18.000000,17.500000,17.500000,18.000000,18.000000,34797
2021-09-22,18.500000,19.500000,18.100000,19.000000,19.000000,592894
2021-09-23,19.000000,19.375000,18.250000,19.000000,19.000000,10824
2021-09-24,19.000000,19.250000,18.500000,19.000000,19.000000,264733
2021-09-27,19.500000,19.350000,19.350000,19.500000,19.500000,34817
2021-09-28,19.500000,19.500000,19.500000,19.500000,19.500000,0
2021-09-29,19.500000,19.350000,19.350000,19.500000,19.500000,1524
2021-09-30,19.500000,18.100000,18.100000,19.500000,19.500000,77518
2021-10-01,19.500000,20.000000,18.000000,19.000000,19.000000,261424
2021-10-04,19.000000,18.000000,18.000000,19.000000,19.000000,58911
