Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,310.000000,338.700012,272.000000,332.000000,324.213196,15023677
2020-12-14,344.950012,350.570007,333.619995,337.000000,329.095917,3335299
2020-12-15,335.000000,344.649994,329.950012,339.149994,331.195465,1374604
2020-12-16,332.049988,362.201996,330.000000,340.000000,332.025543,160128
2020-12-17,348.799988,358.799988,340.000000,358.799988,350.384583,2684841
2020-12-18,364.600006,364.600006,342.000000,342.000000,333.978607,1494574
2020-12-21,346.000000,363.980011,335.000000,348.000000,339.837891,4881553
2020-12-22,350.000000,350.000000,335.200012,344.000000,335.931732,402241
2020-12-23,340.000000,346.839996,340.000000,340.000000,332.025543,429349
2020-12-24,349.799988,349.799988,339.929993,340.000000,332.025543,164630
2020-12-29,349.799988,349.799988,336.600006,340.000000,332.025543,637367
2020-12-30,342.200012,346.059998,314.399994,337.000000,329.095917,1555263
2020-12-31,338.000000,346.670013,333.600006,335.000000,327.142792,647361
2021-01-04,338.000000,339.399994,334.000000,335.000000,327.142792,2309582
2021-01-05,332.000000,337.000000,324.000000,330.000000,322.260101,1639769
2021-01-06,329.000000,341.799988,329.000000,332.000000,324.213196,737255
2021-01-07,340.000000,340.000000,328.399994,333.000000,325.189728,3687943
2021-01-08,336.600006,349.799988,333.399994,340.000000,332.025543,1041779
2021-01-11,346.000000,346.660004,335.000000,338.000000,330.072449,1886587
2021-01-12,340.000000,340.000000,335.200012,338.000000,330.072449,838151
2021-01-13,339.000000,339.799988,334.399994,335.000000,327.142792,3132787
2021-01-14,334.399994,339.000000,330.000000,336.000000,328.119354,1178493
2021-01-15,336.000000,338.000000,332.399994,335.399994,327.533417,867557
2021-01-18,335.200012,356.170013,335.000000,347.399994,339.251953,1167334
2021-01-19,348.000000,358.809998,347.399994,350.000000,341.791016,1284818
2021-01-20,349.000000,354.000000,346.000000,354.000000,345.697174,1022761
2021-01-21,354.799988,360.000000,348.399994,355.000000,346.673706,2736844
2021-01-22,366.000000,366.000000,350.200012,350.600006,342.376953,643157
2021-01-25,366.000000,366.000000,351.799988,352.000000,343.744080,572743
2021-01-26,354.799988,359.000000,351.274994,356.799988,348.431519,639815
2021-01-27,365.000000,365.000000,348.125000,348.200012,340.033203,1873172
2021-01-28,350.000000,355.600006,346.980011,355.600006,347.259674,889416
2021-01-29,355.600006,362.701996,349.600006,360.000000,351.556458,380334
2021-02-01,366.000000,366.000000,353.799988,355.600006,347.259674,700426
2021-02-02,360.000000,362.000000,358.760010,360.600006,352.142395,191344
2021-02-03,362.000000,378.000000,361.799988,374.399994,365.618713,570201
2021-02-04,386.000000,386.000000,369.600006,373.000000,364.251556,685851
2021-02-05,377.799988,378.000000,362.600006,369.600006,360.931335,258874
2021-02-08,382.799988,382.799988,366.000000,380.000000,371.087372,359913
2021-02-09,388.799988,395.000000,376.000000,390.000000,380.852814,1272666
2021-02-10,392.000000,398.399994,389.200012,395.000000,385.735565,1026899
2021-02-11,394.000000,399.799988,388.000000,391.399994,382.219971,305501
2021-02-12,386.399994,404.000000,386.399994,401.600006,392.180786,1146630
2021-02-15,410.000000,419.000000,401.399994,417.200012,407.414886,778809
2021-02-16,425.000000,435.600006,411.000000,411.000000,401.360291,1280510
2021-02-17,410.399994,415.230011,395.799988,398.799988,389.446411,629586
2021-02-18,416.600006,416.600006,390.000000,395.000000,385.735565,877489
2021-02-19,394.000000,428.600006,394.000000,424.799988,414.836609,764184
2021-02-22,438.600006,443.600006,422.200012,427.600006,417.570984,913956
2021-02-23,408.000000,441.600006,408.000000,423.000000,413.078857,601283
2021-02-24,443.000000,446.429993,410.600006,417.200012,407.414886,767528
2021-02-25,432.000000,432.000000,407.399994,410.600006,400.969696,397933
2021-02-26,414.200012,420.200012,396.290009,418.600006,408.782043,1522916
2021-03-01,430.600006,430.600006,409.000000,410.000000,400.383759,492366
2021-03-02,405.000000,425.000000,400.000000,407.000000,397.454102,466599
2021-03-03,421.000000,421.000000,403.600006,405.000000,395.501007,488188
2021-03-04,419.000000,421.200012,393.000000,395.000000,385.735565,1096454
2021-03-05,394.399994,395.440002,388.399994,390.000000,380.852814,1561789
2021-03-08,384.799988,392.269989,383.600006,384.000000,374.993591,752047
2021-03-09,384.200012,396.000000,379.049988,390.000000,380.852814,601504
2021-03-10,390.799988,391.200012,382.399994,387.200012,378.118500,791881
2021-03-11,371.799988,406.200012,371.799988,402.000000,392.571381,1018757
2021-03-12,402.200012,415.359985,395.200012,402.000000,392.571381,234008
2021-03-15,416.000000,419.200012,395.200012,397.000000,387.688660,237657
2021-03-16,411.000000,425.799988,402.000000,414.200012,404.485260,489050
2021-03-17,420.000000,431.730011,407.399994,408.000000,398.430664,3436650
2021-03-18,412.000000,416.399994,406.799988,415.000000,405.266479,1130241
2021-03-19,411.000000,416.290009,404.600006,414.799988,405.071167,16026161
2021-03-22,408.600006,443.200012,408.600006,440.000000,429.680084,774406
2021-03-23,459.000000,459.000000,419.799988,428.200012,418.156921,656386
2021-03-24,424.399994,425.200012,418.600006,420.399994,410.539795,694562
2021-03-25,427.600006,430.600006,409.799988,415.799988,406.047699,681823
2021-03-26,411.799988,424.000000,408.399994,412.000000,402.336823,447741
2021-03-29,414.000000,424.000000,407.000000,410.000000,400.383759,214086
2021-03-30,414.000000,414.799988,393.799988,400.799988,391.399506,408656
2021-03-31,402.000000,403.399994,394.000000,399.399994,390.032349,556417
2021-04-01,400.399994,401.079987,394.000000,399.600006,390.227661,308057
2021-04-06,406.000000,406.600006,393.799988,404.000000,394.524475,464396
2021-04-07,390.399994,429.200012,390.399994,427.399994,417.375671,784869
2021-04-08,424.799988,447.399994,419.600006,447.399994,436.906555,488072
2021-04-09,467.799988,467.799988,439.200012,457.399994,446.671997,296125
2021-04-12,470.000000,470.000000,445.799988,447.799988,437.297150,385747
2021-04-13,426.000000,451.200012,426.000000,449.600006,439.054962,284547
2021-04-14,450.000000,465.000000,448.399994,453.200012,442.570526,261437
2021-04-15,462.000000,468.000000,452.839996,468.000000,457.023407,172587
2021-04-16,468.000000,474.600006,458.200012,471.000000,459.953033,241496
2021-04-19,479.000000,485.399994,471.000000,485.399994,474.015289,383614
2021-04-20,505.500000,505.500000,476.799988,486.399994,474.991852,1476410
2021-04-21,489.799988,500.580994,480.799988,498.000000,486.319763,414084
2021-04-22,473.399994,506.869995,473.399994,497.000000,485.343201,968702
2021-04-23,487.399994,507.000000,476.399994,504.500000,492.667328,629403
2021-04-26,520.000000,520.000000,495.000000,505.000000,493.155579,4430619
2021-04-27,510.000000,516.000000,500.750000,501.500000,489.737671,408231
