Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,530.000000,534.900024,500.000000,510.000000,427.306519,1365439
2020-12-03,515.000000,521.020020,500.000000,506.399994,424.290192,1753797
2020-12-04,511.100006,517.625000,500.100006,507.500000,425.211884,406752
2020-12-07,506.000000,514.130005,506.000000,506.000000,423.955078,21566
2020-12-08,513.299988,513.299988,506.000000,510.799988,427.976807,185633
2020-12-09,519.599976,519.599976,507.000000,508.000000,425.630798,22175
2020-12-10,510.000000,510.000000,500.000000,500.000000,418.927948,139149
2020-12-11,505.000000,509.500000,500.000000,500.000000,418.927948,36458
2020-12-14,502.000000,510.000000,495.000000,500.000000,418.927948,476651
2020-12-15,500.000000,512.200012,497.000000,498.000000,417.252258,96534
2020-12-16,501.000000,504.899994,495.000000,499.500000,418.509033,61103
2020-12-17,500.000000,502.575989,496.000000,496.000000,415.576538,52886
2020-12-18,499.000000,500.000000,492.000000,493.200012,413.230530,86276
2020-12-21,490.000000,499.200012,486.000000,489.000000,409.711578,187207
2020-12-22,495.000000,500.000000,490.000000,490.200012,410.716980,41152
2020-12-23,495.000000,497.600006,494.519989,495.000000,414.738708,10124
2020-12-24,500.000000,500.000000,493.000000,499.000000,418.090088,7104
2020-12-29,496.000000,504.500000,494.000000,504.000000,422.279388,47273
2020-12-30,502.500000,509.500000,499.000000,508.000000,425.630798,132637
2020-12-31,503.450012,503.450012,503.450012,503.450012,421.818573,0
2021-01-04,500.500000,509.500000,498.000000,505.000000,423.117249,26844
2021-01-05,515.000000,515.000000,499.000000,505.000000,423.117249,81557
2021-01-06,500.000000,510.000000,500.000000,504.000000,422.279388,294839
2021-01-07,510.000000,510.000000,495.000000,498.000000,417.252258,341559
2021-01-08,500.000000,502.100006,497.000000,501.000000,419.765808,191357
2021-01-11,498.000000,511.859985,498.000000,500.500000,419.346893,43652
2021-01-12,503.000000,503.000000,498.000000,500.000000,418.927948,288953
2021-01-13,498.000000,509.500000,495.000000,496.000000,415.576538,127475
2021-01-14,505.000000,510.000000,499.239990,502.500000,421.022614,220577
2021-01-15,502.000000,504.692993,495.000000,500.000000,418.927948,71955
2021-01-18,502.000000,506.079987,499.200012,499.200012,418.257660,52905
2021-01-19,500.000000,500.500000,496.000000,500.000000,418.927948,84500
2021-01-20,500.000000,500.000000,494.000000,499.000000,418.090088,840755
2021-01-21,500.000000,500.000000,497.000000,498.000000,417.252258,409473
2021-01-22,500.000000,500.000000,497.000000,498.500000,417.671173,628690
2021-01-25,498.000000,500.000000,493.000000,493.000000,413.062958,56733
2021-01-26,495.000000,499.500000,493.500000,494.000000,413.900818,35178
2021-01-27,495.000000,499.500000,493.000000,499.000000,418.090088,40499
2021-01-28,492.000000,500.000000,485.000000,490.000000,410.549408,133658
2021-01-29,490.000000,492.500000,488.000000,490.000000,410.549408,35267
2021-02-01,490.000000,504.000000,488.000000,497.000000,416.414398,129160
2021-02-02,500.000000,500.000000,491.500000,495.000000,414.738708,144970
2021-02-03,495.000000,495.000000,490.000000,494.500000,414.319763,373039
2021-02-04,495.000000,505.000000,495.000000,501.000000,419.765808,456414
2021-02-05,500.000000,506.250000,498.500000,498.500000,417.671173,133370
2021-02-08,500.000000,508.000000,500.000000,508.000000,425.630798,1121059
2021-02-09,506.000000,513.000000,500.000000,508.000000,425.630798,354335
2021-02-10,510.000000,510.000000,501.000000,506.000000,423.955078,61129
2021-02-11,508.000000,510.000000,505.000000,509.000000,426.468658,133947
2021-02-12,505.000000,515.000000,505.000000,513.000000,429.820099,53622
2021-02-15,515.000000,517.340027,506.000000,515.000000,431.495789,114139
2021-02-16,518.000000,551.000000,515.000000,531.000000,444.901489,74725
2021-02-17,530.000000,535.000000,521.000000,526.000000,440.712219,61400
2021-02-18,520.000000,528.000000,520.000000,520.000000,435.685089,109990
2021-02-19,520.000000,528.000000,515.000000,528.000000,442.387909,75509
2021-02-22,525.000000,534.000000,520.000000,528.000000,442.387909,65586
2021-02-23,539.000000,540.000000,526.000000,530.000000,444.063629,139432
2021-02-24,531.000000,548.000000,529.000000,541.000000,453.280060,447343
2021-02-25,548.000000,559.000000,542.000000,549.000000,459.982880,448477
2021-02-26,548.000000,548.000000,532.000000,532.000000,445.739349,620545
2021-03-01,535.000000,547.000000,535.000000,539.000000,451.604309,63183
2021-03-02,535.000000,545.000000,535.000000,540.000000,452.442200,100105
2021-03-03,539.000000,550.000000,531.000000,537.000000,449.928619,95544
2021-03-04,535.000000,540.000000,533.000000,537.000000,449.928619,65249
2021-03-05,539.000000,549.000000,536.000000,538.000000,450.766479,264890
2021-03-08,540.000000,549.000000,537.000000,538.000000,450.766479,258811
2021-03-09,541.000000,542.000000,534.000000,540.000000,452.442200,94592
2021-03-10,541.000000,549.000000,536.000000,537.000000,449.928619,721080
2021-03-11,535.000000,546.380005,535.000000,544.000000,455.793610,98630
2021-03-12,538.000000,545.000000,531.000000,544.000000,455.793610,52227
2021-03-15,545.000000,545.000000,536.000000,540.000000,452.442200,70961
2021-03-16,545.000000,549.000000,537.000000,543.000000,454.955750,67241
2021-03-17,545.000000,545.000000,530.000000,535.000000,448.252899,99907
2021-03-18,534.000000,542.000000,522.000000,530.000000,444.063629,150358
2021-03-19,525.000000,537.750000,509.000000,520.000000,435.685089,72721
2021-03-22,515.000000,539.000000,515.000000,523.000000,438.198639,48238
2021-03-23,520.000000,522.000000,513.000000,519.000000,434.847229,76085
2021-03-24,515.000000,521.000000,507.000000,519.000000,434.847229,110982
2021-03-25,519.000000,527.000000,510.000000,520.000000,435.685089,308468
2021-03-26,518.000000,528.000000,518.000000,521.000000,436.522919,38742
2021-03-29,520.000000,526.000000,514.000000,520.000000,435.685089,45173
2021-03-30,520.000000,521.500000,513.000000,516.000000,432.333649,105497
2021-03-31,516.000000,521.000000,515.000000,515.000000,431.495789,28728
2021-04-01,516.000000,521.794983,513.000000,514.000000,430.657928,83871
2021-04-06,519.000000,530.000000,518.481018,523.000000,438.198639,122078
2021-04-07,524.000000,527.872986,518.000000,523.000000,438.198639,160698
2021-04-08,526.000000,528.872986,520.000000,524.000000,439.036499,43786
2021-04-09,522.000000,532.000000,521.000000,523.000000,438.198639,33746
2021-04-12,519.000000,528.471008,519.000000,523.000000,438.198639,107510
2021-04-13,524.000000,527.000000,521.000000,526.000000,440.712219,67853
2021-04-14,525.000000,536.463013,524.984985,534.000000,447.415070,96139
2021-04-15,529.000000,547.000000,529.000000,533.000000,446.577179,208411
2021-04-16,532.000000,538.750000,532.000000,536.000000,449.090729,48277
2021-04-19,535.000000,539.500000,528.000000,532.000000,445.739349,176941
2021-04-20,534.000000,534.000000,516.000000,522.000000,437.360779,67587
2021-04-21,516.000000,524.242981,514.000000,516.000000,432.333649,65501
2021-04-22,515.000000,524.250000,515.000000,521.000000,436.522919,57756
2021-04-23,521.000000,535.799988,518.000000,524.000000,439.036499,97274
2021-04-26,526.000000,533.919983,518.500000,533.000000,446.577179,57533
2021-04-27,523.000000,535.000000,522.000000,529.000000,443.225769,72617
2021-04-28,530.000000,539.000000,530.000000,530.000000,444.063629,112893
2021-04-29,536.000000,540.000000,534.000000,535.000000,448.252899,115216
2021-04-30,530.000000,544.000000,530.000000,538.000000,450.766479,66022
2021-05-04,544.000000,545.000000,534.820007,540.000000,452.442200,43126
2021-05-05,535.000000,568.000000,535.000000,550.000000,460.820740,92342
2021-05-06,558.000000,558.000000,548.000000,550.000000,460.820740,138463
2021-05-07,546.000000,561.000000,545.000000,546.000000,457.469330,63814
2021-05-10,547.000000,562.052979,541.000000,543.000000,454.955750,60904
2021-05-11,549.000000,549.000000,537.000000,540.000000,452.442200,67446
2021-05-12,545.000000,550.960022,536.000000,540.000000,452.442200,118951
2021-05-13,536.000000,552.437988,520.000000,528.000000,442.387909,104512
2021-05-14,535.000000,540.250000,528.000000,534.000000,447.415070,165429
