Date,Open,High,Low,Close,Adj Close,Volume
2021-02-16,9.750000,13.000000,8.550000,10.000000,10.000000,27019244
2021-02-17,10.000000,10.700000,9.250000,10.300000,10.300000,36600922
2021-02-18,9.750000,10.500000,9.375000,9.700000,9.700000,8708420
2021-02-19,9.750000,10.850000,9.675000,10.400000,10.400000,18184697
2021-02-22,10.700000,11.000000,9.556000,10.000000,10.000000,3116815
2021-02-23,10.250000,10.250000,9.500000,9.700000,9.700000,3178807
2021-02-24,9.750000,9.790000,9.000000,9.350000,9.350000,3662180
2021-02-25,9.625000,9.900000,9.125000,9.500000,9.500000,2408251
2021-02-26,9.125000,9.250000,8.770000,8.950000,8.950000,5116595
2021-03-01,8.875000,9.099000,8.500000,8.625000,8.625000,2362254
2021-03-02,8.625000,8.800000,8.160000,8.450000,8.450000,2386806
2021-03-03,8.500000,8.950000,8.250000,8.400000,8.400000,3062050
2021-03-04,8.400000,8.390000,8.000000,8.250000,8.250000,1228081
2021-03-05,8.125000,8.500000,7.700000,8.000000,8.000000,2204997
2021-03-08,8.250000,8.740000,8.000000,8.450000,8.450000,1424416
2021-03-09,8.500000,9.000000,8.250000,9.000000,9.000000,1111373
2021-03-10,8.750000,9.250000,8.350000,8.950000,8.950000,1070733
2021-03-11,8.750000,9.000000,8.500000,8.950000,8.950000,2276094
2021-03-12,8.625000,8.750000,8.119000,8.500000,8.500000,1727367
2021-03-15,8.375000,9.000000,8.300000,9.000000,9.000000,1766508
2021-03-16,8.625000,9.450000,8.500000,8.625000,8.625000,993486
2021-03-17,8.625000,8.660000,8.500000,8.625000,8.625000,1081940
2021-03-18,8.625000,8.750000,8.500000,8.625000,8.625000,724128
2021-03-19,8.625000,9.000000,8.000000,8.500000,8.500000,856784
2021-03-22,8.375000,8.750000,8.250000,8.750000,8.750000,1032943
2021-03-23,8.500000,8.750000,8.300000,8.400000,8.400000,535806
2021-03-24,8.875000,9.000000,8.250000,8.500000,8.500000,1276528
2021-03-25,8.375000,8.400000,8.050000,8.150000,8.150000,682127
2021-03-26,8.250000,8.500000,8.050000,8.250000,8.250000,1091641
2021-03-29,8.125000,8.390000,8.050000,8.125000,8.125000,1030519
2021-03-30,8.250000,8.500000,8.200000,8.500000,8.500000,301316
2021-03-31,8.250000,8.500000,8.050000,8.125000,8.125000,1635431
2021-04-01,8.250000,8.510000,8.185000,8.510000,8.510000,1461490
2021-04-06,8.250000,8.500000,8.230000,8.500000,8.500000,2961547
2021-04-07,8.375000,9.000000,8.255000,8.400000,8.400000,2045928
2021-04-08,8.375000,8.500000,8.250000,8.250000,8.250000,3405924
2021-04-09,8.250000,8.550000,8.200000,8.550000,8.550000,5880749
2021-04-12,8.375000,9.000000,8.300000,8.750000,8.750000,3113282
2021-04-13,8.625000,9.000000,8.500000,9.000000,9.000000,1821946
2021-04-14,8.750000,9.250000,8.900000,9.150000,9.150000,1003238
2021-04-15,9.125000,9.250000,9.100000,9.150000,9.150000,2606296
2021-04-16,9.125000,10.000000,9.100000,9.700000,9.700000,3109111
2021-04-19,9.625000,9.750000,9.250000,9.700000,9.700000,1484871
2021-04-20,9.500000,9.750000,9.000000,9.500000,9.500000,736067
2021-04-21,9.125000,9.250000,9.000000,9.000000,9.000000,647281
2021-04-22,9.125000,9.500000,9.000000,9.125000,9.125000,634020
2021-04-23,9.125000,9.250000,8.800000,9.025000,9.025000,845588
2021-04-26,8.900000,9.250000,8.800000,9.025000,9.025000,766685
2021-04-27,9.025000,9.250000,8.918000,9.000000,9.000000,901221
2021-04-28,9.125000,9.250000,8.800000,9.025000,9.025000,795801
2021-04-29,9.125000,9.500000,9.000000,9.500000,9.500000,930494
2021-04-30,9.375000,9.750000,9.255000,9.600000,9.600000,1063161
2021-05-04,9.625000,10.500000,9.500000,9.975000,9.975000,4675932
2021-05-05,9.975000,10.400000,9.904000,10.400000,10.400000,4106543
2021-05-06,10.350000,10.400000,10.000000,10.400000,10.400000,3031317
2021-05-07,10.150000,11.000000,10.000000,10.800000,10.800000,4025711
2021-05-10,10.750000,11.600000,10.650000,11.600000,11.600000,6310127
2021-05-11,11.400000,13.500000,11.400000,13.000000,13.000000,6956982
2021-05-12,12.400000,13.700000,12.300000,13.500000,13.500000,4205581
2021-05-13,13.200000,13.600000,12.500000,13.000000,13.000000,2626534
2021-05-14,13.100000,14.300000,13.115000,14.300000,14.300000,3622694
2021-05-17,14.150000,16.000000,14.003000,14.900000,14.900000,7519036
2021-05-18,14.800000,15.260000,13.725000,13.900000,13.900000,3052263
2021-05-19,13.850000,14.000000,13.000000,14.000000,14.000000,2625687
2021-05-20,13.000000,13.500000,12.800000,13.450000,13.450000,1392502
2021-05-21,13.450000,13.500000,13.000000,13.400000,13.400000,1876519
2021-05-24,13.400000,13.500000,11.900000,11.900000,11.900000,2214230
2021-05-25,12.100000,12.700000,12.000000,12.700000,12.700000,1238468
2021-05-26,12.700000,13.000000,12.525000,13.000000,13.000000,607732
2021-05-27,12.850000,13.000000,12.720000,12.900000,12.900000,822002
2021-05-28,12.900000,13.200000,12.810000,13.200000,13.200000,1088587
2021-06-01,13.100000,14.500000,13.175000,14.500000,14.500000,1889710
2021-06-02,14.250000,15.000000,14.250000,14.900000,14.900000,1636273
2021-06-03,14.650000,15.000000,14.300000,14.550000,14.550000,1075505
2021-06-04,14.550000,14.800000,14.300000,14.500000,14.500000,654634
2021-06-07,14.500000,15.500000,14.400000,15.050000,15.050000,1963403
2021-06-08,14.950000,15.000000,14.000000,14.750000,14.750000,1051282
2021-06-09,15.000000,25.350000,14.500000,15.500000,15.500000,4311042
2021-06-10,15.350000,16.400000,15.242000,16.200001,16.200001,3755509
2021-06-11,16.250000,17.500000,16.000000,16.799999,16.799999,6259366
2021-06-14,16.750000,17.000000,16.000000,16.200001,16.200001,2442545
2021-06-15,16.100000,16.500000,16.000000,16.250000,16.250000,1783190
2021-06-16,16.250000,16.500000,14.500000,14.800000,14.800000,2121039
2021-06-17,14.750000,15.000000,14.060000,14.260000,14.260000,1415459
2021-06-18,14.750000,15.000000,14.200000,14.400000,14.400000,1025759
2021-06-21,14.350000,14.500000,13.500000,13.520000,13.520000,1866348
2021-06-22,13.750000,15.000000,13.500000,14.500000,14.500000,2330375
2021-06-23,14.750000,15.500000,14.500000,14.900000,14.900000,797288
2021-06-24,14.750000,14.950000,14.500000,14.700000,14.700000,650087
2021-06-25,14.600000,14.700000,13.960000,14.600000,14.600000,538726
2021-06-28,14.600000,14.700000,13.860000,14.500000,14.500000,771993
2021-06-29,14.250000,14.455000,14.000000,14.150000,14.150000,580230
2021-06-30,14.150000,14.300000,13.650000,14.000000,14.000000,1268412
2021-07-01,13.950000,14.100000,13.398000,13.800000,13.800000,1784098
2021-07-02,13.650000,14.200000,13.500000,14.000000,14.000000,1855680
2021-07-05,13.950000,14.500000,13.855000,14.250000,14.250000,2658402
2021-07-06,14.500000,14.800000,14.320000,14.600000,14.600000,4420581
2021-07-07,14.550000,15.400000,14.400000,14.980000,14.980000,3891147
2021-07-08,14.850000,15.200000,14.700000,14.980000,14.980000,2408911
2021-07-09,14.950000,15.200000,14.600000,15.000000,15.000000,1385666
2021-07-12,14.900000,15.200000,14.915000,15.200000,15.200000,1017434
2021-07-13,14.900000,15.200000,14.750000,15.200000,15.200000,439633
2021-07-14,14.900000,15.200000,14.500000,14.850000,14.850000,790055
2021-07-15,14.750000,15.000000,14.400000,14.550000,14.550000,1025341
2021-07-16,14.550000,14.660000,14.050000,14.400000,14.400000,1246674
2021-07-19,14.300000,14.400000,13.000000,13.200000,13.200000,998739
2021-07-20,13.200000,13.245000,12.200000,12.900000,12.900000,1251798
2021-07-21,12.900000,14.000000,12.900000,13.300000,13.300000,962992
2021-07-22,13.650000,13.900000,13.300000,13.650000,13.650000,471986
2021-07-23,13.650000,14.200000,13.350000,13.850000,13.850000,870552
2021-07-26,13.750000,14.400000,13.880000,14.250000,14.250000,513394
2021-07-27,14.250000,15.000000,14.300000,14.500000,14.500000,1169433
2021-07-28,14.750000,15.000000,14.120000,15.000000,15.000000,733747
2021-07-29,14.750000,15.000000,14.500000,14.980000,14.980000,730403
2021-07-30,14.800000,15.500000,14.500000,15.200000,15.200000,611925
2021-08-02,15.100000,15.568000,14.975000,15.500000,15.500000,823099
2021-08-03,15.150000,15.375000,14.912000,15.150000,15.150000,635922
2021-08-04,15.150000,15.500000,14.800000,15.250000,15.250000,1121584
2021-08-05,15.000000,15.200000,14.500000,14.750000,14.750000,720792
2021-08-06,14.750000,15.000000,14.570000,14.700000,14.700000,484132
2021-08-09,14.750000,15.000000,14.000000,14.650000,14.650000,578713
2021-08-10,14.650000,15.000000,14.300000,14.550000,14.550000,334626
2021-08-11,14.550000,14.940000,14.000000,14.200000,14.200000,409569
2021-08-12,14.350000,14.500000,14.200000,14.300000,14.300000,652658
2021-08-13,14.350000,14.470000,14.275000,14.350000,14.350000,331033
2021-08-16,14.350000,14.500000,14.000000,14.250000,14.250000,466548
2021-08-17,14.250000,14.500000,14.000000,14.500000,14.500000,184460
2021-08-18,14.250000,14.500000,14.085000,14.750000,14.750000,787879
2021-08-19,14.650000,15.000000,13.500000,13.900000,13.900000,656728
2021-08-20,13.750000,14.200000,13.500000,14.000000,14.000000,504349
2021-08-23,14.000000,14.125000,13.500000,14.000000,14.000000,254912
2021-08-24,13.750000,14.000000,13.520000,13.750000,13.750000,315462
2021-08-25,13.750000,14.000000,13.560000,13.800000,13.800000,172350
2021-08-26,13.750000,13.800000,13.500000,13.800000,13.800000,466877
2021-08-27,13.750000,13.925000,13.520000,13.520000,13.520000,268039
2021-08-31,13.750000,13.950000,11.502000,11.900000,11.900000,4041513
2021-09-01,11.600000,12.500000,11.500000,12.050000,12.050000,3358724
2021-09-02,11.950000,12.200000,11.600000,11.900000,11.900000,991470
2021-09-03,11.750000,12.500000,11.600000,12.000000,12.000000,602254
2021-09-06,11.800000,12.000000,11.150000,11.300000,11.300000,1487482
2021-09-07,11.800000,11.900000,11.300000,11.650000,11.650000,812261
2021-09-08,11.650000,11.800000,11.340000,11.700000,11.700000,253855
2021-09-09,11.700000,12.000000,11.500000,11.600000,11.600000,880135
2021-09-10,11.650000,11.840000,11.500000,11.550000,11.550000,260219
2021-09-13,11.550000,11.645000,11.300000,11.650000,11.650000,584139
2021-09-14,11.650000,11.800000,11.300000,11.800000,11.800000,453929
2021-09-15,11.550000,11.800000,11.400000,11.750000,11.750000,297918
2021-09-16,11.750000,12.200000,11.500000,12.200000,12.200000,276644
2021-09-17,11.750000,11.800000,11.330000,11.650000,11.650000,340752
2021-09-20,11.650000,12.000000,10.500000,11.000000,11.000000,1399825
2021-09-21,10.550000,10.900000,10.200000,10.700000,10.700000,2216113
2021-09-22,10.400000,11.000000,10.200000,11.000000,11.000000,1098680
2021-09-23,10.650000,11.800000,10.520000,11.550000,11.550000,1450728
2021-09-24,11.650000,13.000000,11.550000,13.000000,13.000000,1815486
2021-09-27,12.900000,13.800000,12.800000,12.900000,12.900000,1310776
2021-09-28,12.750000,12.825000,12.000000,12.500000,12.500000,784822
2021-09-29,12.250000,13.000000,12.000000,12.500000,12.500000,362220
2021-09-30,12.500000,13.250000,12.000000,12.800000,12.800000,417139
2021-10-01,12.800000,13.000000,12.500000,12.750000,12.750000,229655
2021-10-04,12.750000,13.020000,12.500000,13.020000,13.020000,407738
2021-10-05,12.650000,13.000000,12.500000,12.850000,12.850000,457025
2021-10-06,12.850000,12.900000,12.500000,12.450000,12.450000,433808
2021-10-07,12.400000,12.700000,12.165000,12.200000,12.200000,302637
2021-10-08,12.250000,12.600000,12.175000,12.600000,12.600000,129802
2021-10-11,12.250000,12.500000,11.900000,11.900000,11.900000,2030486
2021-10-12,11.900000,12.600000,11.800000,12.550000,12.550000,2388578
2021-10-13,12.550000,13.500000,12.500000,13.500000,13.500000,258003
2021-10-14,13.250000,13.840000,13.075000,13.840000,13.840000,400919
2021-10-15,14.000000,15.750000,13.000000,15.380000,15.380000,2771409
2021-10-18,15.250000,16.000000,15.000000,15.800000,15.800000,1485067
2021-10-19,15.750000,16.200001,15.500000,15.780000,15.780000,1076150
2021-10-20,15.750000,15.850000,15.000000,15.500000,15.500000,911612
2021-10-21,15.250000,15.500000,15.000000,15.150000,15.150000,721869
2021-10-22,15.150000,15.300000,14.500000,14.600000,14.600000,560637
2021-10-25,14.600000,14.800000,14.510000,14.800000,14.800000,400807
2021-10-26,14.600000,15.000000,14.500000,15.000000,15.000000,405519
