Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,4.400000,4.400000,4.000000,4.250000,4.250000,4034616
2018-08-03,4.150000,4.220000,3.850000,4.125000,4.125000,1320351
2018-08-06,4.173000,4.173000,4.000000,4.125000,4.125000,727324
2018-08-07,4.150000,5.100000,4.150000,4.375000,4.375000,687708
2018-08-08,4.680000,5.625000,4.680000,5.375000,5.375000,6029697
2018-08-09,5.250000,5.450000,4.500000,4.875000,4.875000,4312216
2018-08-10,4.550000,4.875000,4.250000,4.375000,4.375000,1125561
2018-08-13,4.423000,5.250000,5.250000,5.125000,5.125000,8098453
2018-08-14,5.200000,5.500000,5.000000,5.125000,5.125000,3652176
2018-08-15,5.190000,5.190000,4.650000,4.875000,4.875000,2651448
2018-08-16,5.080000,4.800000,4.800000,4.800000,4.800000,1594108
2018-08-17,4.990000,4.990000,4.710000,4.875000,4.875000,1081289
2018-08-20,4.990000,5.090000,4.575000,4.750000,4.750000,1456069
2018-08-21,4.800000,4.800000,4.789000,4.750000,4.750000,105007
2018-08-22,4.600000,4.900000,4.550000,4.750000,4.750000,227726
2018-08-23,4.850000,4.850000,4.580000,4.750000,4.750000,262153
2018-08-24,4.600000,4.750000,4.550000,4.750000,4.750000,602573
2018-08-28,4.550000,4.690000,4.355000,4.375000,4.375000,364390
2018-08-29,4.450000,4.500000,4.160000,4.125000,4.125000,1334499
2018-08-30,4.160000,4.235000,4.000000,4.125000,4.125000,679985
2018-08-31,4.235000,4.250000,4.138000,4.125000,4.125000,161076
2018-09-03,4.144000,4.250000,4.144000,4.125000,4.125000,365346
2018-09-04,4.350000,4.500000,4.010000,4.125000,4.125000,1012583
2018-09-05,4.230000,4.230000,4.138000,4.125000,4.125000,54728
2018-09-06,4.190000,4.190000,3.925000,4.000000,4.000000,346636
2018-09-07,3.926000,4.140000,3.926000,4.250000,4.250000,240775
2018-09-10,4.120000,4.120000,3.780000,3.875000,3.875000,623582
2018-09-11,3.810000,3.920000,3.800000,3.875000,3.875000,138151
2018-09-12,3.900000,3.900000,3.800000,3.875000,3.875000,302018
2018-09-13,3.849000,3.849000,3.770000,3.875000,3.875000,200853
2018-09-14,3.750000,3.750000,3.748000,3.750000,3.750000,230803
2018-09-17,3.625000,3.750000,3.750000,3.625000,3.625000,775903
2018-09-18,3.551000,3.650000,3.350000,3.375000,3.375000,720891
2018-09-19,3.425000,3.425000,3.361000,3.375000,3.375000,70149
2018-09-20,3.425000,3.490000,3.375000,3.375000,3.375000,203859
2018-09-21,3.490000,3.490000,3.380000,3.375000,3.375000,59154
2018-09-24,3.390000,3.460000,3.390000,3.375000,3.375000,215895
2018-09-25,3.440000,3.440000,3.391000,3.375000,3.375000,49210
2018-09-26,3.430000,3.430000,3.391000,3.375000,3.375000,210074
2018-09-27,3.270000,3.490000,3.270000,3.375000,3.375000,339349
2018-09-28,3.490000,3.490000,3.490000,3.500000,3.500000,45787
2018-10-01,3.480000,3.580000,3.310000,3.375000,3.375000,554473
2018-10-02,3.325000,3.370000,3.151000,3.125000,3.125000,428120
2018-10-03,3.151000,3.250000,3.110000,3.125000,3.125000,131081
2018-10-04,3.125000,3.125000,3.125000,3.125000,3.125000,0
2018-10-05,3.115000,3.190000,3.000000,3.125000,3.125000,646287
2018-10-08,3.175000,3.175000,3.110000,3.125000,3.125000,124923
2018-10-09,3.125000,3.125000,3.125000,3.125000,3.125000,0
2018-10-10,3.150000,3.150000,3.030000,3.125000,3.125000,40682
2018-10-11,3.000000,3.000000,2.810000,2.875000,2.875000,143906
2018-10-12,2.920000,2.920000,2.750000,2.750000,2.750000,165432
2018-10-15,2.740000,2.990000,2.740000,2.875000,2.875000,454307
2018-10-16,3.000000,3.090000,2.800000,2.750000,2.750000,222821
2018-10-17,2.650000,2.740000,2.650000,2.625000,2.625000,237527
2018-10-18,2.740000,2.740000,2.563000,2.625000,2.625000,124525
2018-10-19,2.500000,2.680000,2.320000,2.750000,2.750000,398695
2018-10-22,2.650000,2.650000,2.650000,2.750000,2.750000,40000
2018-10-23,2.650000,2.650000,2.450000,2.750000,2.750000,500239
2018-10-24,2.700000,2.990000,2.583000,3.000000,3.000000,704821
2018-10-25,2.990000,2.990000,2.810000,2.750000,2.750000,103193
2018-10-26,2.865000,2.865000,2.865000,2.750000,2.750000,20000
2018-10-29,2.750000,2.750000,2.750000,2.750000,2.750000,0
2018-10-30,2.750000,2.750000,2.750000,2.750000,2.750000,0
2018-10-31,2.750000,2.750000,2.750000,2.750000,2.750000,0
2018-11-01,2.850000,2.875000,2.800000,2.750000,2.750000,155000
