Date,Open,High,Low,Close,Adj Close,Volume
2018-10-02,439.899994,439.899994,362.049988,364.000000,364.000000,6051556
2018-10-03,370.000000,390.000000,339.899994,365.000000,365.000000,3885893
2018-10-04,365.000000,367.649994,329.500000,340.000000,340.000000,2813792
2018-10-05,354.799988,354.799988,335.000000,342.700012,342.700012,5333905
2018-10-08,340.000000,344.000000,327.049988,342.000000,342.000000,1538123
2018-10-09,340.000000,351.500000,339.350006,350.000000,350.000000,564502
2018-10-10,357.000000,400.049988,356.200012,384.649994,384.649994,1611452
2018-10-11,399.000000,399.000000,376.000000,376.000000,376.000000,671649
2018-10-12,378.000000,380.000000,366.200012,370.000000,370.000000,666540
2018-10-15,370.000000,382.000000,370.000000,382.000000,382.000000,156109
2018-10-16,401.000000,401.000000,375.000000,398.000000,398.000000,167725
2018-10-17,400.000000,409.950012,394.750000,402.250000,402.250000,199297
2018-10-18,401.000000,420.000000,396.100006,410.000000,410.000000,260695
2018-10-19,424.000000,440.000000,415.049988,430.000000,430.000000,415450
2018-10-22,430.000000,438.000000,403.000000,410.000000,410.000000,327102
2018-10-23,435.000000,435.000000,373.000000,388.500000,388.500000,299105
2018-10-24,394.549988,394.549988,375.000000,376.899994,376.899994,126228
2018-10-25,380.049988,380.049988,360.200012,368.500000,368.500000,252845
2018-10-26,368.500000,368.500000,350.049988,350.299988,350.299988,176959
2018-10-29,359.950012,374.000000,351.600006,355.000000,355.000000,260480
2018-10-30,351.149994,364.000000,343.000000,349.000000,349.000000,209821
2018-10-31,358.000000,383.000000,353.950012,373.500000,373.500000,359817
2018-11-01,371.600006,373.000000,364.000000,370.000000,370.000000,173816
2018-11-02,372.000000,383.850006,372.000000,378.049988,378.049988,314416
2018-11-05,375.000000,400.000000,375.000000,400.000000,400.000000,381825
2018-11-06,395.200012,400.000000,385.250000,393.500000,393.500000,311782
2018-11-07,400.000000,400.000000,385.000000,388.000000,388.000000,163888
2018-11-08,390.000000,399.399994,390.000000,391.250000,391.250000,88292
2018-11-09,399.000000,399.000000,379.750000,379.750000,379.750000,133212
2018-11-12,375.549988,380.000000,356.299988,362.000000,362.000000,186000
2018-11-13,362.000000,362.000000,347.000000,350.000000,350.000000,267333
2018-11-14,348.000000,355.000000,340.000000,343.000000,343.000000,231791
2018-11-15,340.000000,348.799988,334.000000,343.100006,343.100006,235003
2018-11-16,343.000000,360.000000,340.000000,358.899994,358.899994,140676
2018-11-19,360.000000,369.000000,359.000000,361.500000,361.500000,325570
2018-11-20,355.000000,363.000000,335.000000,341.350006,341.350006,179577
2018-11-21,344.000000,360.000000,343.000000,355.000000,355.000000,110849
2018-11-22,355.000000,357.950012,352.299988,353.000000,353.000000,83077
2018-11-23,355.000000,358.000000,350.000000,356.000000,356.000000,87267
2018-11-26,359.000000,371.000000,352.500000,371.000000,371.000000,127276
2018-11-27,373.000000,382.000000,370.000000,380.000000,380.000000,186116
2018-11-28,388.000000,399.950012,375.049988,399.000000,399.000000,537577
2018-11-29,399.600006,399.600006,380.600006,390.000000,390.000000,463282
2018-11-30,395.000000,395.000000,376.000000,388.000000,388.000000,365871
2018-12-03,384.899994,398.000000,384.899994,393.000000,393.000000,455437
2018-12-04,388.100006,392.000000,370.000000,380.250000,380.250000,375554
2018-12-05,380.250000,384.850006,371.000000,384.350006,384.350006,525181
2018-12-06,379.600006,395.000000,375.600006,388.299988,388.299988,527332
2018-12-07,391.000000,401.000000,390.000000,398.000000,398.000000,919881
2018-12-10,397.500000,400.799988,387.500000,392.100006,392.100006,493032
2018-12-11,391.500000,392.000000,375.200012,380.350006,380.350006,94433
2018-12-12,392.799988,393.000000,382.100006,391.399994,391.399994,76532
2018-12-13,388.000000,393.000000,388.000000,393.000000,393.000000,19154
2018-12-14,375.250000,390.500000,375.250000,390.000000,390.000000,163558
2018-12-17,385.000000,389.950012,360.000000,374.299988,374.299988,185572
2018-12-18,375.000000,375.000000,299.500000,317.000000,317.000000,434440
2018-12-19,312.700012,338.000000,310.149994,323.700012,323.700012,190685
2018-12-20,295.000000,297.000000,240.050003,260.000000,260.000000,588162
2018-12-21,250.000000,272.399994,230.050003,254.300003,254.300003,6658850
2018-12-24,256.799988,287.350006,256.799988,287.350006,287.350006,79377
2018-12-27,284.000000,295.049988,272.000000,294.000000,294.000000,82191
2018-12-28,290.000000,334.000000,276.000000,325.399994,325.399994,163940
2018-12-31,330.500000,345.000000,315.649994,345.000000,345.000000,206061
2019-01-02,349.899994,349.899994,309.899994,324.049988,324.049988,338537
2019-01-03,324.950012,325.000000,310.049988,323.450012,323.450012,166021
2019-01-04,308.200012,322.149994,297.850006,315.350006,315.350006,217637
2019-01-07,320.000000,324.950012,297.500000,313.000000,313.000000,99880
2019-01-08,310.049988,332.000000,310.000000,330.000000,330.000000,179115
2019-01-09,339.649994,339.649994,315.250000,329.500000,329.500000,404757
2019-01-10,309.799988,340.000000,309.799988,318.250000,318.250000,264205
2019-01-11,309.500000,324.950012,306.850006,313.000000,313.000000,134874
2019-01-14,301.049988,320.850006,301.049988,307.299988,307.299988,72510
2019-01-15,305.000000,321.500000,298.000000,320.000000,320.000000,121977
2019-01-16,319.899994,339.850006,319.850006,330.000000,330.000000,351208
2019-01-17,315.250000,356.000000,315.250000,341.399994,341.399994,195372
2019-01-18,349.950012,350.000000,339.350006,347.500000,347.500000,184965
2019-01-21,328.049988,347.500000,328.049988,347.500000,347.500000,114343
2019-01-22,330.100006,343.950012,330.100006,339.000000,339.000000,135688
2019-01-23,334.950012,347.500000,330.000000,341.950012,341.950012,153472
2019-01-24,341.950012,350.000000,335.000000,347.450012,347.450012,304135
2019-01-25,345.000000,350.000000,333.250000,339.000000,339.000000,219065
2019-01-28,338.700012,338.700012,324.899994,330.000000,330.000000,43772
2019-01-29,322.000000,344.000000,320.000000,320.000000,320.000000,191077
2019-01-30,320.000000,332.000000,312.750000,332.000000,332.000000,153836
2019-01-31,320.049988,332.149994,318.100006,320.000000,320.000000,501441
2019-02-01,320.000000,320.000000,310.000000,312.000000,312.000000,259050
2019-02-04,314.100006,324.350006,308.049988,314.250000,314.250000,113641
2019-02-05,325.000000,328.049988,309.100006,324.850006,324.850006,131826
2019-02-06,324.000000,324.000000,311.250000,321.049988,321.049988,30383
2019-02-07,318.000000,334.899994,311.899994,330.950012,330.950012,67828
2019-02-08,325.000000,333.950012,317.100006,333.950012,333.950012,68056
2019-02-11,344.700012,345.000000,330.149994,341.149994,341.149994,185359
2019-02-12,345.000000,345.000000,333.200012,338.000000,338.000000,350646
2019-02-13,340.250000,345.000000,335.000000,340.000000,340.000000,203017
2019-02-14,339.950012,343.950012,320.000000,335.200012,335.200012,174770
2019-02-15,342.000000,345.000000,335.149994,339.250000,339.250000,138143
2019-02-18,347.950012,349.950012,332.299988,345.000000,345.000000,282081
2019-02-19,349.850006,350.000000,337.049988,345.000000,345.000000,199077
2019-02-20,348.000000,348.000000,335.000000,346.750000,346.750000,115999
2019-02-21,346.000000,360.000000,337.350006,355.899994,355.899994,507159
2019-02-22,356.000000,373.750000,350.000000,373.750000,373.750000,105648
