Date,Open,High,Low,Close,Adj Close,Volume
2017-07-25,0.980000,0.980000,0.980000,0.980000,0.721747,0
2017-07-26,1.047500,1.050000,1.044900,1.045000,0.769618,94052
2017-07-27,1.060000,1.060000,1.048000,1.051250,0.774221,251130
2017-07-28,1.055000,1.060000,1.043010,1.046250,0.770539,128580
2017-07-31,1.050000,1.061550,1.042500,1.046250,0.770539,104362
2017-08-01,1.067500,1.067500,1.045800,1.050000,0.773300,27089
2017-08-02,1.045000,1.050000,1.043970,1.046250,0.770539,102927
2017-08-03,1.060000,1.066550,1.042500,1.046250,0.770539,142026
2017-08-04,1.047500,1.050000,1.047500,1.048750,0.772380,176369
2017-08-07,1.045000,1.055520,1.045000,1.053750,0.776062,44842
2017-08-08,1.050000,1.050000,1.045470,1.048750,0.772380,57304
2017-08-09,1.050000,1.058470,1.045000,1.047500,0.771459,65018
2017-08-10,1.050200,1.054100,1.040000,1.047500,0.771459,96663
2017-08-11,1.055000,1.055000,1.047500,1.048750,0.772380,57177
2017-08-14,1.050500,1.054040,1.050500,1.050000,0.773300,48000
2017-08-15,1.050000,1.050000,1.048540,1.057500,0.778824,75880
2017-08-16,1.050000,1.069550,1.048540,1.046250,0.770539,126052
2017-08-17,1.045000,1.045000,1.045000,1.058750,0.779745,181
2017-08-18,1.048330,1.049000,1.048330,1.047500,0.771459,13128
2017-08-21,1.053800,1.053800,1.049050,1.055000,0.776983,14304
2017-08-22,1.045000,1.050000,1.045000,1.050000,0.773300,458361
2017-08-23,1.042500,1.050000,1.042500,1.050000,0.773300,267203
2017-08-24,1.062500,1.062500,1.055000,1.057500,0.778824,57930
2017-08-25,1.072500,1.072500,1.057200,1.055000,0.776983,68024
2017-08-29,1.070000,1.070000,1.052500,1.063750,0.783427,51957
2017-08-30,1.060000,1.068350,1.060000,1.065000,0.784347,29040
2017-08-31,1.065000,1.069500,1.063500,1.065000,0.784347,67125
2017-09-01,1.070000,1.070000,1.069270,1.067500,0.786189,15390
2017-09-04,1.070000,1.073020,1.070000,1.067500,0.786189,7026
2017-09-05,1.070000,1.077650,1.057510,1.072500,0.789871,11025
2017-09-06,1.075000,1.080000,1.070000,1.075000,0.791712,32180
2017-09-07,1.080000,1.080000,1.075650,1.075000,0.791712,10146
2017-09-08,1.080000,1.082500,1.078260,1.072500,0.789871,160804
2017-09-11,1.075000,1.082500,1.075000,1.076250,0.792633,21107
2017-09-12,1.075000,1.075000,1.075000,1.078750,0.794474,2147
2017-09-13,1.082810,1.082810,1.078510,1.075000,0.791712,29401
2017-09-14,1.080000,1.080000,1.075000,1.077500,0.793553,94687
2017-09-15,1.082990,1.082990,1.075300,1.072500,0.789871,5397
2017-09-18,1.078330,1.080000,1.078270,1.071250,0.788950,22353
2017-09-19,1.072500,1.079010,1.072500,1.080000,0.795395,21227
2017-09-20,1.085450,1.087300,1.080000,1.078750,0.794474,6965
2017-09-21,1.079500,1.085350,1.078000,1.073750,0.790792,37162
2017-09-22,1.087500,1.090000,1.075000,1.080000,0.795395,63198
2017-09-25,1.079000,1.080000,1.077500,1.072500,0.789871,20515
2017-09-26,1.084960,1.084960,1.078300,1.075000,0.791712,7912
2017-09-27,1.080000,1.087500,1.075000,1.077500,0.793553,857031
