Date,Open,High,Low,Close,Adj Close,Volume
2020-12-04,5.875000,5.700000,3.750000,4.250000,4.250000,24086878
2020-12-07,4.250000,4.750000,4.055000,4.625000,4.625000,12167686
2020-12-08,4.625000,7.250000,4.645000,7.000000,7.000000,55507342
2020-12-09,7.000000,8.900000,6.770000,7.500000,7.500000,48311093
2020-12-10,7.125000,7.500000,6.050000,6.500000,6.500000,17547636
2020-12-11,6.625000,7.730000,6.750000,7.150000,7.150000,15046295
2020-12-14,7.000000,7.499000,6.525000,6.700000,6.700000,8055860
2020-12-15,6.625000,7.140000,6.330000,6.600000,6.600000,6706784
2020-12-16,6.500000,6.750000,6.100000,6.250000,6.250000,13454381
2020-12-17,6.350000,7.000000,6.200000,7.000000,7.000000,7322839
2020-12-18,6.850000,7.700000,6.880000,7.250000,7.250000,9750216
2020-12-21,7.250000,7.700000,6.700000,7.000000,7.000000,4733558
2020-12-22,6.950000,7.000000,6.500000,6.900000,6.900000,2644693
2020-12-23,6.750000,7.000000,6.520000,6.800000,6.800000,5190932
2020-12-24,6.800000,6.870000,6.200000,6.700000,6.700000,4384921
2020-12-29,6.700000,7.044000,6.300000,6.620000,6.620000,4160569
2020-12-30,6.850000,7.500000,6.700000,7.280000,7.280000,2801627
2020-12-31,7.250000,7.500000,6.700000,7.250000,7.250000,1848381
2021-01-04,7.250000,8.500000,7.200000,8.220000,8.220000,17157037
2021-01-05,7.950000,8.500000,7.500000,7.600000,7.600000,8242140
2021-01-06,7.550000,8.400000,7.535000,8.100000,8.100000,10115668
2021-01-07,8.100000,8.500000,7.925000,8.200000,8.200000,7156974
2021-01-08,8.050000,8.200000,7.700000,8.000000,8.000000,5087548
2021-01-11,7.900000,8.300000,7.800000,8.200000,8.200000,6345032
2021-01-12,8.250000,8.500000,7.700000,8.000000,8.000000,5922443
2021-01-13,7.850000,8.000000,7.683000,7.800000,7.800000,2886900
2021-01-14,7.800000,7.848000,7.500000,7.650000,7.650000,3581995
2021-01-15,7.650000,8.220000,7.664000,8.220000,8.220000,6781597
2021-01-18,7.900000,8.200000,7.750000,7.960000,7.960000,6406173
2021-01-19,7.875000,7.910000,7.500000,7.800000,7.800000,4281524
2021-01-20,8.000000,8.190000,7.700000,7.800000,7.800000,5202002
2021-01-21,7.800000,8.000000,7.750000,7.800000,7.800000,4819538
2021-01-22,7.800000,8.000000,7.220000,7.300000,7.300000,7719695
2021-01-25,7.275000,7.500000,6.950000,7.100000,7.100000,4993246
2021-01-26,7.000000,7.400000,6.909000,7.100000,7.100000,2653018
2021-01-27,7.125000,7.250000,6.900000,7.000000,7.000000,2204164
2021-01-28,7.000000,7.000000,6.275000,6.625000,6.625000,5659986
2021-01-29,6.625000,6.800000,6.550000,6.750000,6.750000,2004766
2021-02-01,6.625000,7.250000,6.638000,7.200000,7.200000,7103257
2021-02-02,7.100000,7.250000,6.750000,7.000000,7.000000,2810289
2021-02-03,7.050000,7.100000,6.750000,6.875000,6.875000,2560255
2021-02-04,6.875000,7.500000,6.888000,7.500000,7.500000,2213216
2021-02-05,7.325000,8.250000,7.250000,8.100000,8.100000,11751511
2021-02-08,8.000000,8.250000,7.750000,8.000000,8.000000,4780007
2021-02-09,8.000000,8.250000,7.500000,7.750000,7.750000,4025899
2021-02-10,7.750000,8.000000,7.600000,7.600000,7.600000,2959139
2021-02-11,7.750000,8.000000,7.500000,7.750000,7.750000,1733390
2021-02-12,7.625000,7.750000,7.250000,7.625000,7.625000,4534977
2021-02-15,7.625000,8.000000,7.500000,8.000000,8.000000,5028419
2021-02-16,7.750000,8.003000,7.000000,7.800000,7.800000,3847879
2021-02-17,7.750000,8.000000,7.500000,7.750000,7.750000,2739516
2021-02-18,8.125000,8.250000,7.250000,7.375000,7.375000,4940949
2021-02-19,7.375000,7.750000,7.255000,7.500000,7.500000,2921108
2021-02-22,7.375000,7.500000,7.000000,7.250000,7.250000,3592199
2021-02-23,7.250000,7.500000,6.703000,6.900000,6.900000,4749597
2021-02-24,6.850000,7.000000,6.625000,6.800000,6.800000,6081814
2021-02-25,6.900000,7.020000,6.675000,6.850000,6.850000,3873924
2021-02-26,6.850000,7.250000,6.725000,7.100000,7.100000,2254978
2021-03-01,7.025000,7.250000,6.800000,7.000000,7.000000,5663690
2021-03-02,7.025000,7.400000,6.900000,7.400000,7.400000,3270889
2021-03-03,7.300000,7.600000,7.250000,7.300000,7.300000,3674647
2021-03-04,7.350000,7.500000,7.000000,7.000000,7.000000,1426619
2021-03-05,7.125000,7.250000,6.750000,6.950000,6.950000,3190444
2021-03-08,6.900000,7.000000,6.800000,6.900000,6.900000,1481370
2021-03-09,6.900000,7.000000,6.600000,7.000000,7.000000,1671426
2021-03-10,6.700000,7.354000,6.665000,6.990000,6.990000,2480067
2021-03-11,7.000000,7.200000,6.800000,7.040000,7.040000,2574033
2021-03-12,7.000000,7.354000,6.885000,7.000000,7.000000,5457856
2021-03-15,7.100000,7.200000,6.800000,7.000000,7.000000,2254440
2021-03-16,6.900000,7.200000,6.800000,6.990000,6.990000,2684735
2021-03-17,7.000000,7.200000,6.922000,6.950000,6.950000,3728404
2021-03-18,6.950000,7.100000,6.825000,7.000000,7.000000,1956233
2021-03-19,6.950000,7.100000,6.811000,6.900000,6.900000,2480560
2021-03-22,7.000000,7.500000,6.900000,7.350000,7.350000,5693814
2021-03-23,7.375000,8.800000,7.300000,8.300000,8.300000,13337358
2021-03-24,8.100000,8.400000,7.300000,7.600000,7.600000,7665361
2021-03-25,7.500000,7.540000,7.000000,7.150000,7.150000,2970688
2021-03-26,7.200000,7.500000,7.000000,7.150000,7.150000,4138624
2021-03-29,7.125000,7.800000,7.000000,7.300000,7.300000,5451665
2021-03-30,7.350000,8.000000,7.000000,7.650000,7.650000,7386990
2021-03-31,7.625000,7.800000,7.300000,7.600000,7.600000,5282543
2021-04-01,7.625000,8.200000,7.450000,8.000000,8.000000,8772603
2021-04-06,8.100000,9.400000,8.000000,9.200000,9.200000,26276025
2021-04-07,9.250000,11.300000,9.100000,10.300000,10.300000,32183856
2021-04-08,10.450000,11.400000,10.000000,10.600000,10.600000,16109584
2021-04-09,10.500000,11.470000,10.420000,11.150000,11.150000,10717826
2021-04-12,11.150000,14.500000,11.255000,14.300000,14.300000,33019286
2021-04-13,14.250000,14.600000,13.000000,13.900000,13.900000,21585301
2021-04-14,13.700000,13.800000,12.500000,12.900000,12.900000,10114402
2021-04-15,12.850000,13.000000,11.700000,11.700000,11.700000,7781497
2021-04-16,10.350000,11.400000,10.267000,11.360000,11.360000,47277006
2021-04-19,11.350000,14.000000,11.300000,13.600000,13.600000,48366055
2021-04-20,13.550000,14.200000,12.300000,12.300000,12.300000,35368132
2021-04-21,12.250000,12.400000,11.666000,12.200000,12.200000,28352803
2021-04-22,12.050000,13.500000,11.900000,13.100000,13.100000,22214011
2021-04-23,13.000000,14.500000,12.800000,13.980000,13.980000,16620957
2021-04-26,14.350000,16.000000,14.353000,16.000000,16.000000,33343884
2021-04-27,15.900000,16.600000,15.575000,16.299999,16.299999,36749067
2021-04-28,16.350000,17.299999,16.000000,16.900000,16.900000,20765064
2021-04-29,17.350000,20.500000,17.000000,19.299999,19.299999,75953472
2021-04-30,19.250000,20.500000,18.700001,20.350000,20.350000,26342405
2021-05-04,21.150000,24.500000,20.040001,23.000000,23.000000,49603112
2021-05-05,23.100000,23.500000,20.200001,21.500000,21.500000,34362087
2021-05-06,21.250000,22.000000,19.000000,19.200001,19.200001,32335260
2021-05-07,19.100000,19.600000,16.700001,19.600000,19.600000,46400688
2021-05-10,19.650000,20.000000,17.500000,18.980000,18.980000,22745434
2021-05-11,18.750000,19.000000,17.500000,17.900000,17.900000,12026948
2021-05-12,17.750000,19.799999,17.500000,18.299999,18.299999,14188788
2021-05-13,18.650000,19.200001,17.700001,18.200001,18.200001,10956689
2021-05-14,18.250000,20.000000,18.200001,19.480000,19.480000,15260606
2021-05-17,19.450001,21.900000,19.299999,21.100000,21.100000,21507449
2021-05-18,21.150000,21.900000,20.500000,20.900000,20.900000,11449831
2021-05-19,20.975000,21.200001,19.500000,19.500000,19.500000,10206939
2021-05-20,19.400000,20.500000,19.020000,19.950001,19.950001,6788588
2021-05-21,20.049999,21.400000,19.799999,20.799999,20.799999,10913656
2021-05-24,20.850000,21.000000,19.639999,20.049999,20.049999,7626749
2021-05-25,20.100000,22.000000,20.174999,20.700001,20.700001,13819973
2021-05-26,20.850000,21.975000,20.799999,21.400000,21.400000,16382904
2021-05-27,21.250000,22.285000,21.000000,21.500000,21.500000,11916397
2021-05-28,21.250000,21.500000,20.455000,20.799999,20.799999,9229119
2021-06-01,20.799999,21.400000,19.615000,21.299999,21.299999,9113320
2021-06-02,21.200001,22.000000,20.600000,21.350000,21.350000,7745107
2021-06-03,21.549999,21.799999,20.500000,21.299999,21.299999,7428408
2021-06-04,21.450001,21.799999,20.799999,21.200001,21.200001,10409993
2021-06-07,21.250000,21.500000,20.555000,21.299999,21.299999,5180987
2021-06-08,21.200001,21.400000,20.500000,20.799999,20.799999,5401344
2021-06-09,20.650000,21.719999,20.500000,21.500000,21.500000,7380800
2021-06-10,21.049999,21.500000,20.674999,21.400000,21.400000,3702246
2021-06-11,21.049999,21.700001,20.799999,21.400000,21.400000,7893493
2021-06-14,21.400000,21.988001,20.500000,20.900000,20.900000,8658965
2021-06-15,21.000000,21.600000,20.600000,21.000000,21.000000,6396356
2021-06-16,20.850000,21.000000,19.700001,19.799999,19.799999,11619979
2021-06-17,19.799999,19.860001,18.600000,18.700001,18.700001,11190018
2021-06-18,18.700001,18.799999,17.400000,18.160000,18.160000,15405015
2021-06-21,19.150000,19.500000,17.500000,18.500000,18.500000,15945752
2021-06-22,18.650000,24.000000,18.680000,20.500000,20.500000,23265123
2021-06-23,20.600000,22.600000,20.500000,22.400000,22.400000,14062418
2021-06-24,22.450001,25.000000,22.000000,24.500000,24.500000,39007685
2021-06-25,24.500000,28.000000,24.500000,27.100000,27.100000,37760778
2021-06-28,26.850000,27.440001,24.700001,25.799999,25.799999,20978831
2021-06-29,25.750000,27.000000,24.500000,26.049999,26.049999,17334261
2021-06-30,26.250000,27.900000,22.750000,24.700001,24.700001,30353260
2021-07-01,24.799999,25.000000,23.000000,24.000000,24.000000,15101217
2021-07-02,24.000000,25.500000,23.400000,25.000000,25.000000,10633068
2021-07-05,24.750000,28.000000,24.355000,27.000000,27.000000,18885677
2021-07-06,27.750000,28.500000,25.850000,26.500000,26.500000,13336442
2021-07-07,26.850000,27.000000,25.500000,25.500000,25.500000,5922455
2021-07-08,25.500000,26.000000,24.000000,24.900000,24.900000,7260295
2021-07-09,24.750000,25.874001,23.500000,23.650000,23.650000,12061165
2021-07-12,24.250000,24.000000,18.500000,21.900000,21.900000,35499361
2021-07-13,21.750000,23.799999,21.500000,22.500000,22.500000,10728448
2021-07-14,22.400000,22.860001,21.500000,22.000000,22.000000,4311846
2021-07-15,22.250000,23.000000,21.625000,21.799999,21.799999,5159562
2021-07-16,21.750000,23.799999,21.000000,23.700001,23.700001,4589888
2021-07-19,23.500000,24.799999,22.031000,22.100000,22.100000,12325445
2021-07-20,22.100000,23.500000,22.000000,22.400000,22.400000,5290651
2021-07-21,22.250000,22.500000,21.500000,22.100000,22.100000,2708328
2021-07-22,22.400000,23.219999,22.000000,22.750000,22.750000,2681513
2021-07-23,22.750000,23.000000,21.500000,21.500000,21.500000,3343084
2021-07-26,21.750000,24.000000,20.700001,23.750000,23.750000,7699563
2021-07-27,23.750000,27.000000,22.809999,26.500000,26.500000,24111258
2021-07-28,26.500000,27.500000,25.000000,26.500000,26.500000,13295235
2021-07-29,26.500000,28.000000,25.125000,26.500000,26.500000,10493594
2021-07-30,27.049999,29.000000,26.500000,27.700001,27.700001,13800406
2021-08-02,27.375000,29.000000,26.500000,27.549999,27.549999,11914571
