Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
02/02/2009,1SPATIAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,52.59
18/07/1994,3I GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"16,400.28"
13/03/2007,3I INFRASTRUCTURE PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,"2,886.96"
17/08/2017,450 PLC,Financials,Financial Services ,Jersey,Europe,AIM ,No,12.41
17/02/2021,4BASEBIO PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,80.69
07/12/2021,4GLOBAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,13.96
13/03/1953,4IMPRINT GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,"1,355.13"
14/07/2011,600 GROUP PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,9.73
04/10/2005,888 HOLDINGS PLC,Consumer Discretionary,Travel and Leisure,Gibraltar,Europe,MAIN MARKET ,Yes,230.53
03/02/2012,88 ENERGY LIMITED,Energy,Energy,Australia,Pacific,AIM ,Yes,100.54
22/05/2013,AB DYNAMICS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,427.1
24/03/1952,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,246.48
31/03/1994,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,285.91
10/12/1990,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,044.08"
03/07/2017,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,191.34
07/10/2020,"AB ""IGNITIS GRUPE""",Utilities,Utilities,Lithuania,Europe,MAIN MARKET ,Yes,-
15/12/2020,ABINGDON HEALTH PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,7.61
19/10/1995,ABRDN ASIA FOCUS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,399.93
20/12/2005,ABRDN ASIAN INCOME FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,359.05
10/11/2009,ABRDN CHINA INVESTMENT COMPANY LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,237.93
