Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,195.000000,215.000000,190.000000,194.000000,189.258148,308101
2018-12-17,195.399994,195.500000,194.000000,195.500000,190.721497,64999
2018-12-18,194.000000,198.000000,193.000000,196.000000,191.209290,53145
2018-12-19,196.000000,196.639999,194.000000,196.000000,191.209290,44251
2018-12-20,195.820007,195.820007,193.000000,195.000000,190.233734,11932
2018-12-21,194.199997,194.199997,193.050003,195.000000,190.233734,16343
2018-12-24,193.899994,193.899994,193.899994,195.000000,190.233734,2256
2018-12-27,193.000000,193.899994,193.000000,195.000000,190.233734,5153
2018-12-28,193.899994,194.199997,193.899994,195.000000,190.233734,4701
2018-12-31,194.100006,194.100006,194.100006,195.000000,190.233734,3290
2019-01-02,193.000000,194.100006,193.000000,195.000000,190.233734,2339
2019-01-03,194.100006,194.100006,194.000000,195.000000,190.233734,2630
2019-01-04,194.000000,194.000000,193.899994,195.000000,190.233734,5507
2019-01-07,193.899994,193.899994,193.000000,195.000000,190.233734,10455
2019-01-08,193.899994,193.899994,193.000000,195.000000,190.233734,4868
2019-01-09,193.000000,194.000000,193.000000,195.000000,190.233734,7015
2019-01-10,194.000000,194.000000,193.000000,195.000000,190.233734,3284
2019-01-11,194.000000,194.000000,193.000000,195.000000,190.233734,8689
2019-01-14,194.000000,194.000000,193.000000,195.000000,190.233734,4130
2019-01-15,193.000000,193.000000,193.000000,195.000000,190.233734,41
2019-01-16,195.531998,195.531998,195.531998,195.000000,190.233734,504
2019-01-17,195.000000,195.414001,194.000000,195.000000,190.233734,3908
2019-01-18,192.000000,194.000000,192.000000,194.000000,189.258148,13126
2019-01-21,194.000000,197.000000,193.500000,195.500000,190.721497,16079
2019-01-22,199.000000,210.000000,199.000000,205.500000,200.477066,173296
2019-01-23,207.000000,207.000000,205.000000,204.000000,199.013763,7052
2019-01-24,205.000000,205.000000,205.000000,204.000000,199.013763,2999
2019-01-25,204.750000,204.750000,203.550003,204.000000,199.013763,21253
2019-01-28,204.339996,204.339996,196.000000,198.000000,193.160385,31378
2019-01-29,201.000000,201.000000,200.000000,197.500000,192.672607,20885
2019-01-30,200.000000,210.000000,200.000000,209.000000,203.891525,119910
2019-01-31,209.500000,210.000000,210.000000,219.000000,213.647110,168561
2019-02-01,220.000000,223.000000,219.500000,220.500000,215.110443,92612
2019-02-04,223.000000,230.850006,223.000000,229.500000,223.890457,164093
2019-02-05,228.500000,231.000000,228.500000,229.500000,223.890457,78124
2019-02-06,230.000000,230.000000,230.000000,230.000000,224.378250,50820
2019-02-07,231.000000,233.000000,230.050003,230.500000,224.865997,49225
2019-02-08,232.500000,232.500000,232.449997,230.500000,224.865997,7647
2019-02-11,232.449997,232.449997,229.750000,230.500000,224.865997,28655
2019-02-12,232.449997,233.500000,230.000000,233.500000,227.792679,35181
2019-02-13,235.000000,246.399994,235.000000,245.000000,239.011612,396385
2019-02-14,246.000000,256.359985,246.000000,256.000000,249.742722,210242
2019-02-15,256.200012,264.000000,264.000000,264.000000,257.547211,50229
2019-02-18,265.000000,274.200012,265.000000,272.500000,265.839447,67286
2019-02-19,290.000000,298.500000,280.000000,294.000000,286.813934,492943
2019-02-20,296.000000,309.000000,309.000000,303.500000,296.081726,341532
2019-02-21,302.350006,302.350006,302.350006,301.000000,293.642822,112620
2019-02-22,302.750000,313.000000,298.000000,311.500000,303.886169,215223
2019-02-25,312.000000,354.000000,312.000000,350.500000,341.932953,390731
2019-02-26,352.000000,352.000000,328.220001,337.000000,328.762909,250944
2019-02-27,337.899994,330.000000,330.000000,330.000000,321.933990,17731
2019-02-28,337.000000,342.799988,337.000000,342.500000,334.128448,43860
2019-03-01,341.399994,341.500000,319.089996,335.000000,326.811737,56843
2019-03-04,337.000000,337.000000,316.059998,331.000000,322.909546,37158
2019-03-05,331.000000,330.000000,330.000000,335.000000,326.811737,43181
2019-03-06,333.000000,337.000000,331.470001,333.500000,325.348450,11563
2019-03-07,340.000000,355.000000,340.000000,353.500000,344.859589,17028
2019-03-08,350.000000,380.000000,380.000000,383.000000,373.638519,94593
2019-03-11,388.000000,406.899994,374.066986,376.500000,367.297394,97753
2019-03-12,371.000000,385.000000,350.000000,375.000000,365.834045,69968
2019-03-13,380.000000,370.000000,370.000000,383.500000,374.126343,27535
2019-03-14,386.000000,386.299988,382.500000,383.500000,374.126343,9738
2019-03-15,382.500000,386.230011,382.500000,383.500000,374.126343,17162
2019-03-18,382.500000,392.679993,382.000000,388.000000,378.516296,45440
2019-03-19,392.679993,427.000000,382.000000,405.000000,395.100830,115898
2019-03-20,407.899994,414.000000,371.000000,397.000000,387.296356,73330
2019-03-21,403.000000,427.200012,403.000000,420.000000,409.734161,365449
2019-03-22,430.000000,430.500000,430.500000,408.000000,398.027527,32144
2019-03-25,405.600006,410.000000,395.450012,407.500000,397.539673,56206
2019-03-26,400.001007,425.000000,400.000000,417.500000,407.295258,11383
2019-03-27,425.000000,470.000000,418.000000,460.500000,449.244232,67286
2019-03-28,462.899994,470.000000,468.000000,468.000000,456.560913,115533
2019-03-29,458.950012,463.850006,456.149994,462.500000,451.195404,63329
2019-04-01,463.799988,467.700012,460.000000,465.000000,453.634247,48348
2019-04-02,466.899994,518.000000,463.000000,479.000000,467.292053,156621
2019-04-03,490.000000,490.000000,464.880005,471.000000,459.487579,45963
2019-04-04,480.000000,490.000000,490.000000,490.000000,478.023224,27949
2019-04-05,480.000000,480.000000,480.000000,480.000000,468.267639,66797
2019-04-08,480.000000,480.000000,450.000000,455.000000,443.878693,53972
2019-04-09,450.000000,453.000000,410.000000,423.000000,412.660858,189268
2019-04-10,415.200012,432.000000,414.000000,423.000000,412.660858,26937
2019-04-11,419.399994,465.700012,419.399994,463.000000,451.683167,56003
2019-04-12,465.700012,465.700012,438.000000,444.000000,433.147583,13740
2019-04-15,460.000000,505.000000,505.000000,488.000000,476.072083,238571
2019-04-16,496.000000,505.000000,505.000000,522.500000,509.728882,145177
2019-04-17,529.700012,552.000000,496.950012,520.000000,507.289917,148203
