Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,59.500000,60.500000,57.000000,59.000000,58.828087,420333
2019-12-13,59.000000,59.500000,58.599998,59.000000,58.828087,113107
2019-12-16,59.000000,59.500000,58.000000,59.000000,58.828087,227875
2019-12-17,59.000000,59.599998,58.000000,59.000000,58.828087,244388
2019-12-18,59.000000,59.599998,58.000000,59.000000,58.828087,105923
2019-12-19,59.000000,59.599998,58.000000,59.000000,58.828087,58262
2019-12-20,59.000000,58.200001,58.200001,59.000000,58.828087,10000
2019-12-23,59.000000,59.599998,59.500000,59.000000,58.828087,35763
2019-12-24,59.000000,59.000000,59.000000,59.000000,58.828087,0
2019-12-27,59.000000,59.459999,58.000000,59.000000,58.828087,34842
2019-12-30,59.000000,59.000000,59.000000,59.000000,58.828087,0
2019-12-31,59.000000,59.000000,59.000000,59.000000,58.828087,0
2020-01-02,59.000000,58.799999,58.000000,59.000000,58.828087,28024
2020-01-03,59.000000,59.000000,59.000000,59.000000,58.828087,0
2020-01-06,59.000000,58.799999,58.799999,59.000000,58.828087,455
2020-01-07,59.000000,58.790001,58.790001,59.000000,58.828087,3300
2020-01-08,59.000000,58.209999,58.209999,59.000000,58.828087,10000
2020-01-09,59.000000,58.700001,58.700001,59.000000,58.828087,16937
2020-01-10,59.000000,58.200001,57.000000,58.500000,58.329544,85172
2020-01-13,58.500000,58.200001,57.000000,58.500000,58.329544,54682
2020-01-14,58.500000,58.000000,58.000000,58.500000,58.329544,2000
2020-01-15,58.500000,58.500000,57.000000,58.500000,58.329544,16230
2020-01-16,58.500000,58.000000,58.000000,58.500000,58.329544,10000
2020-01-17,58.500000,58.000000,58.000000,58.000000,57.831001,39310
2020-01-20,58.000000,58.000000,58.000000,58.000000,57.831001,24000
2020-01-21,58.000000,58.000000,58.000000,58.000000,57.831001,0
2020-01-22,58.000000,58.000000,56.360001,57.500000,57.332458,126455
2020-01-23,57.500000,57.500000,56.250000,57.500000,57.332458,13024
2020-01-24,57.500000,56.060001,56.060001,57.500000,57.332458,10272
2020-01-27,57.500000,56.180000,56.180000,57.000000,56.833916,13251
2020-01-28,57.000000,57.000000,57.000000,57.000000,56.833916,0
2020-01-29,57.000000,57.000000,57.000000,57.000000,56.833916,5000
2020-01-30,57.000000,57.000000,57.000000,57.000000,56.833916,7708
2020-01-31,57.000000,58.000000,56.500000,57.000000,56.833916,766195
2020-02-03,57.000000,56.099998,56.000000,57.000000,56.833916,106530
2020-02-04,57.000000,57.400002,56.000000,57.500000,57.332458,816833
2020-02-05,57.500000,57.000000,57.000000,57.500000,57.332458,232
2020-02-06,57.500000,58.939999,57.000000,58.500000,58.329544,291336
2020-02-07,58.000000,59.000000,58.000000,58.900002,58.728382,294700
2020-02-10,58.900002,58.900002,58.900002,58.900002,58.728382,0
2020-02-11,58.900002,58.900002,58.900002,58.900002,58.728382,0
2020-02-12,59.500000,60.000000,58.000000,59.500000,59.326630,136084
2020-02-13,59.500000,59.999001,59.150002,59.500000,59.326630,103858
2020-02-14,59.500000,60.323002,59.250000,60.500000,60.323715,3282367
2020-02-17,60.500000,61.625000,60.000000,60.000000,59.825172,926061
2020-02-18,60.000000,60.000000,60.000000,60.299999,60.124298,39554
2020-02-19,60.299999,60.299999,60.000000,60.500000,60.323715,645101
2020-02-20,60.500000,60.299999,60.000000,60.299999,60.124298,62152
2020-02-21,60.299999,60.270000,60.270000,60.299999,60.124298,11578
2020-02-24,60.299999,60.012001,58.000000,58.599998,58.429253,115384
2020-02-25,58.500000,59.000000,57.660000,58.500000,58.329544,66750
2020-02-26,58.500000,58.950001,58.000000,58.500000,58.329544,82500
2020-02-27,58.500000,58.500000,58.500000,58.500000,58.329544,0
2020-02-28,58.500000,59.000000,58.000000,58.500000,58.329544,643872
2020-03-02,58.500000,58.049999,58.000000,58.500000,58.329544,35000
2020-03-03,58.500000,58.650002,58.650002,58.299999,58.130127,8503
2020-03-04,58.299999,58.090000,58.090000,58.299999,58.130127,8881
2020-03-05,58.299999,58.000000,56.099998,55.500000,55.338287,27497
2020-03-06,55.500000,54.000000,54.000000,54.000000,53.842655,15000
2020-03-09,53.500000,53.049999,53.000000,53.299999,53.144695,8451
2020-03-10,53.299999,53.299999,53.299999,53.299999,53.144695,0
2020-03-11,53.299999,55.000000,53.099998,54.099998,53.942364,1095466
2020-03-12,54.099998,54.990002,53.799999,54.500000,54.341198,506660
2020-03-13,54.500000,54.750000,54.250000,55.500000,55.338287,1007252
2020-03-16,55.500000,56.000000,54.000000,55.500000,55.338287,541824
2020-03-17,55.500000,55.500000,55.500000,55.500000,55.338287,0
2020-03-18,55.500000,54.000000,54.000000,54.500000,54.341198,1715
2020-03-19,54.500000,54.020000,54.000000,52.500000,52.347027,10483
2020-03-20,52.500000,52.500000,52.500000,52.500000,52.347027,0
2020-03-23,52.500000,51.000000,45.299999,45.500000,45.367424,70000
2020-03-24,45.500000,46.500000,46.459999,46.500000,46.364510,10000
2020-03-25,46.500000,47.000000,47.000000,47.000000,46.863052,398724
2020-03-26,47.000000,47.250000,45.000000,46.000000,45.865967,9310
2020-03-27,46.000000,46.150002,45.000000,46.000000,45.865967,111444
2020-03-30,46.000000,46.000000,46.000000,46.000000,45.865967,0
2020-03-31,46.000000,46.150002,45.000000,46.000000,45.865967,72692
2020-04-01,46.000000,46.000000,46.000000,46.000000,45.865967,0
2020-04-02,46.000000,46.000000,46.000000,46.000000,45.865967,0
2020-04-03,46.000000,44.000000,40.500000,41.000000,40.880535,102970
2020-04-06,41.000000,41.500000,41.500000,43.000000,42.874706,25000
2020-04-07,43.000000,43.000000,43.000000,43.000000,42.874706,0
2020-04-08,43.000000,46.959999,41.750000,46.500000,46.364510,554132
2020-04-09,46.500000,47.000000,46.599998,46.500000,46.364510,27976
2020-04-14,46.500000,49.799999,46.750000,48.000000,47.860138,56000
2020-04-15,48.000000,49.000000,46.599998,48.500000,48.358681,115000
2020-04-16,48.500000,50.000000,47.450001,48.500000,48.358681,20822
2020-04-17,48.500000,50.200001,50.000000,49.500000,49.355770,1230036
2020-04-20,49.500000,50.959999,50.959999,50.000000,49.854313,22500
2020-04-21,50.000000,50.959999,49.000000,48.500000,48.358681,677448
2020-04-22,48.500000,48.500000,48.500000,48.500000,48.358681,0
2020-04-23,48.500000,47.180000,47.180000,48.500000,48.358681,4000
2020-04-24,48.500000,49.000000,49.000000,48.500000,48.358681,2040
2020-04-27,48.500000,50.000000,47.180000,49.000000,48.857224,13000
2020-04-28,49.000000,48.330002,48.000000,48.000000,47.860138,18261
2020-04-29,47.000000,47.000000,45.000000,47.000000,46.863052,17250
2020-04-30,47.000000,48.000000,45.240002,46.500000,46.364510,15049
2020-05-01,46.500000,48.000000,46.500000,46.500000,46.364510,72471
2020-05-04,46.500000,47.500000,47.500000,46.500000,46.364510,25000
2020-05-05,46.500000,45.599998,45.599998,46.500000,46.364510,8406
2020-05-06,46.500000,46.599998,45.000000,46.500000,46.364510,123546
2020-05-07,46.500000,47.500000,47.500000,46.500000,46.364510,623
2020-05-11,46.500000,46.250000,46.250000,46.500000,46.364510,3250
2020-05-12,46.500000,45.000000,45.000000,46.500000,46.364510,5574
2020-05-13,46.500000,46.000000,46.000000,46.000000,45.865967,5540617
2020-05-14,46.000000,47.000000,45.000000,46.000000,45.865967,18164
2020-05-15,46.000000,45.700001,45.000000,46.000000,45.865967,26521
2020-05-18,46.000000,46.000000,46.000000,46.000000,45.865967,0
2020-05-19,46.000000,45.700001,45.700001,46.000000,45.865967,529
2020-05-20,46.000000,45.040001,45.040001,46.000000,45.865967,795
2020-05-21,46.000000,45.900002,43.000000,45.500000,45.367424,120165
2020-05-22,45.500000,45.450001,45.450001,45.500000,45.367424,2172
2020-05-26,45.500000,45.500000,45.500000,45.500000,45.367424,0
2020-05-27,45.500000,45.009998,45.009998,45.200001,45.068298,7960
2020-05-28,45.200001,45.000000,40.000000,43.000000,42.874706,188100
2020-05-29,43.000000,43.000000,43.000000,43.000000,42.874706,0
2020-06-01,41.500000,46.919998,42.700001,45.000000,44.868881,72361
2020-06-02,45.000000,46.000000,43.000000,44.500000,44.370338,38504
2020-06-03,44.500000,43.049999,42.000000,42.000000,41.877621,120921
2020-06-04,42.000000,42.000000,41.125000,41.500000,41.379078,16199
2020-06-05,41.500000,41.950001,40.000000,41.500000,41.379078,104867
2020-06-08,41.500000,41.900002,41.000000,41.500000,41.379078,179360
2020-06-09,41.500000,41.500000,41.500000,41.500000,41.379078,0
2020-06-10,41.500000,42.000000,41.000000,41.500000,41.379078,51448
2020-06-11,41.500000,41.500000,41.500000,41.500000,41.379078,0
2020-06-12,41.500000,41.980000,41.000000,41.500000,41.379078,105616
2020-06-15,41.500000,41.500000,41.500000,41.500000,41.379078,0
2020-06-16,41.500000,41.150002,41.150002,41.500000,41.379078,4775
2020-06-17,41.500000,41.750000,41.150002,41.500000,41.379078,8814
2020-06-18,41.500000,41.900002,41.000000,41.500000,41.379078,132540
2020-06-19,41.500000,42.950001,41.099998,42.500000,42.376163,164221
2020-06-22,42.500000,42.950001,41.000000,42.500000,42.376163,41220
2020-06-23,42.500000,41.150002,41.150002,42.500000,42.376163,15920
2020-06-24,42.500000,41.500000,41.000000,42.000000,41.877621,155721
2020-06-25,42.000000,41.500000,41.000000,42.000000,41.877621,193932
2020-06-26,42.000000,43.000000,41.799999,42.000000,41.877621,131000
2020-06-29,42.000000,44.000000,42.500000,43.000000,42.874706,103289
2020-06-30,43.000000,42.040001,41.400002,42.000000,41.877621,165492
2020-07-01,42.000000,42.000000,41.000000,42.000000,41.877621,170791
2020-07-02,42.000000,41.500000,41.000000,42.000000,41.877621,134901
2020-07-03,42.000000,41.500000,41.099998,42.000000,41.877621,35000
2020-07-06,42.000000,41.500000,41.000000,41.500000,41.379078,65386
