Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,3.250000,4.625000,3.250000,4.000000,4.000000,2727690
2016-06-16,3.860000,5.890000,3.860000,5.125000,5.125000,4086894
2016-06-17,5.000000,5.180000,4.365000,4.750000,4.750000,975804
2016-06-20,4.522000,5.750000,4.500000,5.250000,5.250000,6037607
2016-06-21,5.010000,5.430000,4.750000,5.000000,5.000000,1270409
2016-06-22,4.760000,4.950000,4.360000,4.750000,4.750000,775529
2016-06-23,4.522000,4.965000,4.505000,4.750000,4.750000,833737
2016-06-24,4.025000,5.000000,4.025000,4.750000,4.750000,316875
2016-06-27,5.000000,5.000000,4.100000,4.375000,4.375000,938750
2016-06-28,4.680000,4.800000,4.015000,4.125000,4.125000,780165
2016-06-29,4.350000,4.400000,3.750000,4.250000,4.250000,1212287
2016-06-30,4.135000,4.300000,4.000000,3.875000,3.875000,91455
2016-07-01,3.710000,4.750000,3.710000,4.375000,4.375000,1169826
2016-07-04,4.650000,4.975000,4.270000,4.750000,4.750000,535230
2016-07-05,4.800000,4.840000,4.500000,4.750000,4.750000,409382
2016-07-06,4.550000,4.990000,4.110000,4.375000,4.375000,1007642
2016-07-07,4.300000,4.300000,4.050000,4.125000,4.125000,644140
2016-07-08,4.075000,4.075000,4.000000,4.125000,4.125000,45500
2016-07-11,3.860000,4.250000,3.860000,4.125000,4.125000,705594
2016-07-12,4.500000,5.212000,4.070000,4.250000,4.250000,1405109
2016-07-13,3.825000,4.200000,3.750000,4.125000,4.125000,1245992
2016-07-14,4.010000,4.290000,4.000000,4.250000,4.250000,311391
2016-07-15,4.290000,4.325000,4.020000,4.250000,4.250000,226670
2016-07-18,4.270000,4.270000,3.750000,4.000000,4.000000,1643352
2016-07-19,4.060000,4.075000,3.775000,3.875000,3.875000,660471
2016-07-20,3.950000,4.140000,3.950000,4.000000,4.000000,202273
2016-07-21,3.880000,4.175000,3.750000,4.000000,4.000000,740047
2016-07-22,3.750000,3.950000,3.600000,3.875000,3.875000,635642
2016-07-25,3.980000,4.475000,3.825000,4.000000,4.000000,903990
2016-07-26,4.250000,5.000000,4.000000,4.125000,4.125000,1414157
2016-07-27,4.010000,4.125000,3.750000,4.000000,4.000000,978628
2016-07-28,4.150000,4.150000,4.000000,4.000000,4.000000,221719
2016-07-29,4.150000,4.150000,3.790000,4.000000,4.000000,421365
2016-08-01,3.790000,4.070000,3.630000,4.000000,4.000000,1503848
2016-08-02,3.970000,4.050000,3.750000,3.750000,3.750000,812144
2016-08-03,3.920000,4.150000,3.770000,4.000000,4.000000,378751
2016-08-04,4.150000,4.150000,3.750000,3.875000,3.875000,479605
2016-08-05,3.980000,4.100000,3.744000,4.000000,4.000000,884185
2016-08-08,4.050000,5.000000,4.020000,4.750000,4.750000,4988746
2016-08-09,5.160000,5.200000,4.060000,4.250000,4.250000,3475659
2016-08-10,4.077000,4.650000,3.850000,4.000000,4.000000,1037782
2016-08-11,4.170000,4.170000,3.826000,3.875000,3.875000,1361217
2016-08-12,3.988000,4.425000,3.915000,4.000000,4.000000,421582
2016-08-15,3.927000,4.190000,3.855000,4.000000,4.000000,502934
2016-08-16,3.790000,4.148000,3.250000,3.625000,3.625000,2196472
2016-08-17,3.750000,4.210000,3.500000,4.000000,4.000000,1080946
2016-08-18,3.990000,4.037000,3.760000,4.000000,4.000000,538947
2016-08-19,4.037000,4.037000,3.825000,4.000000,4.000000,377103
2016-08-22,3.830000,4.475000,3.830000,4.250000,4.250000,3114949
2016-08-23,4.130000,4.500000,4.020000,4.375000,4.375000,1930616
2016-08-24,4.990000,4.990000,4.120000,4.375000,4.375000,3211141
2016-08-25,4.475000,4.879000,4.315000,4.500000,4.500000,4560591
2016-08-26,4.750000,5.125000,4.320000,4.500000,4.500000,4242349
2016-08-30,4.455000,4.740000,3.750000,4.375000,4.375000,2839181
2016-08-31,4.100000,4.470000,3.855000,3.875000,3.875000,2112688
2016-09-01,4.000000,4.140000,3.850000,3.875000,3.875000,676264
2016-09-02,4.000000,4.131000,3.865000,4.000000,4.000000,637934
2016-09-05,4.065000,5.750000,4.065000,5.500000,5.500000,6137770
2016-09-06,5.700000,6.150000,4.525000,4.750000,4.750000,7517330
2016-09-07,4.990000,6.000000,4.665000,5.125000,5.125000,2419028
2016-09-08,5.000000,5.080000,4.633000,4.750000,4.750000,1838402
2016-09-09,4.970000,5.000000,4.600000,4.750000,4.750000,1780526
2016-09-12,4.950000,4.990000,4.670000,4.750000,4.750000,318711
2016-09-13,4.670000,5.490000,4.550000,5.250000,5.250000,2650877
2016-09-14,5.480000,5.990000,5.133000,5.375000,5.375000,2427642
2016-09-15,5.260000,5.850000,4.875000,5.750000,5.750000,2761812
