Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,106.000000,107.489998,100.000000,105.625000,81.839882,9660094
2017-06-01,105.599998,107.750000,105.591003,106.250000,82.324150,1307692
2017-06-02,106.250000,106.900002,106.250000,106.750000,82.711540,796669
2017-06-05,106.860001,106.860001,106.051003,106.375000,82.420990,135379
2017-06-06,106.051003,106.051003,104.000000,105.000000,81.355629,391221
2017-06-07,104.150002,105.199997,104.150002,105.125000,81.452469,331376
2017-06-08,105.250000,105.349998,105.000000,105.250000,81.549332,481111
2017-06-09,105.011002,105.440002,104.760002,105.000000,81.355629,83759
2017-06-12,105.440002,105.440002,104.500000,105.000000,81.355629,403240
2017-06-13,104.769997,105.190002,104.510002,105.000000,81.355629,102394
2017-06-14,105.000000,105.180000,104.500000,104.750000,81.161919,2090357
2017-06-15,105.400002,105.400002,104.443001,104.500000,80.968201,1011772
2017-06-16,104.250000,104.900002,104.094002,104.375000,80.871361,1061521
2017-06-19,104.651001,105.150002,104.500000,104.750000,81.161919,539685
2017-06-20,104.750000,104.750000,104.750000,104.750000,81.161919,513794
2017-06-21,104.750000,104.750000,104.750000,104.750000,81.161919,667407
2017-06-22,104.750000,104.995003,104.599998,104.750000,81.161919,153492
2017-06-23,105.489998,105.489998,105.000000,105.125000,81.452469,347107
2017-06-26,105.199997,105.500000,104.699997,104.760002,81.169670,319025
2017-06-27,105.000000,105.000000,104.773003,104.800003,81.200645,113455
2017-06-28,105.000000,105.489998,105.000000,105.000000,81.355629,133582
2017-06-29,105.000000,105.000000,105.000000,105.000000,81.355629,100129
2017-06-30,104.901001,105.239998,104.800003,104.875000,81.258766,25969
2017-07-03,105.000000,105.239998,104.779999,104.875000,81.258766,47624
2017-07-04,105.099998,105.099998,104.621002,104.875000,81.258766,76260
2017-07-05,105.040001,105.040001,104.699997,104.875000,81.258766,70653
2017-07-06,104.750000,105.000000,104.550003,104.875000,81.258766,38720
2017-07-07,104.309998,104.351997,104.300003,104.500000,80.968201,30402
2017-07-10,104.600998,104.600998,104.209999,104.500000,80.968201,94478
2017-07-11,104.125000,104.125000,103.550003,103.750000,80.387100,128770
2017-07-12,103.510002,103.602997,102.803001,103.500000,80.193398,306725
2017-07-13,104.000000,104.000000,104.000000,104.000000,80.580795,77859
