Date,Open,High,Low,Close,Adj Close,Volume
2019-10-23,1.039700,1.039700,1.039700,1.039700,1.039700,0
2019-10-24,null,null,null,null,null,null
2019-10-25,null,null,null,null,null,null
2019-10-28,null,null,null,null,null,null
2019-10-29,null,null,null,null,null,null
2019-10-30,1.070000,1.070000,1.070000,1.075000,1.075000,100
2019-10-31,1.080000,1.120000,1.080000,1.125000,1.125000,19000
2019-11-01,1.125000,1.125000,1.125000,1.125000,1.125000,0
2019-11-04,1.140000,1.140000,1.140000,1.135000,1.135000,1212
2019-11-05,1.140000,1.140000,1.140000,1.145000,1.145000,3000
2019-11-06,1.147700,1.147700,1.147700,1.125000,1.125000,250000
2019-11-07,1.140000,1.148300,1.140000,1.145000,1.145000,503000
2019-11-08,1.150000,1.160000,1.150000,1.145000,1.145000,5000
2019-11-11,1.150000,1.150000,1.150000,1.150000,1.150000,0
2019-11-12,1.160000,1.160000,1.160000,1.165000,1.165000,3000
2019-11-13,1.170000,1.170000,1.160000,1.175000,1.175000,53000
2019-11-14,1.180000,1.180000,1.180000,1.165000,1.165000,22000
2019-11-15,1.165000,1.165000,1.165000,1.165000,1.165000,0
2019-11-18,1.180000,1.180000,1.180000,1.165000,1.165000,1000
2019-11-19,1.180000,1.180000,1.170000,1.155000,1.155000,21000
2019-11-20,1.155000,1.155000,1.155000,1.155000,1.155000,0
2019-11-21,1.165000,1.165000,1.165000,1.165000,1.165000,0
2019-11-22,1.147700,1.147700,1.147700,1.155000,1.155000,10000
2019-11-25,1.165000,1.165000,1.165000,1.165000,1.165000,0
2019-11-26,1.162700,1.162700,1.162700,1.155000,1.155000,50000
2019-11-27,1.180000,1.180000,1.167700,1.155000,1.155000,95000
2019-11-28,1.155000,1.155000,1.155000,1.155000,1.155000,0
2019-11-29,1.180000,1.180000,1.180000,1.155000,1.155000,1898
2019-12-02,1.155000,1.155000,1.155000,1.155000,1.155000,0
2019-12-03,1.180000,1.180000,1.180000,1.155000,1.155000,250
2019-12-04,1.180000,1.198200,1.180000,1.197000,1.197000,403000
2019-12-05,1.195000,1.195000,1.195000,1.195000,1.195000,0
2019-12-06,1.200000,1.205000,1.198200,1.205000,1.205000,157269
2019-12-09,1.235000,1.235000,1.235000,1.235000,1.235000,0
2019-12-10,1.260000,1.260000,1.260000,1.285000,1.285000,3000
2019-12-11,1.285000,1.285000,1.285000,1.285000,1.285000,0
2019-12-12,1.305000,1.305000,1.305000,1.305000,1.305000,46250
2019-12-13,1.280000,1.280000,1.280000,1.305000,1.305000,1000
2019-12-16,1.280000,1.280000,1.280000,1.305000,1.305000,10000
2019-12-17,1.305000,1.305000,1.305000,1.305000,1.305000,0
2019-12-18,1.325000,1.325000,1.325000,1.325000,1.325000,0
2019-12-19,1.320000,1.320000,1.320000,1.345000,1.345000,1000
2019-12-20,1.380000,1.380000,1.370000,1.355000,1.355000,6062
2019-12-23,1.355000,1.355000,1.355000,1.355000,1.355000,0
2019-12-24,1.370000,1.370000,1.370000,1.370000,1.370000,0
2019-12-27,1.380000,1.380000,1.360000,1.370000,1.370000,1100
2019-12-30,1.370000,1.370000,1.370000,1.370000,1.370000,0
2019-12-31,1.380000,1.380000,1.380000,1.370000,1.370000,1000
2020-01-02,1.380000,1.380000,1.380000,1.400000,1.400000,3000
2020-01-03,1.380000,1.380000,1.380000,1.380000,1.380000,0
2020-01-06,1.395000,1.395000,1.395000,1.395000,1.395000,0
2020-01-07,1.420000,1.420000,1.420000,1.425000,1.425000,813
2020-01-08,1.447800,1.447800,1.447800,1.425000,1.425000,74000
2020-01-09,1.425000,1.425000,1.425000,1.425000,1.425000,0
2020-01-10,1.450000,1.490000,1.450000,1.475000,1.475000,14000
2020-01-13,1.475000,1.475000,1.475000,1.475000,1.475000,0
2020-01-14,1.475000,1.475000,1.475000,1.475000,1.475000,0
2020-01-15,1.475000,1.475000,1.475000,1.475000,1.475000,0
2020-01-16,1.470000,1.470000,1.470000,1.470000,1.470000,0
2020-01-17,1.450000,1.460000,1.450000,1.445000,1.445000,6976
2020-01-20,1.445000,1.445000,1.445000,1.445000,1.445000,0
2020-01-21,1.445000,1.445000,1.445000,1.445000,1.445000,0
2020-01-22,1.450000,1.450000,1.400000,1.425000,1.425000,6100
2020-01-23,1.425000,1.425000,1.425000,1.425000,1.425000,0
2020-01-24,1.450000,1.450000,1.380000,1.450000,1.450000,110869
2020-01-27,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-01-28,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-01-29,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-01-30,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-01-31,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-02-03,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-02-04,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-02-05,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-02-06,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-02-07,1.400000,1.400000,1.400000,1.420000,1.420000,3000
2020-02-10,1.430000,1.445000,1.430000,1.445000,1.445000,3000
2020-02-11,1.445000,1.445000,1.445000,1.445000,1.445000,0
2020-02-12,1.445000,1.445000,1.445000,1.445000,1.445000,0
2020-02-13,1.445000,1.445000,1.445000,1.445000,1.445000,0
2020-02-14,1.460000,1.460000,1.460000,1.445000,1.445000,2000
2020-02-17,1.460000,1.460000,1.460000,1.460000,1.460000,0
2020-02-18,1.435000,1.435000,1.435000,1.435000,1.435000,0
2020-02-19,1.435000,1.435000,1.435000,1.435000,1.435000,0
2020-02-20,1.435000,1.435000,1.435000,1.435000,1.435000,0
2020-02-21,1.440000,1.440000,1.440000,1.435000,1.435000,1500
2020-02-24,1.435000,1.435000,1.435000,1.435000,1.435000,0
2020-02-25,1.320000,1.320000,1.320000,1.435000,1.435000,181050
2020-02-26,1.435000,1.435000,1.435000,1.435000,1.435000,0
2020-02-27,1.320000,1.320000,1.320000,1.435000,1.435000,24000
2020-02-28,1.435000,1.435000,1.435000,1.435000,1.435000,0
2020-03-02,1.380000,1.380000,1.380000,1.350000,1.350000,525
2020-03-03,1.380000,1.390000,1.380000,1.375000,1.375000,3202
2020-03-04,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-03-05,1.375000,1.375000,1.375000,1.375000,1.375000,0
2020-03-06,1.370000,1.370000,1.370000,1.350000,1.350000,1500
2020-03-09,1.260000,1.260000,1.260000,1.260000,1.260000,0
2020-03-10,1.260000,1.260000,1.260000,1.260000,1.260000,0
2020-03-11,1.260000,1.260000,1.260000,1.260000,1.260000,0
2020-03-12,1.230000,1.230000,1.230000,1.145000,1.145000,3000
2020-03-13,1.145000,1.145000,1.145000,1.145000,1.145000,0
2020-03-16,1.170000,1.170000,1.170000,1.145000,1.145000,3000
2020-03-17,1.120000,1.120000,1.100000,1.085000,1.085000,9000
2020-03-18,1.085000,1.085000,1.085000,1.085000,1.085000,0
2020-03-19,1.085000,1.085000,1.085000,1.085000,1.085000,0
2020-03-20,1.085000,1.085000,1.085000,1.085000,1.085000,0
2020-03-23,1.085000,1.085000,1.085000,1.085000,1.085000,0
2020-03-24,1.110000,1.150000,1.110000,1.175000,1.175000,6000
2020-03-25,1.175000,1.175000,1.175000,1.175000,1.175000,0
2020-03-26,1.200000,1.200000,1.200000,1.195000,1.195000,3000
2020-03-27,1.240000,1.240000,1.240000,1.225000,1.225000,4000
2020-03-30,1.225000,1.225000,1.225000,1.225000,1.225000,0
2020-03-31,1.250000,1.300000,1.240000,1.275000,1.275000,18000
2020-04-01,1.280000,1.280000,1.280000,1.280000,1.280000,0
