Date,Open,High,Low,Close,Adj Close,Volume
2019-06-21,400.000000,436.500000,400.000000,411.000000,411.000000,76079774
2019-06-24,411.399994,419.049988,406.000000,410.000000,410.000000,4032700
2019-06-25,405.299988,421.299988,405.299988,421.299988,421.299988,2782065
2019-06-26,415.000000,425.000000,412.000000,417.950012,417.950012,2539537
2019-06-27,415.149994,417.850006,408.000000,410.000000,410.000000,1903824
2019-06-28,410.000000,413.950012,410.000000,412.149994,412.149994,2410900
2019-07-01,406.200012,425.149994,406.200012,425.149994,425.149994,1373376
2019-07-02,424.000000,438.500000,420.000000,428.000000,428.000000,1102918
2019-07-03,430.000000,440.000000,428.000000,440.000000,440.000000,1103213
2019-07-04,435.500000,451.000000,434.500000,440.000000,440.000000,851003
2019-07-05,439.000000,439.000000,434.500000,434.500000,434.500000,196519
2019-07-08,431.000000,432.500000,429.500000,432.000000,432.000000,421601
2019-07-09,432.000000,432.000000,421.500000,426.500000,426.500000,444202
2019-07-10,427.000000,429.000000,417.000000,422.000000,422.000000,178880
2019-07-11,423.000000,430.000000,423.000000,425.000000,425.000000,382985
2019-07-12,430.000000,430.000000,420.500000,421.500000,421.500000,225234
2019-07-15,424.500000,427.000000,419.000000,420.000000,420.000000,233794
2019-07-16,423.000000,423.000000,416.000000,417.000000,417.000000,177716
2019-07-17,418.000000,418.000000,410.000000,410.000000,410.000000,795151
2019-07-18,410.000000,415.000000,408.000000,410.000000,410.000000,458970
2019-07-19,410.000000,412.000000,408.000000,408.500000,408.500000,361159
2019-07-22,415.000000,415.000000,404.000000,410.000000,410.000000,358230
2019-07-23,405.000000,415.500000,405.000000,410.500000,410.500000,1503945
2019-07-24,405.500000,415.000000,405.500000,415.000000,415.000000,675215
2019-07-25,415.000000,417.500000,406.500000,414.000000,414.000000,2506222
2019-07-26,410.000000,428.000000,410.000000,425.500000,425.500000,285856
2019-07-29,426.000000,426.500000,418.000000,418.500000,418.500000,493253
2019-07-30,420.500000,428.000000,420.000000,420.000000,420.000000,67390
2019-07-31,423.000000,430.500000,419.000000,428.000000,428.000000,2673390
2019-08-01,433.500000,444.000000,424.500000,442.000000,442.000000,276766
2019-08-02,430.500000,448.500000,430.500000,436.000000,436.000000,322608
2019-08-05,442.000000,442.000000,426.000000,427.500000,427.500000,633359
2019-08-06,440.000000,440.000000,417.500000,421.500000,421.500000,274940
2019-08-07,430.000000,430.000000,419.000000,419.500000,419.500000,169260
2019-08-08,421.500000,430.500000,420.000000,424.500000,424.500000,284547
2019-08-09,422.000000,437.500000,422.000000,429.000000,429.000000,423131
2019-08-12,424.500000,435.000000,421.500000,421.500000,421.500000,528946
2019-08-13,422.500000,427.000000,412.000000,418.500000,418.500000,567792
2019-08-14,410.000000,423.000000,410.000000,418.000000,418.000000,251584
2019-08-15,425.000000,425.000000,405.500000,410.500000,410.500000,2075332
2019-08-16,406.000000,429.500000,406.000000,425.500000,425.500000,212886
2019-08-19,425.500000,431.500000,421.500000,426.000000,426.000000,223240
2019-08-20,425.500000,428.500000,421.500000,427.000000,427.000000,251308
2019-08-21,429.500000,431.500000,423.500000,429.500000,429.500000,134079
2019-08-22,417.000000,444.500000,417.000000,437.000000,437.000000,261464
2019-08-23,430.000000,448.500000,430.000000,446.000000,446.000000,318911
2019-08-27,444.500000,461.500000,444.500000,459.000000,459.000000,489751
2019-08-28,460.500000,477.000000,460.500000,472.000000,472.000000,1137730
2019-08-29,468.000000,478.500000,462.000000,472.000000,472.000000,848119
2019-08-30,482.000000,483.500000,472.500000,475.500000,475.500000,598828
2019-09-02,457.000000,478.500000,457.000000,469.000000,469.000000,345411
