Date,Open,High,Low,Close,Adj Close,Volume
2017-08-10,9.222000,9.222000,8.625000,8.625000,8.625000,2885473
2017-08-11,8.822000,8.822000,8.711000,8.750000,8.750000,262254
2017-08-14,8.730000,8.800000,8.730000,8.750000,8.750000,134211
2017-08-15,8.795000,8.795000,8.510000,8.750000,8.750000,4934
2017-08-16,8.777000,8.777000,8.777000,8.750000,8.750000,117010
2017-08-17,8.750000,8.800000,8.750000,8.750000,8.750000,712361
2017-08-18,8.800000,8.800000,8.575000,8.750000,8.750000,9954
2017-08-21,8.750000,8.750000,8.625000,8.625000,8.625000,238788
2017-08-22,8.688000,8.688000,8.688000,8.750000,8.750000,13790
2017-08-23,8.750000,8.750000,8.722000,8.750000,8.750000,7120
2017-08-24,8.715000,8.715000,8.000000,8.375000,8.375000,66501
2017-08-25,8.400000,8.400000,7.515000,8.125000,8.125000,622201
2017-08-29,8.500000,8.500000,8.334000,8.375000,8.375000,275000
2017-08-30,8.750000,9.000000,8.515000,8.875000,8.875000,272500
2017-08-31,8.800000,8.800000,8.800000,8.875000,8.875000,24864
2017-09-01,8.800000,9.250000,8.700000,8.750000,8.750000,63353
2017-09-04,8.350000,8.800000,8.350000,8.750000,8.750000,6177
2017-09-05,8.790000,8.790000,8.790000,8.750000,8.750000,11409
2017-09-06,9.250000,9.250000,8.410000,8.750000,8.750000,240421
2017-09-07,8.800000,9.000000,8.450000,8.750000,8.750000,108815
2017-09-08,8.950000,8.950000,8.466000,8.750000,8.750000,531055
2017-09-11,8.950000,8.950000,8.750000,8.625000,8.625000,186760
2017-09-12,8.466000,8.800000,7.000000,8.625000,8.625000,7164220
2017-09-13,8.990000,8.990000,8.250000,8.375000,8.375000,3784600
2017-09-14,8.740000,8.750000,8.700000,8.375000,8.375000,4607806
2017-09-15,8.745000,8.990000,8.700000,8.750000,8.750000,549586
2017-09-18,8.920000,8.990000,8.600000,8.750000,8.750000,448619
2017-09-19,8.740000,8.740000,8.500000,8.625000,8.625000,824146
2017-09-20,8.556000,8.556000,8.556000,8.625000,8.625000,10055
2017-09-21,8.700000,8.700000,8.625000,8.625000,8.625000,179055
2017-09-22,8.500000,8.500000,8.500000,8.500000,8.500000,25000
2017-09-25,8.600000,8.600000,8.600000,8.500000,8.500000,7487
2017-09-26,8.500000,8.500000,8.500000,8.500000,8.500000,0
2017-09-27,8.600000,8.600000,8.333000,8.500000,8.500000,5430
2017-09-28,8.600000,8.600000,8.039000,8.375000,8.375000,306800
2017-09-29,8.400000,8.500000,8.380000,8.250000,8.250000,1069041
2017-10-02,8.490000,8.500000,8.150000,8.250000,8.250000,572244
2017-10-03,8.490000,8.500000,8.100000,8.250000,8.250000,595348
2017-10-04,8.500000,8.750000,8.500000,8.750000,8.750000,770411
2017-10-05,8.750000,8.750000,8.750000,8.750000,8.750000,0
2017-10-06,8.700000,8.900000,8.700000,8.875000,8.875000,411388
2017-10-09,9.063000,9.063000,8.600000,8.875000,8.875000,11554
2017-10-10,8.600000,8.700000,8.109000,8.625000,8.625000,406969
2017-10-11,8.500000,8.750000,8.495000,8.500000,8.500000,859899
2017-10-12,8.700000,8.700000,8.305000,8.500000,8.500000,11149
2017-10-13,8.325000,8.325000,8.325000,8.500000,8.500000,7896
2017-10-16,8.325000,8.325000,8.325000,8.500000,8.500000,1875
2017-10-17,8.500000,8.500000,8.500000,8.500000,8.500000,0
2017-10-18,8.500000,8.500000,8.500000,8.500000,8.500000,0
2017-10-19,8.098000,8.350000,8.098000,8.125000,8.125000,350112
2017-10-20,8.245000,8.250000,7.700000,8.000000,8.000000,853508
2017-10-23,8.240000,8.240000,8.240000,8.000000,8.000000,1000
2017-10-24,8.000000,8.000000,8.000000,8.000000,8.000000,20000
2017-10-25,7.800000,7.800000,7.800000,8.000000,8.000000,20000
2017-10-26,7.800000,7.800000,7.577000,7.625000,7.625000,570071
2017-10-27,7.530000,7.900000,7.505000,8.000000,8.000000,219633
2017-10-30,7.750000,7.750000,7.313000,7.750000,7.750000,205000
2017-10-31,8.000000,8.000000,7.019000,7.250000,7.250000,430169
2017-11-01,7.500000,7.500000,7.500000,7.250000,7.250000,139376
2017-11-02,7.250000,7.250000,7.250000,7.250000,7.250000,0
2017-11-03,7.250000,7.250000,7.250000,7.250000,7.250000,0
2017-11-06,7.058000,7.900000,7.058000,7.875000,7.875000,463250
2017-11-07,7.983000,8.000000,7.983000,8.250000,8.250000,295000
2017-11-08,8.250000,8.250000,8.250000,8.250000,8.250000,0
2017-11-09,8.375000,8.375000,8.375000,8.250000,8.250000,2069
2017-11-10,8.010000,8.010000,8.010000,8.250000,8.250000,6226
2017-11-13,8.010000,8.010000,8.010000,8.250000,8.250000,11183
2017-11-14,8.375000,8.375000,8.050000,8.250000,8.250000,122929
2017-11-15,8.250000,8.250000,8.250000,8.250000,8.250000,117645
2017-11-16,8.010000,8.250000,8.010000,8.250000,8.250000,279000
2017-11-17,8.350000,8.350000,7.995000,8.000000,8.000000,174826
2017-11-20,8.375000,8.375000,8.375000,8.375000,8.375000,0
2017-11-21,8.125000,8.125000,8.125000,8.125000,8.125000,0
2017-11-22,8.000000,8.000000,8.000000,8.000000,8.000000,0
2017-11-23,8.000000,8.000000,8.000000,8.000000,8.000000,0
2017-11-24,8.250000,8.250000,8.250000,8.250000,8.250000,0
2017-11-27,8.250000,8.250000,8.250000,8.250000,8.250000,0
2017-11-28,8.500000,8.500000,8.500000,8.250000,8.250000,54000
2017-11-29,8.635000,9.125000,8.635000,9.000000,9.000000,257291
2017-11-30,9.000000,9.000000,8.800000,8.875000,8.875000,406602
2017-12-01,9.000000,9.000000,8.800000,8.750000,8.750000,275444
2017-12-04,8.900000,8.900000,8.900000,8.750000,8.750000,2111
2017-12-05,8.900000,8.990000,8.500000,8.750000,8.750000,479347
2017-12-06,8.990000,9.000000,8.800000,8.875000,8.875000,176519
2017-12-07,8.750000,9.500000,9.500000,9.500000,9.500000,129973
2017-12-08,8.975000,9.350000,8.800000,9.125000,9.125000,556140
2017-12-11,9.220000,9.220000,9.200000,9.125000,9.125000,15309
2017-12-12,9.185000,9.200000,9.185000,9.125000,9.125000,58315
2017-12-13,9.425000,9.425000,8.375000,8.625000,8.625000,358634
2017-12-14,8.505000,8.750000,8.505000,8.750000,8.750000,206535
2017-12-15,8.600000,8.600000,8.600000,8.750000,8.750000,11046
2017-12-18,8.750000,8.750000,8.750000,8.750000,8.750000,34285
2017-12-19,8.750000,8.825000,8.750000,8.750000,8.750000,15849
2017-12-20,8.500000,8.500000,8.500000,8.750000,8.750000,45000
2017-12-21,9.000000,9.000000,8.500000,8.750000,8.750000,421557
2017-12-22,8.875000,8.875000,8.810000,8.750000,8.750000,218939
2017-12-27,8.850000,8.875000,8.500000,8.750000,8.750000,784382
2017-12-28,8.500000,8.500000,8.500000,8.625000,8.625000,48000
2017-12-29,8.798000,8.900000,8.798000,8.625000,8.625000,127906
2018-01-02,8.975000,8.500000,8.500000,8.500000,8.500000,1085584
2018-01-03,8.450000,8.500000,8.250000,8.500000,8.500000,359069
2018-01-04,8.500000,8.500000,8.500000,8.500000,8.500000,93889
2018-01-05,8.500000,8.500000,8.250000,8.500000,8.500000,62151
2018-01-08,8.500000,8.500000,8.275000,8.375000,8.375000,339263
2018-01-09,8.400000,8.400000,8.250000,8.375000,8.375000,77096
2018-01-10,8.310000,8.350000,8.000000,8.000000,8.000000,245254
2018-01-11,7.750000,8.350000,7.750000,8.375000,8.375000,2509276
2018-01-12,8.444000,8.444000,8.075000,8.250000,8.250000,166736
2018-01-15,8.390000,8.695000,8.250000,8.500000,8.500000,800705
2018-01-16,8.675000,8.925000,8.500000,8.750000,8.750000,558429
2018-01-17,8.550000,8.600000,8.547000,8.750000,8.750000,225000
2018-01-18,8.510000,8.875000,8.510000,8.750000,8.750000,108326
2018-01-19,8.510000,9.145000,8.510000,8.875000,8.875000,728652
2018-01-22,8.875000,8.875000,8.875000,8.875000,8.875000,0
2018-01-23,8.750000,9.000000,8.375000,8.750000,8.750000,480203
2018-01-24,8.975000,9.000000,8.550000,9.000000,9.000000,1313373
2018-01-25,9.170000,9.170000,8.775000,9.000000,9.000000,160382
2018-01-26,8.750000,8.770000,8.750000,9.000000,9.000000,436285
2018-01-29,9.150000,9.150000,8.750000,8.750000,8.750000,3258612
2018-01-30,8.900000,8.950000,8.600000,8.750000,8.750000,38019
2018-01-31,8.625000,8.750000,8.589000,8.750000,8.750000,3563568
2018-02-01,8.625000,8.625000,8.625000,8.750000,8.750000,69143
2018-02-02,8.600000,8.500000,8.500000,8.500000,8.500000,169058
2018-02-05,8.500000,8.500000,8.250000,8.375000,8.375000,125000
2018-02-06,8.500000,8.500000,8.500000,8.375000,8.375000,5823
2018-02-07,8.450000,8.450000,8.385000,8.250000,8.250000,10524
2018-02-08,8.000000,8.000000,8.000000,8.000000,8.000000,1000
2018-02-09,8.000000,7.800000,7.800000,7.875000,7.875000,1043694
2018-02-12,7.995000,7.995000,7.990000,8.000000,8.000000,120077
2018-02-13,8.000000,8.000000,7.775000,8.000000,8.000000,18677
2018-02-14,8.125000,8.125000,7.850000,7.875000,7.875000,1092391
2018-02-15,7.975000,7.975000,7.975000,7.875000,7.875000,5000
2018-02-16,7.750000,7.750000,7.750000,7.875000,7.875000,55000
2018-02-19,7.875000,7.875000,7.875000,7.875000,7.875000,0
2018-02-20,7.763000,7.763000,7.763000,7.875000,7.875000,3056
2018-02-21,7.875000,7.875000,7.875000,7.875000,7.875000,0
2018-02-22,7.741000,7.755000,7.600000,7.750000,7.750000,87622
2018-02-23,7.300000,7.683000,7.300000,7.625000,7.625000,52500
2018-02-26,7.683000,7.683000,7.683000,7.750000,7.750000,12873
2018-02-27,7.600000,7.600000,7.505000,7.500000,7.500000,95348
2018-02-28,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-03-01,7.750000,7.750000,7.500000,7.500000,7.500000,594596
2018-03-02,7.350000,7.700000,7.285000,7.750000,7.750000,300971
2018-03-05,7.750000,7.750000,7.750000,7.750000,7.750000,0
2018-03-06,7.625000,7.625000,7.125000,7.375000,7.375000,262321
2018-03-07,7.450000,7.450000,7.250000,7.375000,7.375000,56068
2018-03-08,7.250000,7.250000,7.250000,7.375000,7.375000,15000
2018-03-09,7.255000,7.450000,7.255000,7.375000,7.375000,101479
2018-03-12,7.375000,7.375000,7.375000,7.375000,7.375000,0
2018-03-13,7.292000,7.292000,7.292000,7.375000,7.375000,25000
2018-03-14,7.375000,7.375000,7.375000,7.375000,7.375000,20818
2018-03-15,7.500000,7.850000,7.000000,7.875000,7.875000,1330000
2018-03-16,7.725000,7.725000,7.725000,7.750000,7.750000,122000
2018-03-19,7.675000,7.675000,7.675000,7.750000,7.750000,760
2018-03-20,7.505000,7.505000,7.500000,7.375000,7.375000,35000
2018-03-21,7.375000,7.375000,7.375000,7.375000,7.375000,0
2018-03-22,7.375000,7.375000,7.375000,7.375000,7.375000,0
2018-03-23,7.250000,7.350000,7.250000,7.375000,7.375000,138313
2018-03-26,7.250000,7.250000,6.600000,6.875000,6.875000,89372
2018-03-27,7.000000,7.000000,6.750000,6.875000,6.875000,265000
2018-03-28,6.500000,6.500000,6.500000,6.750000,6.750000,240000
2018-03-29,6.510000,6.900000,6.500000,6.750000,6.750000,1297096
2018-04-03,6.750000,6.750000,6.750000,6.750000,6.750000,500000
2018-04-04,6.750000,6.750000,6.750000,6.750000,6.750000,0
2018-04-05,6.900000,6.900000,6.900000,6.750000,6.750000,7087
2018-04-06,6.550000,6.875000,6.500000,6.750000,6.750000,711790
2018-04-09,6.750000,6.750000,6.750000,6.750000,6.750000,0
2018-04-10,6.550000,6.575000,6.500000,6.625000,6.625000,266713
2018-04-11,6.600000,6.600000,6.600000,6.625000,6.625000,12302
2018-04-12,6.590000,6.590000,6.500000,6.625000,6.625000,30950
2018-04-13,6.500000,6.500000,6.500000,6.500000,6.500000,83455
2018-04-16,6.500000,6.500000,6.500000,6.500000,6.500000,0
2018-04-17,6.250000,6.250000,6.250000,6.500000,6.500000,205000
2018-04-18,6.250000,6.250000,6.250000,6.500000,6.500000,185000
2018-04-19,6.500000,6.500000,6.500000,6.500000,6.500000,0
2018-04-20,6.500000,6.500000,6.500000,6.500000,6.500000,15969
2018-04-23,6.260000,5.750000,5.750000,5.750000,5.750000,1270622
2018-04-24,5.950000,6.475000,5.825000,6.250000,6.250000,789043
2018-04-25,6.450000,6.450000,6.450000,6.250000,6.250000,4806
2018-04-26,6.450000,6.500000,6.500000,6.750000,6.750000,516735
2018-04-27,6.750000,6.975000,6.750000,6.750000,6.750000,177814
2018-04-30,6.535000,6.535000,6.500000,6.750000,6.750000,250000
2018-05-01,6.500000,6.650000,6.500000,6.750000,6.750000,290000
2018-05-02,6.600000,6.700000,6.600000,6.750000,6.750000,210000
2018-05-03,6.500000,6.925000,6.500000,6.750000,6.750000,435000
2018-05-04,6.750000,6.750000,6.750000,6.750000,6.750000,160000
2018-05-08,6.510000,6.510000,6.510000,6.750000,6.750000,954
2018-05-09,6.750000,6.850000,6.500000,6.625000,6.625000,270555
2018-05-10,6.250000,6.600000,6.250000,6.500000,6.500000,372440
2018-05-11,6.400000,6.575000,6.200000,6.500000,6.500000,1148352
2018-05-14,6.250000,6.300000,6.000000,6.250000,6.250000,1224337
2018-05-15,6.000000,6.450000,6.000000,6.250000,6.250000,1582000
2018-05-16,6.250000,6.250000,6.250000,6.250000,6.250000,50000
2018-05-17,6.075000,6.100000,6.100000,6.250000,6.250000,305194
2018-05-18,6.500000,7.000000,6.500000,6.750000,6.750000,400000
2018-05-21,7.000000,7.200000,7.000000,7.000000,7.000000,126414
2018-05-22,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-05-23,7.050000,7.100000,7.100000,7.100000,7.100000,387888
2018-05-24,7.444000,7.500000,7.500000,7.500000,7.500000,630490
2018-05-25,7.550000,7.622000,7.505000,7.625000,7.625000,206974
2018-05-29,7.622000,7.622000,7.500000,7.625000,7.625000,58559
2018-05-30,7.500000,7.500000,7.500000,7.500000,7.500000,10000
2018-05-31,7.250000,7.250000,7.022000,7.125000,7.125000,20000
2018-06-01,7.000000,7.000000,6.785000,7.000000,7.000000,107685
