Date,Open,High,Low,Close,Adj Close,Volume
2019-11-05,3.400000,3.600000,3.355000,3.405000,3.405000,1294748
2019-11-06,3.800000,4.000000,3.400000,3.750000,3.750000,765100
2019-11-07,3.850000,3.850000,3.820000,3.625000,3.625000,8679
2019-11-08,3.400000,3.800000,3.400000,3.600000,3.600000,45000
2019-11-11,3.850000,3.850000,3.273000,3.475000,3.475000,10021
2019-11-12,3.500000,3.500000,3.250000,3.200000,3.200000,175000
2019-11-13,3.000000,3.400000,3.000000,2.978000,2.978000,100000
2019-11-14,3.500000,3.500000,3.500000,3.125000,3.125000,5000
2019-11-15,2.760000,3.500000,2.760000,3.180000,3.180000,121309
2019-11-18,3.595000,3.595000,3.595000,3.175000,3.175000,5000
2019-11-19,2.750000,3.595000,2.750000,3.053000,3.053000,104500
2019-11-20,3.595000,3.600000,2.505000,2.750000,2.750000,220256
2019-11-21,3.500000,3.500000,3.000000,3.098000,3.098000,762500
2019-11-22,3.098000,3.098000,3.098000,3.098000,3.098000,0
2019-11-25,3.595000,3.900000,3.444000,3.575000,3.575000,912999
2019-11-26,4.000000,4.000000,3.250000,3.575000,3.575000,258526
2019-11-27,3.900000,3.900000,3.770000,3.455000,3.455000,29668
2019-11-28,3.455000,3.455000,3.455000,3.455000,3.455000,0
2019-11-29,4.000000,4.000000,3.250000,3.350000,3.350000,99500
2019-12-02,3.900000,3.900000,3.000000,3.450000,3.450000,1067166
2019-12-03,3.450000,3.450000,3.450000,3.450000,3.450000,0
2019-12-04,3.770000,3.770000,3.770000,3.450000,3.450000,210
2019-12-05,3.450000,3.450000,3.450000,3.450000,3.450000,0
2019-12-06,3.450000,3.450000,3.450000,3.450000,3.450000,0
2019-12-09,3.000000,3.450000,3.000000,3.250000,3.250000,260000
2019-12-10,3.250000,3.250000,3.250000,3.250000,3.250000,0
2019-12-11,3.250000,3.250000,3.250000,3.250000,3.250000,0
2019-12-12,3.500000,3.500000,3.500000,3.250000,3.250000,100000
2019-12-13,3.800000,3.800000,3.800000,3.800000,3.800000,500
2019-12-16,3.500000,3.500000,3.000000,3.250000,3.250000,130500
2019-12-17,3.250000,3.250000,3.250000,3.250000,3.250000,0
2019-12-18,3.255000,3.255000,3.255000,3.255000,3.255000,0
2019-12-19,3.260000,3.260000,3.260000,3.260000,3.260000,0
2019-12-20,3.260000,3.260000,3.260000,3.260000,3.260000,0
2019-12-23,3.260000,3.260000,3.260000,3.260000,3.260000,0
2019-12-24,3.260000,3.260000,3.260000,3.260000,3.260000,0
2019-12-27,3.260000,3.260000,3.260000,3.260000,3.260000,0
2019-12-30,3.260000,3.260000,3.260000,3.260000,3.260000,0
2019-12-31,3.410000,3.410000,3.410000,3.410000,3.410000,0
2020-01-02,3.500000,3.500000,3.500000,3.410000,3.410000,500
2020-01-03,3.250000,3.250000,3.250000,3.250000,3.250000,0
2020-01-06,3.250000,3.250000,3.250000,3.250000,3.250000,0
2020-01-07,3.260000,3.260000,3.260000,3.260000,3.260000,0
2020-01-08,3.300000,3.300000,3.300000,3.210000,3.210000,250000
2020-01-09,3.210000,3.210000,3.210000,3.210000,3.210000,0
2020-01-10,3.210000,3.210000,3.210000,3.210000,3.210000,0
2020-01-13,3.210000,3.210000,3.210000,3.210000,3.210000,0
2020-01-14,3.200000,3.200000,3.200000,3.200000,3.200000,0
2020-01-15,3.000000,3.020000,3.000000,2.910000,2.910000,175000
2020-01-16,2.910000,2.910000,2.910000,2.910000,2.910000,0
2020-01-17,2.910000,2.910000,2.910000,2.910000,2.910000,0
2020-01-20,2.910000,2.910000,2.910000,2.910000,2.910000,0
2020-01-21,2.660000,2.660000,2.660000,2.910000,2.910000,200000
2020-01-22,2.910000,2.910000,2.910000,2.910000,2.910000,0
2020-01-23,2.500000,2.520000,2.500000,2.640000,2.640000,306886
2020-01-24,2.640000,2.640000,2.640000,2.640000,2.640000,0
2020-01-27,2.980000,2.980000,2.980000,2.740000,2.740000,110000
2020-01-28,2.534000,2.534000,2.534000,2.740000,2.740000,28038
2020-01-29,2.740000,2.740000,2.740000,2.740000,2.740000,0
2020-01-30,2.740000,2.740000,2.740000,2.740000,2.740000,0
2020-01-31,2.980000,2.980000,2.600000,2.740000,2.740000,410000
2020-02-03,2.740000,2.740000,2.740000,2.740000,2.740000,0
2020-02-04,2.740000,2.740000,2.740000,2.740000,2.740000,0
2020-02-05,2.900000,2.900000,2.600000,2.850000,2.850000,1237500
2020-02-06,3.180000,3.180000,3.124000,3.000000,3.000000,8980
2020-02-07,2.640000,2.900000,2.640000,2.900000,2.900000,2901608
2020-02-10,2.900000,2.900000,2.740000,2.740000,2.740000,750000
2020-02-11,2.640000,2.760000,2.620000,2.760000,2.760000,2700000
2020-02-12,3.180000,3.180000,2.780000,3.090000,3.090000,2910000
2020-02-13,3.180000,3.200000,3.180000,2.940000,2.940000,15000
2020-02-14,2.900000,2.900000,2.700000,2.970000,2.970000,2650000
2020-02-17,2.748000,2.748000,2.700000,2.950000,2.950000,672000
2020-02-18,2.920000,2.940000,2.920000,3.060000,3.060000,2700000
2020-02-19,3.200000,3.500000,3.200000,3.350000,3.350000,105000
2020-02-20,3.500000,3.780000,3.400000,3.490000,3.490000,1114710
2020-02-21,3.590000,3.590000,3.590000,3.590000,3.590000,0
2020-02-24,3.800000,3.800000,3.420000,3.490000,3.490000,715000
2020-02-25,3.780000,3.820000,3.780000,3.710000,3.710000,574710
2020-02-26,4.000000,4.000000,3.500000,3.610000,3.610000,740000
2020-02-27,4.000000,4.000000,4.000000,4.000000,4.000000,5000
2020-02-28,3.400000,3.900000,3.400000,3.510000,3.510000,507720
2020-03-02,3.510000,3.510000,3.510000,3.510000,3.510000,0
2020-03-03,3.000000,3.900000,3.000000,3.510000,3.510000,3300000
2020-03-04,3.510000,3.510000,3.510000,3.510000,3.510000,0
2020-03-05,3.510000,3.510000,3.510000,3.510000,3.510000,0
2020-03-06,3.120000,3.120000,3.100000,3.400000,3.400000,190579
