Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Intiial Trading High,Initial Trading Low,Close Day 1,Volume Initial Trading Day,Close Day 7 Trading,Price End Day 30,Price End Day 90,Price End Day 180,Price End Day 365,Price End Day 2 Years,Price End Day 5 Years,Price End Day 10 Years,notes,,,,,,,,,
AIM,30/03/2023,01/03/2023,2023,IPO,ONWD,ONWARD OPPORTUNITIES LIMITED,New Company Placing,Guernsey,,,,100,GBX,12.3,,12.75,0,12.75,96.5000,106.9000,98.0000,104.0000,1353424,105.0000,,,,,,,,,,,,,,,,,
UK Main Market,28/02/2023,01/02/2023,2023,IPO,DAR,DAR GLOBAL PLC,New Company Placing,United Kingdom,,,,3.33,USD, -   ,,60.23,0,60.23,3.5500,3.3300,3.3300,3.6000,0,3.7000,,,,,,,,,,,,,,,,,
AIM,14/02/2023,01/02/2023,2023,IPO,FMET,FULCRUM METALS PLC,New Company Placing,United Kingdom,,,,17.5,GBX, -   ,,3,0,3,19.0000,18.8000,17.6500,18.2500,292668,17.6500,17.7500,,,,,,,,,,,,,,,,
AIM,30/01/2023,01/01/2023,2023,IPO,CLA,CELSIUS RESOURCES LIMITED,New Company Placing,Australia,55102000,Industrial Metals and Mining,General Mining,0.8,GBX, -   ,Beaumont Cornish Limited,2.4,0,2.4,0.9000,0.9000,0.9000,0.9000,0,0.9500,0.9500,,,,,,,,,,,,,,,,
UK Main Market,05/01/2023,01/01/2023,2023,IPO,STK,STREAKS GAMING PLC,New Company Placing,United Kingdom,40203040,Leisure Goods,Electronic Entertainment,3,GBX,12.77,,3.68,0,3.68,3.3750,3.3750,3.3750,3.3750,0,3.5000,2.9900,2.9000,,,,,,,,,,,,,,,
UK Main Market,21/12/2022,01/12/2022,2022,IPO,MCI,MEDCAW INVESTMENTS PLC,New Company Placing,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10,GBX,1.8,,0.64,0,0.64,0.1000,0.1000,0.1000,0.1000,0,0.1000,0.0800,5.0000,,,,,,Weird growth?,,,,,,,,,
AIM,15/12/2022,01/12/2022,2022,IPO,S247,SMARTTECH247 GROUP PLC,New Company Placing,United Kingdom,10101010,Software and Computer Services,Computer Services,29.66,GBX,37.22,SPARK Advisory Partners Limited,3.67,0,3.67,30.0000,30.9600,30.3000,30.5000,23239,30.0000,29.5000,34.5000,,,,,,,,,,,,,,,
UK Main Market,05/12/2022,01/12/2022,2022,IPO,HELD,HELLENIC DYNAMICS PLC,New Company Placing,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.3,GBX,37.59,,0.75,0,0.75,0.3000,0.3220,0.1250,0.1510,62157649,0.2100,0.1320,0.0950,,,,,,,,,,,,,,,
UK Main Market,30/11/2022,01/11/2022,2022,IPO,DSI,DIAL SQUARE INVESTMENTS PLC,New Company Placing,United Kingdom,,,,5,GBX,1.99,,0.52,0,0.52,7.5000,10.0000,10.0000,7.5000,100,7.0000,0.0250,3.2500,,,,,,,,,,,,,,,
UK Main Market,14/11/2022,01/11/2022,2022,IPO,ITH,ITHACA ENERGY PLC,New Company Placing,United Kingdom,60101015,"Oil, Gas and Coal",Offshore Drilling and Other Services,250,GBX,"2,412.89",,262.5,37.5,300,244.9500,254.9000,221.0000,230.0000,20583213,192.0000,172.0000,184.5000,,,,,,,,,,,,,,,
UK Main Market,31/10/2022,01/10/2022,2022,IPO,BWN,BOWEN FINTECH PLC,New Company Placing,United Kingdom,,,,4,GBX,2.75,,2,0,2,5.0000,5.0000,5.0000,5.0000,0,0.0600,6.2500,6.2500,,,,,,Weird Dip?,,,,,,,,,
International Main Market,27/10/2022,01/10/2022,2022,IPO,UMR,UNICORN MINERAL RESOURCES PLC,New Company Placing,Ireland,55102000,Industrial Metals and Mining,General Mining,10,GBX,2.91,,0.93,0,0.93,10.5000,18.0000,10.0000,17.5000,4449264,18.5000,0.1900,12.5000,,,,,,,,,,,,,,,
UK Main Market,24/10/2022,01/10/2022,2022,IPO,ATN,EASTINCO MINING AND EXPLORATION PLC,New Company Placing,United Kingdom,55102000,Industrial Metals and Mining,General Mining,1,GBX,10.61,,0.85,0,0.85,1.1000,1.0000,0.9000,1.1000,342500,0.9500,0.9500,0.9000,,,,,,Name change from https://www.londonstockexchange.com/news-article/ATN/change-of-name/15699391,,,,,,,,,
AIM,21/10/2022,01/10/2022,2022,IPO,SND,SONDREL (HOLDINGS) PLC,New Company Placing,United Kingdom,10102010,Technology Hardware and Equipment,Semiconductors,55,GBX,49.42,Cenkos Securities Plc,20,0,20,56.5000,59.5000,51.6700,58.0000,859395,58.5000,58.5000,63.5000,,,,,,,,,,,,,,,
International Main Market,12/10/2022,01/10/2022,2022,IPO,ACG,ACG ACQUISITION COMPANY LIMITED,New Company Placing,British Virgin Islands,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10,USD,112.19,,113.23,0,113.23,10.1000,10.1000,10.1000,10.0200,250,10.0500,9.9800,9.9500,9.8500,,,,,,,,,,,,,,
UK Main Market,04/10/2022,01/10/2022,2022,IPO,MII,MILTON CAPITAL PLC,New Company Placing,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1,GBX,1.1,,0.95,0,0.95,1.1000,1.1980,1.1900,1.1000,73969,1.0500,1.0250,0.0095,0.9000,,,,,,,,,,,,,,
AIM,15/09/2022,01/09/2022,2022,IPO,AURR,AURRIGO INTERNATIONAL PLC,New Company Placing,United Kingdom,10102015,Technology Hardware and Equipment,Electronic Components,48,GBX,20.63,Singer Capital Markets Advisory LLP,8,0,8,49.5000,53.6800,51.5000,52.5000,134749,54.3000,56.0000,74.5000,135.0000,,,,,,,,,,,,,,
UK Main Market,15/09/2022,01/09/2022,2022,IPO,FINA,FINTECH ASIA LIMITED,New Company Placing,Guernsey,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,50,GBX,10.37,,1.51,0,1.51,54.5000,54.5000,54.5000,54.5000,0,0.5600,55.5000,51.5000,0.5000,,,,,delisted https://www.investegate.co.uk/fintech-asia-limited--fina-/rns/proposed-acquisition-and-suspension-of-listing/202303140745418796S/,,,,,,,,,
UK Main Market,15/09/2022,01/09/2022,2022,IPO,IKIV,IKIGAI VENTURES LIMITED,New Company Placing,Guernsey,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.5,GBP,10.34,,2.09,0,2.09,0.5500,0.5500,0.5500,0.5500,0,0.5600,0.5600,54.0000,0.5100,,,,,,,,,,,,,,
UK Main Market,29/07/2022,01/07/2022,2022,IPO,FCM,FIRST CLASS METALS PLC,New Company Placing,United Kingdom,55102000,Industrial Metals and Mining,General Mining,10,GBX,6.9,,1.13,0,1.13,10.5000,10.9500,10.2000,10.7500,200002,10.0000,9.6300,15.9000,14.2500,,,,,,,,,,,,,,
International Main Market,13/07/2022,01/07/2022,2022,IPO,MYSE,MING YANG SMART ENERGY GROUP LIMITED,International Offering (GDR),China,,,,21,USD, -   ,,546,0,546,21.5000,,,21.5000,,19.6000,20.0000,17.9000,19.6000,,,,,"Cant find on Yahoo, went to LSE",,,,,,,,,
UK Main Market,08/07/2022,01/07/2022,2022,IPO,SPMU,SPIRITUS MUNDI PLC,New Company Placing,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,5,GBX,2.71,,0.28,0,0.28,6.0000,6.0000,6.0000,6.0000,0,0.0700,4.7500,0.0275,0.0275,,,,,,,,,,,,,,
