Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Transfer,Country of Inc.,FTSE Industry,FTSE Sector,FTSE Subsector,Issue Price,Currency,Market Cap - Opening Price (Â£m),Nominated Advisor (AIM only),Money Raised - New (Â£m),Money Raised - Existing (Â£m),TOTAL RAISED (Â£m),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650
AIM,2023-03-30,2023-03-01,2023,IPO,ONWD,ONWARD OPPORTUNITIES LIMITED,New Company Placing,,Guernsey,,,,100.0,GBX,12.30375965,,12.75,0,12.75,96.5,106.9000015258789,98.0,104.0,1353424.0,105.0,,,,,,,
UK Main Market,2023-02-28,2023-02-01,2023,IPO,DAR,DAR GLOBAL PLC,New Company Placing,,United Kingdom,,,,3.33,USD,0.0,,60.23438545,0,60.23438545,3.549999952316284,3.3299999237060547,3.3299999237060547,3.5999999046325684,27500.0,3.700000047683716,3.799999952316284,,,,,,
AIM,2023-02-14,2023-02-01,2023,IPO,FMET,FULCRUM METALS PLC,New Company Placing,,United Kingdom,,,,17.5,GBX,0.0,,2.99999998,0,2.99999998,19.0,18.799999237060547,17.649999618530273,18.25,292668.0,17.649999618530273,17.75,,,,,,
AIM,2023-01-30,2023-01-01,2023,IPO,CLA,CELSIUS RESOURCES LIMITED,New Company Placing,,Australia,55102000.0,Industrial Metals and Mining,General Mining,0.8,GBX,0.0,Beaumont Cornish Limited,2.395,0,2.395,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.949999988079071,0.949999988079071,,,,,,
UK Main Market,2023-01-05,2023-01-01,2023,IPO,STK,STREAKS GAMING PLC,New Company Placing,,United Kingdom,40203040.0,Leisure Goods,Electronic Entertainment,3.0,GBX,12.7680480563,,3.67749999,0,3.67749999,3.375,3.375,3.375,3.375,0.0,3.5,3.1500000953674316,2.9000000953674316,,,,,
UK Main Market,2022-12-21,2022-12-01,2022,IPO,MCI,MEDCAW INVESTMENTS PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,1.798869975,,0.637082,0,0.637082,0.10499999672174454,0.10499999672174454,0.10499999672174454,0.10499999672174454,0.0,0.10499999672174454,0.07999999821186066,0.05000000074505806,,,,,
AIM,2022-12-15,2022-12-01,2022,IPO,S247,SMARTTECH247 GROUP PLC,New Company Placing,,United Kingdom,10101010.0,Software and Computer Services,Computer Services,29.66,GBX,37.2236946,SPARK Advisory Partners Limited,3.67363658,0,3.67363658,30.0,30.959999084472656,30.389999389648438,30.5,23239.0,30.0,29.5,34.5,,,,,
UK Main Market,2022-12-05,2022-12-01,2022,IPO,HELD,HELLENIC DYNAMICS PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.3,GBX,37.59,,0.75,0,0.75,0.30000001192092896,0.32199999690055847,0.125,0.1509999930858612,62157649.0,0.1850000023841858,0.1379999965429306,0.0949999988079071,,,,,
UK Main Market,2022-11-30,2022-11-01,2022,IPO,DSI,DIAL SQUARE INVESTMENTS PLC,New Company Placing,,United Kingdom,,,,5.0,GBX,1.99125,,0.515,0,0.515,7.5,10.0,10.0,7.5,100.0,7.0,0.02500000037252903,3.0,,,,,
UK Main Market,2022-11-14,2022-11-01,2022,IPO,ITH,ITHACA ENERGY PLC,New Company Placing,,United Kingdom,60101015.0,"Oil, Gas and Coal",Offshore Drilling and Other Services,250.0,GBX,2412.8919019085,,262.5,37.5,300,244.9499969482422,254.89999389648438,221.0,215.8946990966797,20583213.0,197.12124633789062,160.5130157470703,163.6106414794922,,,,,
